accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,-0.05681047,-1.8330538,-2.595261,1.0,0.0,0.0,0.0,gyroscope,264122589177855
0.0,0.0,0.0,1.2799155,-2.738509,-2.011121,1.0,0.0,0.0,0.0,gyroscope,264122549268487
-4.5759134,5.8029666,-6.160531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264122519353631
-1.34256,7.123512,-7.0719886,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264122539296868
0.0,0.0,0.0,0.0,0.0,0.0,0.78039896,-0.20833251,0.32368365,-0.49275136,rotation_vector,264122539296868
0.0,0.0,0.0,0.0,0.0,0.0,0.7764541,-0.20456183,0.3581207,-0.47646934,rotation_vector,264122519353631
0.9717283,7.209799,-7.851491,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264122559240108
0.0,0.0,0.0,0.0,0.0,0.0,0.7774056,-0.23336399,0.2664851,-0.5197764,rotation_vector,264122579198606
1.5329009,7.0698256,-8.217143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264122579198606
0.0,0.0,0.0,0.0,0.0,0.0,0.78157836,-0.21855874,0.29199776,-0.50606775,rotation_vector,264122559240108
0.0,0.0,0.0,0.14080444,-1.6504052,-2.9294043,1.0,0.0,0.0,0.0,gyroscope,264122629071960
0.0,0.0,0.0,-0.107665,-1.5891659,-2.8435776,1.0,0.0,0.0,0.0,gyroscope,264122609128722
0.0,0.0,0.0,0.0,0.0,0.0,0.7558049,-0.26629323,0.22886851,-0.5526899,rotation_vector,264122619100341
-1.0884297,7.9581957,-7.8538103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264122619100341
0.49235594,7.423477,-8.090146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264122599157104
0.0,0.0,0.0,0.47739118,-1.8113682,-2.9582677,1.0,0.0,0.0,0.0,gyroscope,264122649022831
0.0,0.0,0.0,0.0,0.0,0.0,0.7434008,-0.28050697,0.20788099,-0.5704881,rotation_vector,264122639043582
0.0,0.0,0.0,0.0,0.0,0.0,0.7313562,-0.29294777,0.18323755,-0.5879828,rotation_vector,264122659002080
0.0,0.0,0.0,0.92179567,-1.8616118,-2.8890872,1.0,0.0,0.0,0.0,gyroscope,264122668981329
-2.274183,7.8569403,-7.875046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264122659002080
-2.109805,8.188706,-7.8044257,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264122639043582
0.0,0.0,0.0,0.0,0.0,0.0,0.7108905,-0.30615237,0.12584424,-0.6205391,rotation_vector,264122698903815
0.0,0.0,0.0,1.4091134,-1.7954856,-2.6743681,1.0,0.0,0.0,0.0,gyroscope,264122688932197
0.0,0.0,0.0,1.6791159,-1.7675385,-2.4379632,1.0,0.0,0.0,0.0,gyroscope,264122708875434
0.0,0.0,0.0,0.0,0.0,0.0,0.72019905,-0.3019577,0.15552682,-0.60493505,rotation_vector,264122678960578
-2.6841455,6.804069,-8.182477,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264122698903815
0.0,0.0,0.0,0.0,0.0,0.0,0.70301735,-0.30753645,0.09529841,-0.6341184,rotation_vector,264122718847056
-3.7642503,6.6213756,-8.495903,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264122738744518
0.0,0.0,0.0,1.4717271,-1.8081611,-2.1209242,1.0,0.0,0.0,0.0,gyroscope,264122748693249
0.0,0.0,0.0,1.6711746,-1.7988454,-2.2553146,1.0,0.0,0.0,0.0,gyroscope,264122728795787
0.0,0.0,0.0,1.1472049,-1.7708983,-2.020895,1.0,0.0,0.0,0.0,gyroscope,264122768644119
0.0,0.0,0.0,0.0,0.0,0.0,0.6872229,-0.3113766,0.036516882,-0.6553136,rotation_vector,264122758641982
-4.25019,6.5140443,-8.796899,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264122758641982
-4.7588406,6.4325747,-9.093692,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264122778646255
0.0,0.0,0.0,0.73471814,-1.7174476,-1.9251418,1.0,0.0,0.0,0.0,gyroscope,264122788648392
0.0,0.0,0.0,-0.12675454,-1.6111571,-1.6652187,1.0,0.0,0.0,0.0,gyroscope,264122828611164
0.0,0.0,0.0,0.0,0.0,0.0,0.6673691,-0.322146,-0.011940845,-0.6713403,rotation_vector,264122798650530
0.0,0.0,0.0,0.0,0.0,0.0,0.6557152,-0.3311642,-0.030869126,-0.6778016,rotation_vector,264122818624286
-5.585662,6.4111443,-9.153717,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264122818624286
-5.261548,6.4344826,-9.201918,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264122798650530
