accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
-0.08692145,-0.13370895,0.015071392,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7498572083986
-0.13862371,0.036393166,-0.04473543,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7498611924343
-0.1270318,-0.020762444,-0.047545433,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7498592027054
0.0,0.0,0.0,0.008246681,-0.02565634,0.022296581,1.0,0.0,0.0,0.0,gyroscope,7498611924343
0.0,0.0,0.0,0.0,0.0,0.0,0.4297147,-0.0109524205,-0.30695152,0.84912086,rotation_vector,7498611924343
0.0,0.0,0.0,0.007330383,-0.038026363,0.025961773,1.0,0.0,0.0,0.0,gyroscope,7498631821634
0.0,0.0,0.0,0.013439035,-0.049632803,0.023823744,1.0,0.0,0.0,0.0,gyroscope,7498651779958
-0.14607358,-0.0391469,-0.00425148,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7498631821634
0.0,0.0,0.0,0.0,0.0,0.0,0.42939326,-0.010761972,-0.3070763,0.84924066,rotation_vector,7498631821634
0.0,0.0,0.0,0.0,0.0,0.0,0.4290376,-0.010433081,-0.3071651,0.8493925,rotation_vector,7498651779958
-0.12077737,-0.04993105,-0.01189518,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7498651779958
0.0,0.0,0.0,0.0,0.0,0.0,0.4283812,-0.009599763,-0.30726612,0.849697,rotation_vector,7498691681347
0.0,0.0,0.0,0.0,0.0,0.0,0.42869824,-0.009996761,-0.30727524,0.84952927,rotation_vector,7498671738283
-0.08928633,-0.034107685,-0.057667255,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7498671738283
-0.04383397,-0.084197044,-0.0066957474,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7498691681347
0.0,0.0,0.0,0.03680463,-0.033444874,0.022907447,1.0,0.0,0.0,0.0,gyroscope,7498691681347
0.0,0.0,0.0,0.016340645,-0.050396383,0.020616703,1.0,0.0,0.0,0.0,gyroscope,7498671738283
0.0,0.0,0.0,0.06719518,0.019547688,0.0154243475,1.0,0.0,0.0,0.0,gyroscope,7498731628514
0.0,0.0,0.0,0.0,0.0,0.0,0.42813724,-0.009288578,-0.30690286,0.8499547,rotation_vector,7498711624414
-0.028715134,-0.11349487,-0.012889385,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7498711624414
0.0,0.0,0.0,0.0,0.0,0.0,0.4280272,-0.00913721,-0.3062784,0.85023695,rotation_vector,7498731628514
0.0,0.0,0.0,0.06612616,0.038179077,0.0076358155,1.0,0.0,0.0,0.0,gyroscope,7498751632615
0.0,0.0,0.0,0.04062254,0.0364992,-0.0032070426,1.0,0.0,0.0,0.0,gyroscope,7498771575680
-0.032382727,-0.0076794624,-0.064190865,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7498751632615
0.0,0.0,0.0,0.0,0.0,0.0,0.4281391,-0.009292727,-0.30487403,0.8506835,rotation_vector,7498771575680
0.0,0.0,0.0,0.0,0.0,0.0,0.42803252,-0.009182915,-0.30557138,0.85048807,rotation_vector,7498751632615
-0.11012435,-0.006488323,0.025894165,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7498771575680
0.0,0.0,0.0,0.015577064,0.03191771,-0.011301007,1.0,0.0,0.0,0.0,gyroscope,7498791518748
-0.069806576,-0.014438629,-0.023713112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7498791518748
0.0,0.0,0.0,-0.009773844,0.03756821,-0.012217305,1.0,0.0,0.0,0.0,gyroscope,7498811431294
0.0,0.0,0.0,0.0,0.0,0.0,0.42853537,-0.00969673,-0.30436003,0.8506635,rotation_vector,7498811431294
-0.03813529,0.02100277,-0.04114771,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7498811431294
0.0,0.0,0.0,0.0,0.0,0.0,0.42833534,-0.0094757425,-0.30455506,0.850697,rotation_vector,7498791518748
0.0,0.0,0.0,-0.057268616,0.0143553335,-0.012370021,1.0,0.0,0.0,0.0,gyroscope,7498851332687
0.0,0.0,0.0,0.0,0.0,0.0,0.42876026,-0.010126586,-0.30447954,0.85050243,rotation_vector,7498831343844
0.0,0.0,0.0,0.0,0.0,0.0,0.4288477,-0.010591292,-0.30493352,0.85029,rotation_vector,7498851332687
-0.11785936,-0.062828064,-0.013773441,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7498851332687
-0.079636574,0.1168766,-0.0422287,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7498831343844
0.0,0.0,0.0,-0.019242255,0.013286319,-0.035277467,1.0,0.0,0.0,0.0,gyroscope,7498871321529
