accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
-0.23565531,-0.123389244,0.3709892,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943446550848
0.0,0.0,0.0,0.0,0.0,0.0,0.6934696,-0.449825,-0.44101968,0.34965584,rotation_vector,6943466509202
0.0,0.0,0.0,-0.035277467,0.009468411,0.025198191,1.0,0.0,0.0,0.0,gyroscope,6943456530025
0.0,0.0,0.0,0.005192355,0.04016439,0.01863139,1.0,0.0,0.0,0.0,gyroscope,6943516313534
-0.45180154,-0.10616493,0.5229353,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943506364875
-0.30119896,-0.095638275,0.46268785,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943486467556
0.0,0.0,0.0,0.022449298,0.0421497,0.015882496,1.0,0.0,0.0,0.0,gyroscope,6943496416216
0.0,0.0,0.0,0.0,0.0,0.0,0.6939741,-0.44989818,-0.44006422,0.3497646,rotation_vector,6943506364875
0.0,0.0,0.0,0.0,0.0,0.0,0.69377756,-0.4497436,-0.44049856,0.34980646,rotation_vector,6943486467556
0.0,0.0,0.0,0.0,0.0,0.0,0.6940872,-0.45001036,-0.43977135,0.34976393,rotation_vector,6943526262195
0.0,0.0,0.0,0.0,0.0,0.0,0.69433165,-0.4498176,-0.43955722,0.34979588,rotation_vector,6943546251065
-0.45655918,-0.06468487,0.34871423,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943526262195
0.0,0.0,0.0,0.025809057,0.019547688,0.0050396384,1.0,0.0,0.0,0.0,gyroscope,6943536256630
0.0,0.0,0.0,0.018020526,0.030543262,-0.006872234,1.0,0.0,0.0,0.0,gyroscope,6943556245500
0.0,0.0,0.0,0.11026118,0.03145956,-0.01160644,1.0,0.0,0.0,0.0,gyroscope,6943596177511
0.0,0.0,0.0,0.0,0.0,0.0,0.69460785,-0.44983882,-0.4392194,0.34964475,rotation_vector,6943566239938
-0.3375988,-0.26591682,0.3022405,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943586198292
0.0,0.0,0.0,0.0,0.0,0.0,0.6951589,-0.4493911,-0.43862873,0.34986654,rotation_vector,6943586198292
-0.31424952,-0.20695019,0.30076706,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943566239938
-0.27006364,-0.028429985,0.20316339,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943606156743
-0.28464746,0.051984787,0.29218733,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943626099948
0.0,0.0,0.0,0.09468412,0.032375857,-0.03268129,1.0,0.0,0.0,0.0,gyroscope,6943616128346
0.0,0.0,0.0,0.0,0.0,0.0,0.69591856,-0.4485118,-0.43814063,0.35009632,rotation_vector,6943606156743
0.0,0.0,0.0,0.0,0.0,0.0,0.6966173,-0.44837102,-0.43778035,0.34933674,rotation_vector,6943646043156
-0.47974324,0.061689377,0.44207513,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943646043156
0.0,0.0,0.0,0.11789699,0.025350908,-0.018325957,1.0,0.0,0.0,0.0,gyroscope,6943675980852
0.0,0.0,0.0,0.0,0.0,0.0,0.69704735,-0.44796026,-0.4374063,0.34947434,rotation_vector,6943666001620
-0.54367495,-0.18851376,0.35426056,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943666001620
0.0,0.0,0.0,0.01695151,0.032223143,-0.01282817,1.0,0.0,0.0,0.0,gyroscope,6943656022388
0.0,0.0,0.0,0.18051068,-0.0018325958,-0.049785517,1.0,0.0,0.0,0.0,gyroscope,6943715874892
0.0,0.0,0.0,0.0,0.0,0.0,0.69801646,-0.44675097,-0.4367438,0.3499166,rotation_vector,6943685960085
-0.5515499,-0.21199703,0.2806058,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943685960085
-0.4650228,-0.009106636,0.14583194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943705903289
0.0,0.0,0.0,0.0,0.0,0.0,0.6991167,-0.44515616,-0.43613675,0.35050893,rotation_vector,6943705903289
0.0,0.0,0.0,0.01740966,0.0010690142,-0.06169739,1.0,0.0,0.0,0.0,gyroscope,6943735818099
0.0,0.0,0.0,0.0,0.0,0.0,0.6998008,-0.44409442,-0.43606845,0.35057572,rotation_vector,6943725846497
0.0,0.0,0.0,0.0,0.0,0.0,0.6998167,-0.44413605,-0.43643796,0.35003114,rotation_vector,6943745789702
-0.346416,-0.110360146,0.23639393,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943745789702
0.0,0.0,0.0,0.13164146,-0.009773844,-0.054367006,1.0,0.0,0.0,0.0,gyroscope,6943775712141
0.0,0.0,0.0,0.0,0.0,0.0,0.7012202,-0.44185182,-0.4361472,0.35047516,rotation_vector,6943785691373
0.0,0.0,0.0,0.0,0.0,0.0,0.7001872,-0.44348055,-0.4365061,0.35003638,rotation_vector,6943765732908
-0.43298888,-0.2998171,0.32551098,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943765732908
-0.42287016,-0.18785381,0.17289472,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943785691373
0.0,0.0,0.0,0.14920384,0.013897184,-0.057421334,1.0,0.0,0.0,0.0,gyroscope,6943815621440
0.0,0.0,0.0,0.0,0.0,0.0,0.70227456,-0.4403239,-0.43572995,0.350806,rotation_vector,6943805649838
0.0,0.0,0.0,0.0,0.0,0.0,0.7031026,-0.43926892,-0.435326,0.3509713,rotation_vector,6943825593042
-0.30957723,0.1712904,0.2507646,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943825593042
0.0,0.0,0.0,0.13652839,0.030848695,-0.016340645,1.0,0.0,0.0,0.0,gyroscope,6943875473947
0.0,0.0,0.0,0.18600847,0.025809057,-0.01572978,1.0,0.0,0.0,0.0,gyroscope,6943855515482
0.0,0.0,0.0,0.0,0.0,0.0,0.7040027,-0.43807462,-0.43463126,0.3515204,rotation_vector,6943845536250
-0.27745986,0.13294125,0.24890113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943845536250
-0.26202893,0.21499825,0.17506313,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943865494715
0.0,0.0,0.0,0.0,0.0,0.0,0.7049943,-0.4368068,-0.433835,0.3520939,rotation_vector,6943865494715
0.0,0.0,0.0,-0.110872045,0.021991149,0.020463986,1.0,0.0,0.0,0.0,gyroscope,6943915367986
0.0,0.0,0.0,-0.02107485,0.026572637,-0.014966198,1.0,0.0,0.0,0.0,gyroscope,6943895424782
0.0,0.0,0.0,0.0,0.0,0.0,0.7051642,-0.43714282,-0.43364844,0.35156608,rotation_vector,6943905396384
-0.32156014,0.2803383,0.44144464,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943905396384
0.0,0.0,0.0,0.0,0.0,0.0,0.70545375,-0.4364201,-0.43350157,0.35206392,rotation_vector,6943885453179
0.0,0.0,0.0,-0.14889841,-0.0061086523,0.044593163,1.0,0.0,0.0,0.0,gyroscope,6943935311194
0.0,0.0,0.0,-0.17837265,-0.036651913,0.03283401,1.0,0.0,0.0,0.0,gyroscope,6943955254398
0.0,0.0,0.0,0.0,0.0,0.0,0.70448405,-0.43831927,-0.4338787,0.35118046,rotation_vector,6943925339592
-0.488487,0.24372673,0.51191735,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943925339592
-0.4754038,0.13199902,0.33141136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6943945282796
