accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.64781976,-0.37335637,0.5792689,0.32462606,rotation_vector,262630378418680
0.8375368,-1.8102762,-2.3754349,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630378418680
1.4358358,-1.7742314,-1.9873736,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630338533865
0.0,0.0,0.0,-1.690875,0.0038179078,-0.8229882,1.0,0.0,0.0,0.0,gyroscope,262630428270884
0.0,0.0,0.0,-1.7971655,-0.24755314,-0.66813385,1.0,0.0,0.0,0.0,gyroscope,262630408336104
0.693491,-1.3793911,-2.1701665,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630398368714
0.7104511,-1.6757613,-1.4331636,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630438238277
0.0,0.0,0.0,-2.8559477,0.8750645,-2.7979155,1.0,0.0,0.0,0.0,gyroscope,262630508040514
0.0,0.0,0.0,0.0,0.0,0.0,0.6230356,-0.46374643,0.53206897,0.3371477,rotation_vector,262630478138344
-2.9698477,-8.481231,-3.3782685,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630537896931
0.0,0.0,0.0,0.0,0.0,0.0,0.62953347,-0.4442939,0.54047525,0.33790103,rotation_vector,262630458188311
0.0,0.0,0.0,0.0,0.0,0.0,0.634767,-0.4262759,0.549092,0.33742803,rotation_vector,262630438238277
0.0,0.0,0.0,-1.6901114,0.2854268,-1.0587822,1.0,0.0,0.0,0.0,gyroscope,262630448213294
-0.07752609,-1.8300225,-0.8762236,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630458188311
0.0,0.0,0.0,-2.2096524,0.6093381,-1.8805487,1.0,0.0,0.0,0.0,gyroscope,262630488105734
-0.83020496,-1.7825434,-0.5485618,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630478138344
0.0,0.0,0.0,0.0,0.0,0.0,0.61562264,-0.48931727,0.51962227,0.33402127,rotation_vector,262630498073124
-1.1825485,-3.0907657,-0.92935175,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630498073124
-1.5971584,-4.7003055,-2.4139802,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630518007907
0.0,0.0,0.0,-2.2876904,1.3405437,-3.7271943,1.0,0.0,0.0,0.0,gyroscope,262630527952419
0.0,0.0,0.0,0.0,0.0,0.0,0.6058251,-0.5247611,0.5006216,0.32707757,rotation_vector,262630518007907
-10.787564,-9.138145,-1.507316,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630577766493
-6.875577,-11.170707,-2.2731144,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630557785956
0.0,0.0,0.0,0.0,0.0,0.0,0.6044406,-0.6275643,0.43157268,0.2335802,rotation_vector,262630577766493
0.0,0.0,0.0,-0.4859433,1.6543758,-5.4916787,1.0,0.0,0.0,0.0,gyroscope,262630567776224
0.0,0.0,0.0,0.0,0.0,0.0,0.5999041,-0.59624064,0.45696014,0.2753175,rotation_vector,262630557785956
0.0,0.0,0.0,-1.8895589,1.3669637,-6.1109433,1.0,0.0,0.0,0.0,gyroscope,262630627672083
-4.8011637,-10.968477,-2.8441944,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630637647099
-2.282926,-10.848398,-2.9658182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630657597133
-2.236769,-8.151523,-3.5475056,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630677547166
-5.802448,0.05302143,-1.5635622,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630737305753
0.0,0.0,0.0,4.641965,3.7438405,-6.9999046,1.0,0.0,0.0,0.0,gyroscope,262630747250265
0.0,0.0,0.0,7.6623883,3.2556064,-6.0535216,1.0,0.0,0.0,0.0,gyroscope,262630787188464
0.0,0.0,0.0,0.0,0.0,0.0,0.59582174,-0.69594485,0.3707574,0.15230313,rotation_vector,262630617697066
0.0,0.0,0.0,-1.9396498,1.4344643,-5.949064,1.0,0.0,0.0,0.0,gyroscope,262630607722049
-10.350995,-5.6608562,-3.9228182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630597747032
0.0,0.0,0.0,0.061086524,2.2062926,-5.966626,1.0,0.0,0.0,0.0,gyroscope,262630647622116
0.0,0.0,0.0,2.3432791,3.626096,-6.729139,1.0,0.0,0.0,0.0,gyroscope,262630687514556
-4.2710485,-4.693372,-2.7487404,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630697481946
0.0,0.0,0.0,0.0,0.0,0.0,0.59688526,-0.7604029,0.2433139,-0.079459906,rotation_vector,262630697481946
0.0,0.0,0.0,0.0,0.0,0.0,0.5908605,-0.7588277,0.2739338,-0.0049746786,rotation_vector,262630677547166
0.0,0.0,0.0,2.7908907,3.5934148,-6.8038173,1.0,0.0,0.0,0.0,gyroscope,262630707449336
0.0,0.0,0.0,0.0,0.0,0.0,0.6020153,-0.7548436,0.21017462,-0.15367252,rotation_vector,262630717416729
0.0,0.0,0.0,0.0,0.0,0.0,0.6086953,-0.7392904,0.17395416,-0.22952086,rotation_vector,262630737305753
0.0,0.0,0.0,3.591277,3.6851974,-6.915453,1.0,0.0,0.0,0.0,gyroscope,262630727361241
-5.012449,-2.097848,-1.9368153,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630717416729
-8.642676,3.5766802,-0.5653159,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262630777190568
0.0,0.0,0.0,6.019619,3.7142134,-6.7515883,1.0,0.0,0.0,0.0,gyroscope,262630767192673
