accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,245018305808220
0.0,0.0,0.0,0.0,0.0,0.0,0.075801425,-0.3030665,-0.07134883,-0.94726676,245018615051443
-7.3165245,-0.60457706,-9.442443,0.0,0.0,0.0,0.06995006,-0.31381813,-0.0853084,-0.9430523,245018634994742
0.0,0.0,0.0,0.5013676,-1.221425,-0.7487681,0.06661629,-0.3239015,-0.09442534,-0.93900687,245018654915156
-7.4237604,-0.58479,-9.515842,-0.04841107,-1.1204796,-0.6403395,0.05929783,-0.33386475,-0.096582085,-0.93578315,245018674812679
-7.4424777,-0.7686138,-9.395903,-0.4027129,-0.9779953,-0.5713117,0.054286495,-0.3424828,-0.09631932,-0.9329958,245018694763608
-7.5207453,-0.97748566,-9.199572,0.0,0.0,0.0,0.046645187,-0.3497761,-0.093285084,-0.93100953,245018714767944
0.0,0.0,0.0,-0.53130007,-0.6197228,-0.45631635,0.04288385,-0.3550046,-0.09149392,-0.9293877,245018734741762
-8.003313,-1.711475,-8.298677,-0.20112738,-0.50671273,-0.29978213,0.038994405,-0.3593267,-0.090841055,-0.92796105,245018754685060
-8.216051,-1.8477304,-7.995225,0.32818735,-0.45158213,-0.09285152,0.04216826,-0.36273828,-0.09587889,-0.92598605,245018774635992
-8.869474,-1.5290272,-8.898805,0.60994893,-0.3724751,0.029168816,0.04458423,-0.36588892,-0.102068745,-0.9239695,245018794594551
-10.472467,-0.7885923,-11.162163,0.14049901,-0.1385137,0.055588737,0.048241775,-0.36677578,-0.10480378,-0.9231275,245018814545480
-12.879656,0.52052903,-13.683441,-1.4231633,0.18371773,0.050701816,1.0,0.0,0.0,0.0,245018834488779
-13.911707,1.956322,-15.700773,-3.6771033,0.24877487,0.23900102,0.033562183,-0.364122,-0.05933081,-0.9288534,245018854409193
-11.166011,2.1745543,-14.017729,-5.328883,-0.20234911,1.2997686,0.025607582,-0.36824656,-0.0036866064,-0.92936814,245018874306716
-5.1224976,2.5526814,-12.179602,-4.877759,-0.1769982,3.0201178,0.036266606,-0.37177405,0.05368347,-0.9260599,245018894227128
-0.91329956,-1.4256573,-11.465048,-2.8220446,2.231338,5.476254,0.076214366,-0.3497431,0.100237496,-0.9283446,245018914170427
-11.32752,-5.8277698,-5.518265,-2.4228442,8.502175,8.67169,1.0,0.0,0.0,0.0,245018934144246
-25.969286,-12.472771,3.9278307,-5.9899917,11.869875,9.780716,0.20008625,-0.12846516,0.2565623,-0.9368234,245018954148581
-28.130787,-18.577082,7.6353617,-9.097005,9.066768,10.352792,0.25709188,-0.035230596,0.37274802,-0.89091045,245018974122399
-19.780613,-16.722324,1.8849258,-7.6538363,8.076097,11.771068,0.3291139,0.059292484,0.4610303,-0.82196075,245018994065698
-25.467154,-13.344217,-7.638874,-4.470923,9.547824,10.538953,0.36821327,0.17082858,0.51697254,-0.7536419,245019014016630
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,245019023995909
-36.542515,-15.277381,-4.5104866,-1.3874277,9.269269,9.45711,0.38789362,0.28711975,0.53913933,-0.69023883,245019033975189
0.0,0.0,0.0,-1.058324,5.43945,7.027241,1.0,0.0,0.0,0.0,245019053903230
-20.270775,-14.796374,3.0338361,-2.7672195,4.660749,5.36019,0.42506096,0.39966244,0.5580343,-0.59007716,245019073800752
-17.636501,-11.746363,9.957074,-12.49082,0.84803367,1.7365372,0.47869623,0.36002412,0.6220848,-0.5042253,245019093721165
-9.524516,-25.86241,7.3043146,-17.569859,-3.8988473,2.0781636,0.5724046,0.2494204,0.6803101,-0.38382378,245019113664464
2.9424815,-24.17693,8.426226,-8.721934,-4.155258,4.6583056,0.6400418,0.21698132,0.670547,-0.30599377,245019133638284
8.767045,-10.918193,4.199799,-0.928057,-0.7867944,4.446488,0.6567715,0.24461119,0.6567591,-0.27835995,245019153642619
5.065691,-10.476667,0.0023573935,0.0,0.0,0.0,0.6466069,0.2861366,0.65311617,-0.27104345,245019173616436
-2.4071865,-11.525708,-0.0011339188,0.0,0.0,0.0,0.62131464,0.33539107,0.6534264,-0.27297407,245019193559735
-5.069666,-11.383895,1.336269,5.087286,2.2881484,3.4127514,0.59534895,0.3976789,0.6399242,-0.27912036,245019213503037
-2.626255,-10.848844,1.7703902,4.81484,0.9193522,3.2539265,0.57886,0.4490086,0.6169355,-0.28758138,245019233446336
-1.0840702,-9.786527,1.8830497,3.4713945,0.8031351,2.5169175,0.56466347,0.48705408,0.59855574,-0.2926853,245019253397268
-1.587019,-7.726432,1.6367342,2.0331123,0.72204274,1.6849191,0.5550855,0.50941235,0.5893785,-0.29156852,245019273355827
-0.45647144,-5.902587,1.4023489,0.66507953,-0.09040806,0.9718866,0.5543362,0.5155477,0.5838652,-0.29329738,245019293283867
1.9434662,-5.5102596,2.031242,0.0,0.0,0.0,0.5615471,0.51108736,0.58083516,-0.2934027,245019313181390
2.9633741,-5.7853055,3.2276416,-0.7266242,-0.5160284,-0.8127562,0.5660476,0.49958915,0.58467877,-0.2969035,245019333124691
1.6813002,-5.232089,3.9433057,0.0,0.0,0.0,0.56511766,0.48446485,0.5945016,-0.30414447,245019353113766
-0.1668415,-4.4273934,3.7180374,-0.91431254,-0.30711251,-2.1577287,1.0,0.0,0.0,0.0,245019373057068
-0.99317646,-4.251433,3.7168593,-1.3750577,-0.70432764,-2.2715025,0.56789964,0.43822527,0.617215,-0.32325596,245019392954591
-1.1251621,-4.6416435,4.2130647,-1.7223345,-1.0906999,-2.2886066,0.57490623,0.4100241,0.62624866,-0.33041766,245019412928410
0.0,0.0,0.0,-1.7637206,-1.2971723,-2.2826507,0.58273095,0.38052782,0.6335954,-0.33790538,245019432978521
-1.372817,-4.140018,2.9099586,-1.5077682,-1.382999,-2.2278256,1.0,0.0,0.0,0.0,245019452929452
0.0,0.0,0.0,-1.2198979,-1.42973,-2.164601,0.5950965,0.32669285,0.6417566,-0.35676387,245019472781198
-2.1080284,-2.6611748,1.1372819,-0.9807441,-1.3810136,-2.1201606,0.5993316,0.30230904,0.64363474,-0.367621,245019492709240
-2.7952166,-2.4949179,0.9919454,-0.62964934,-1.2906055,-2.1439843,0.6013894,0.2798741,0.64447886,-0.38032675,245019512713575
-3.3543348,-2.119477,0.5531927,-0.082161374,-1.2486086,-2.1876612,0.60099214,0.26060903,0.6431543,-0.39653987,245019532687393
0.0,0.0,0.0,0.462425,-1.2635747,-2.2702806,0.59860235,0.24397194,0.63924384,-0.4165577,245019552630692
-3.666273,-0.47675204,-0.22845238,0.89949906,-1.2000448,-2.376724,0.59385836,0.22926694,0.63374066,-0.43947905,245019572573993
-3.875866,0.13382626,-0.5426703,1.3658947,-1.1015427,-2.4591908,0.58650005,0.21713056,0.62651986,-0.46512887,245019592517292
0.0,0.0,0.0,1.8072448,-1.0896308,-2.5056164,0.57734877,0.20718105,0.6167375,-0.49333495,245019612468224
-3.6563492,1.5908654,-1.9510292,2.0964894,-1.1061243,-2.5057693,0.5670835,0.19859733,0.6047384,-0.5227494,245019632426783
-3.340952,2.2274811,-2.6948838,2.1682663,-1.129948,-2.4324653,0.5565893,0.19049895,0.5914826,-0.5514226,245019652354824
-2.8884192,2.8113654,-3.280312,2.0457878,-1.1478158,-2.2849414,0.54671264,0.18227477,0.5779724,-0.5777796,245019672252346
0.0,0.0,0.0,0.0,0.0,0.0,0.5381275,0.17527816,0.5655711,-0.59985465,245019692195647
-1.1448078,3.1332924,-3.2220323,1.476614,-1.1175779,-1.8474092,1.0,0.0,0.0,0.0,245019712184722
