accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244992881656303
-0.78285694,-2.102953,-3.984693,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244993240724861
-1.1340141,-2.818414,-4.167754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244993260683287
0.0,0.0,0.0,-3.492164,-2.7134633,-0.24388795,1.0,0.0,0.0,0.0,244993280634083
-0.036110878,-2.5200143,-4.3018384,-3.02531,-3.0402763,-0.11102476,0.05246665,-0.64252007,-0.11823149,0.75527257,244993300577248
1.0071678,-1.5067682,-4.50746,-3.0995302,-3.1454978,-0.10873401,0.043903396,-0.6436639,-0.15084323,0.74900967,244993320520417
1.144412,-1.044703,-4.284194,-3.6410623,-3.0479121,-0.22831088,1.0,0.0,0.0,0.0,244993340463583
0.6498089,-1.3468688,-4.819269,-4.2082505,-2.9914072,-0.38988474,0.0025821442,-0.6273848,-0.22438645,0.7456758,244993360414382
-0.013810158,-1.5311744,-5.7300835,0.0,0.0,0.0,0.028578784,0.6030307,0.2612979,-0.75316715,244993380372807
-0.36524487,-1.5730681,-6.5121765,-4.549419,-3.0992248,-0.57803124,0.059795108,0.5760674,0.2979557,-0.75881046,244993400300715
-0.16767788,-1.5703511,-6.8198175,-4.408309,-3.2134566,-0.63224554,0.089650705,0.54649013,0.3325714,-0.7633529,244993420198105
0.10426998,-1.3524127,-6.7505727,0.0,0.0,0.0,0.1174338,0.5153532,0.36453414,-0.76663905,244993440141273
-0.02272129,-0.84108114,-6.617945,-3.9107592,-3.0766227,-0.7516697,0.14258705,0.48400134,0.39421943,-0.76811635,244993460130214
-0.45638275,-0.38817644,-6.5888386,-3.7994292,-2.9851458,-0.75823647,1.0,0.0,0.0,0.0,244993480103901
-0.6808195,-0.35679913,-6.664775,-3.7986655,-2.954908,-0.6826419,0.19051707,0.42018625,0.44911343,-0.76514304,244993500062326
-0.68319845,-0.3745489,-6.6561475,0.0,0.0,0.0,0.21504,0.3878717,0.47462925,-0.76028985,244993519990234
-0.64746046,-0.35098934,-6.5618706,-3.7271943,-2.850908,-0.39645153,0.23958479,0.35626608,0.4978182,-0.7535587,244993539887624
-0.2495861,-0.25196028,-6.4661207,-3.488346,-2.8324294,-0.20051652,0.2639939,0.32582095,0.51769924,-0.7457448,244993559830792
0.6286826,-0.1107378,-6.0777845,-3.2362113,-2.7919595,-0.01863139,0.27477378,0.3102837,0.54510796,-0.72875285,244993579819733
1.3072772,-0.054936886,-5.475614,-3.0983086,-2.5752552,0.107359566,0.27663133,0.30185288,0.5765628,-0.7070611,244993599770532
1.754663,-0.21841908,-5.0178204,0.0,0.0,0.0,0.2939339,0.28232878,0.5940354,-0.69355273,244993619683182
0.0,0.0,0.0,-2.9118419,-2.1116085,0.39171734,0.31951204,0.2596794,0.6071136,-0.67962617,244993639611090
3.3732321,-0.06610346,-3.711,-2.905275,-1.7965547,0.5140431,0.34107733,0.24137062,0.6194398,-0.66460586,244993659554255
3.108049,-0.46935654,-2.812119,-2.786309,-1.3080152,0.57848936,0.359236,0.22689356,0.63201183,-0.6480972,244993679520312
2.2047548,-0.49283695,-2.502871,-2.4034493,-0.9964739,0.7631234,0.3753759,0.21689616,0.64215887,-0.63220334,244993699509256
1.9593139,-0.44975185,-2.888916,0.0,0.0,0.0,0.39235878,0.21084605,0.6490083,-0.6167551,244993719475310
2.30159,-0.81981087,-2.756203,-1.9080375,-0.84620106,1.5016595,0.41067672,0.20812589,0.65413713,-0.6001108,244993739418476
2.431858,-1.0933661,-2.1625595,-1.5862644,-0.6375906,1.8874209,0.42910892,0.21034257,0.65697426,-0.58310074,244993759369274
2.1969328,-0.7886219,-1.918998,0.0,0.0,0.0,0.44708234,0.21753822,0.6573229,-0.56632257,244993779327699
1.582253,-0.42732477,-1.5311697,-1.1566733,-0.19425514,2.5184448,0.46480027,0.22799866,0.65721476,-0.5477646,244993799255608
0.44530773,-0.66398335,-0.80878556,-1.2712106,0.0032070426,2.7595837,0.46655923,0.24355842,0.66513693,-0.52971184,244993819152998
0.0,0.0,0.0,-1.5308284,0.029474247,2.848312,0.4848738,0.25547436,0.66617507,-0.50580734,244993839103795
-1.4053745,-2.4939787,-0.25700718,-1.840537,-0.2209805,2.7739391,0.5048703,0.26365793,0.66708326,-0.48019847,244993859107996
-2.0255814,-3.786781,1.183595,-1.9205604,-0.79534656,2.6309967,0.52769804,0.26726386,0.66501653,-0.45591444,244993879081681
-1.7070551,-3.485148,0.9935039,-1.7499762,-1.3376422,2.4920247,0.5525605,0.26810482,0.65858257,-0.4348169,244993899024869
0.0,0.0,0.0,-2.4914138,-1.4856243,2.2046127,0.57826763,0.26220116,0.65440017,-0.41063076,244993918968068
-0.5659981,-1.4556354,-3.2192328,-4.247804,-1.2076806,1.73501,0.6037676,0.2430556,0.6600791,-0.37507915,244993938911264
-1.9903517,-3.199821,-3.6873937,0.0,0.0,0.0,0.62676615,0.21216467,0.6725305,-0.33144102,244993958862093
-3.7358599,-5.4103556,-2.381476,-5.5287886,-0.76831573,0.84207773,0.6451521,0.17967452,0.6837367,-0.28982773,244993978820550
-3.3823586,-5.898016,-1.4525007,0.0,0.0,0.0,0.6628364,0.15075396,0.68767405,-0.25500113,244993998748488
-0.46468735,-4.8892875,-1.533162,-3.350596,-1.3672692,0.714865,0.6787208,0.13051414,0.6851395,-0.22997417,244994018645908
2.1882153,-4.115589,-1.6172104,0.0,0.0,0.0,0.6887484,0.11325284,0.68312496,-0.21480185,244994038589107
0.0,0.0,0.0,-1.6329955,-0.5908594,0.049632803,1.0,0.0,0.0,0.0,244994058578079
2.0554495,-3.669437,-1.465003,-0.92057395,-0.1459968,-0.19318613,0.6950905,0.09152631,0.6844118,-0.20013133,244994078551796
1.0586395,-2.6186047,-1.4248033,0.0,0.0,0.0,0.6819874,0.07765867,0.6948272,-0.2146567,244994098510252
0.9231243,-1.9682989,-1.4109073,-0.3032946,-0.11178834,-0.04444045,0.6772496,0.07187159,0.698869,-0.21851674,244994118461078
1.2717037,-1.9187526,-1.2166165,-0.28802297,-0.13942999,0.16890424,0.67828137,0.070470095,0.6987822,-0.2160364,244994138404275
1.5418472,-2.2765994,-0.99379873,-0.16233744,-0.10720685,0.42943826,0.67984885,0.071969874,0.6982564,-0.21228278,244994158355104
