accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244538704829924
-33.26203,-25.351881,13.027374,0.0,0.0,0.0,0.4070744,0.024622587,0.52435774,-0.74748456,244539831936058
-31.468374,-29.180794,3.7398963,-2.1896465,3.5639405,9.815536,1.0,0.0,0.0,0.0,244539871761511
-21.918447,-17.970873,-0.2416532,-1.6804903,2.6137397,8.205295,0.5308574,0.22858499,0.59870243,-0.55452216,244539891704756
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244539901699266
-19.89888,-13.296185,2.6829014,-1.9283489,3.3420436,6.8256555,0.5508068,0.2762534,0.6103833,-0.49772295,244539911693776
-18.52097,-12.943404,4.7212214,-2.0398319,2.9848404,5.2719197,0.562265,0.3113627,0.62176955,-0.44756466,244539931667540
-14.2494135,-12.644254,3.6650054,-2.562427,2.025171,3.8111882,0.5740937,0.3279385,0.6318586,-0.40450907,244539951626044
-10.361376,-11.860401,1.410294,-3.4849863,1.4332426,2.77287,0.58707964,0.32965615,0.64459413,-0.362164,244539971576917
-7.2467337,-10.951992,0.27557513,-4.4457245,0.8709411,2.0705278,0.6032192,0.3182417,0.65848744,-0.3181873,244539991520161
-4.0970697,-10.837499,-0.5214691,-5.243209,0.34605515,1.6811012,0.62220144,0.29741567,0.671053,-0.272208,244540011463407
-0.90675926,-10.941648,-0.0196774,-5.313306,-0.1788308,1.4227052,0.64244354,0.2721741,0.6791525,-0.22790256,244540031406651
2.3448772,-10.897035,0.986601,-4.3702826,-0.41386122,1.1531608,0.65921366,0.25031394,0.68247235,-0.1923848,244540051357526
5.1172705,-10.195147,1.8060607,-2.8364,-0.27107146,0.88193667,0.6691524,0.23607622,0.6837892,-0.17010419,244540071316030
6.741711,-8.913272,1.9836099,-1.3663528,-0.029168816,0.48456886,0.67289823,0.23053256,0.6847078,-0.15886448,244540091266904
7.3725924,-7.57485,1.8440535,-0.32834008,0.18463401,0.14660765,0.6721718,0.22982074,0.68622595,-0.15640195,244540111210147
7.551215,-6.6630716,1.847429,0.23105977,0.23900102,-0.05757405,0.66963315,0.23131941,0.6876788,-0.1586845,244540131161023
7.8958488,-6.055907,1.9069248,0.49205196,0.17348573,-0.15012014,0.6669707,0.23365812,0.6883957,-0.16329536,244540151119526
8.365778,-5.553437,1.6349943,0.52855116,0.1085813,-0.1788308,0.66468054,0.23587137,0.68863654,-0.16835783,244540171070400
8.764097,-5.03674,0.99967915,0.20311269,0.10354166,-0.2396119,0.663025,0.23547527,0.6895948,-0.17148843,244540191013643
8.644852,-4.3681264,0.4543549,-0.4859433,0.17806722,-0.30604348,0.66238993,0.22983265,0.692498,-0.1698913,244540210956890
7.4602413,-4.7334156,0.23848432,-1.19134,0.39568797,-0.31413746,0.6617446,0.21980308,0.69807583,-0.16269903,244540230900133
5.0616994,-5.9547353,0.24790025,-1.6056592,0.5209153,-0.31948254,0.6608888,0.20716824,0.705053,-0.15234073,244540250820492
1.8255424,-7.565156,-0.019141674,-1.5247196,0.39568797,-0.14110987,0.66074234,0.19585164,0.71049553,-0.14233041,244540270717959
-1.8862972,-9.890156,-1.2846508,-1.0201449,0.09758572,0.17012598,0.66225773,0.1904376,0.71217716,-0.13398518,244540290668834
-5.043186,-12.129396,-2.7100291,-0.13637567,-0.39064834,0.38698313,0.6658033,0.19198598,0.70891523,-0.13147871,244540310673113
-5.865493,-12.4793005,-3.8414054,1.0083858,-0.93294394,0.17989981,0.67077327,0.19913067,0.70058984,-0.13994312,244540330646876
-5.2783575,-9.934151,-4.0693803,1.6708691,-1.0338894,-0.6093381,0.6735494,0.20489527,0.6921963,-0.1587874,244540350590119
-4.4559536,-6.0652695,-4.196865,1.4156802,-0.7799222,-1.7805195,0.67260885,0.20057786,0.6884158,-0.18289208,244540370540995
-3.8879328,-3.7146144,-2.9823527,0.29733866,-0.46746463,-3.225063,0.6686272,0.17854665,0.69130844,-0.20772944,244540390499499
-4.2016735,-4.2485633,0.2634795,-0.82787514,0.046883907,-4.6285257,0.6591938,0.13947716,0.70135164,-0.23262747,244540410450372
-5.6889076,-5.170783,2.1570883,-0.8527679,0.8321512,-5.4310503,0.6405861,0.09620792,0.7157605,-0.26092216,244540430393616
-7.756303,-4.981474,2.4418063,0.42103887,1.5125023,-5.7218223,0.6128727,0.062165424,0.7287039,-0.29918742,244540450336862
-8.854729,-4.1909513,-1.6862775,2.7401888,1.7574593,-5.480072,0.5801983,0.04553702,0.733013,-0.35211983,244540470280106
-9.970691,1.8796628,-1.6070809,3.291342,1.6595682,-5.286886,0.5470515,0.03110532,0.7320059,-0.4048882,244540490208093
-9.600159,1.2678256,-2.2280474,4.0043745,1.0720685,-4.7444377,0.51814294,0.023827378,0.7211077,-0.45930797,244540510120821
-8.754964,2.2605906,-1.3530059,4.1118865,0.59299743,-4.4095306,0.4923595,0.016212337,0.7048627,-0.5103801,244540530048806
-7.7321,4.0301666,-1.5407553,4.220773,0.09743301,-4.1050143,0.46967602,0.008886453,0.6831159,-0.5591764,244540549992050
-6.3196483,5.7384005,-2.2567475,3.76125,-0.46211955,-3.7571268,0.45141757,-0.0014321221,0.6591979,-0.6013969,244540569935295
-4.457513,6.1784625,-2.5974681,2.8041768,-0.8367327,-3.3901494,0.44336224,-0.0037921728,0.6416591,-0.62585074,244540589878539
-3.3187385,6.259864,-2.7211306,1.8697058,-0.89873546,-3.030808,0.43038574,-0.020577228,0.6259993,-0.6499767,244540609852303
-2.7676287,6.5994215,-2.9342437,1.3046554,-0.7872526,-2.6032023,0.41876462,-0.036169454,0.61383224,-0.668235,244540629856582
-2.4897742,7.110429,-3.2649765,0.93645644,-0.61285055,-2.1114557,0.40898615,-0.04879262,0.60446733,-0.68188626,244540649830345
-2.3329482,7.4828463,-3.4855137,0.6209445,-0.42195517,-1.6190983,0.40108112,-0.05834416,0.59803903,-0.6914328,244540669773588
-2.0789967,7.5119896,-3.4898772,0.43371433,-0.2321288,-1.1007792,0.39543554,-0.06423231,0.5938283,-0.6977628,244540689724465
-1.7474542,7.432277,-3.1965284,0.45356745,-0.042760566,-0.56046885,0.39243567,-0.06544074,0.5904201,-0.70222217,244540709682968
-1.445739,7.272284,-2.6982725,0.65087694,0.12965615,-0.027183503,0.3922976,-0.061457478,0.58646756,-0.70596135,244540729633842
-1.1827765,7.035841,-2.5020392,0.9231701,0.25381452,0.47021353,0.39507356,-0.052591972,0.58122694,-0.70945483,244540749577085
-0.96040964,6.843315,-2.765373,1.1456778,0.35323283,0.9335548,0.4005937,-0.039508406,0.57488936,-0.71236646,244540769520331
-0.7858896,6.666748,-3.2075057,1.20371,0.48716503,1.3736832,0.40833002,-0.02273547,0.56874526,-0.71363765,244540789463574
-0.8166628,6.514245,-3.641351,1.0740538,0.67179906,1.7930422,0.4177523,-0.0028337264,0.56425726,-0.7121017,244540809414451
-1.0178604,6.3346424,-3.99855,0.8208502,0.89995724,2.2105687,0.4285555,0.019976139,0.5623327,-0.706911,244540829372954
-1.3471346,6.1663322,-4.2506943,0.49113566,1.1400273,2.6210701,0.44062328,0.045336746,0.56330174,-0.6974861,244540849323828
-1.7581191,5.9921503,-4.2350507,0.066737026,1.3794864,3.0166054,0.45382664,0.07264533,0.5675507,-0.683118,244540869267071
-2.417841,5.566483,-3.700832,-0.43768495,1.604743,3.376863,0.4686566,0.103011236,0.575796,-0.6619733,244540889210317
-3.4761677,4.819907,-3.255651,-0.97112304,1.8139644,3.712839,0.48352975,0.13203524,0.5867101,-0.63603216,244540909153561
-4.844133,3.5799387,-2.3316598,-1.483639,1.927738,4.0576725,0.49959782,0.16101333,0.5997054,-0.6040117,244540929104436
-6.217699,2.2323022,-1.4116237,-1.9915735,1.8907807,4.339281,0.517211,0.18839611,0.61356413,-0.5661615,244540949062940
