accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
-1.5106773,3.4902735,-0.3904462,0.0,0.0,0.0,0.5124002,0.024756612,0.73744774,-0.43932226,245057513865006
-1.7023249,3.6818728,0.0312047,-0.9272934,-0.57451874,-0.9271407,0.51841855,0.02035605,0.7386991,-0.4302923,245057533760554
0.0,0.0,0.0,-0.33857206,-0.6426302,-0.5332854,0.5271285,0.017000511,0.7364352,-0.4236861,245057553678990
-1.6120291,3.293066,-0.004769087,0.14263703,-0.68737614,-0.06780604,1.0,0.0,0.0,0.0,245057573620309
-1.449131,2.7794466,0.26671684,0.5140431,-0.7377725,0.45249844,0.5467708,0.025611205,0.7253965,-0.4173557,245057593592147
0.0,0.0,0.0,0.0,0.0,0.0,0.5578599,0.03625971,0.71693134,-0.41651776,245057613594497
-0.95479107,2.0590355,0.06376624,0.9456194,-0.9819659,1.3553573,0.5752624,0.05271558,0.70677274,-0.40837076,245057633566332
-0.24823761,2.4036157,-0.44644764,0.0,0.0,0.0,0.59037423,0.06601745,0.6959726,-0.4033884,245057653507652
0.44286346,2.7197838,-0.88627297,0.16691893,-1.2925909,1.8596265,0.6082842,0.07235754,0.6862476,-0.39219776,245057673448973
0.48619652,2.4825516,-1.3965852,-0.8604037,-1.3119859,1.8761199,0.62517965,0.07469792,0.6802208,-0.37532705,245057693390293
-0.33589458,1.3605932,-1.2298614,-2.202322,-1.4271339,1.7145461,0.64050066,0.07445871,0.6846011,-0.33990595,245057713316358
-1.1659279,-0.0655663,-1.3497145,-3.485139,-1.9633209,1.555721,0.66125196,0.055300105,0.6823199,-0.3068018,245057733227162
-1.413291,-1.0490224,-1.8812895,-4.661513,-2.6702447,1.4770721,0.68704766,0.022729617,0.6768569,-0.263275,245057753153228
-1.2082644,-1.638829,-3.5533147,-5.6236253,-3.2099442,1.5709927,0.71285176,-0.01420039,0.6676353,-0.2142518,245057773094547
0.0,0.0,0.0,-6.7341785,-3.5702019,1.4078916,0.7376239,-0.064117014,0.6541705,-0.15447022,245057793058755
-0.9045963,-2.1444294,-7.433967,-7.7289724,-3.7925568,1.1585059,0.75639504,-0.11979998,0.63642186,-0.09209648,245057813045847
-1.1658955,-2.0536158,-8.331058,-8.403368,-4.094935,0.7473936,0.7698383,-0.18572584,0.6101544,-0.023806069,245057833017684
0.0,0.0,0.0,-8.521875,-4.426635,0.3210097,0.77751386,-0.2498285,0.57580614,0.038797587,245057852974262
-1.3796101,-1.6951027,-8.699556,-8.2827215,-4.5561385,-0.10842858,0.7792982,-0.31485897,0.53248084,0.10011213,245057872923211
-1.7526236,-1.8349326,-9.02187,-7.7375245,-4.5237627,-0.5045747,0.77644247,-0.37187105,0.48596087,0.1506355,245057892864531
-2.1825275,-1.6812291,-8.91837,-6.9360695,-4.4823766,-0.6806566,0.7700166,-0.42303345,0.4346584,0.19796227,245057912782967
0.0,0.0,0.0,0.0,0.0,0.0,0.7634299,-0.46134067,0.38542593,0.23619205,245057932678515
-2.7676096,0.42744827,-9.296814,0.0,0.0,0.0,0.7550265,-0.4930049,0.3356042,0.27249017,245057952596951
-3.1296606,1.2120156,-9.59475,-4.510782,-4.0214787,-0.5181664,1.0,0.0,0.0,0.0,245057972538271
-3.1126022,1.5046134,-9.892332,-4.112192,-3.8728857,-0.3408628,0.7349378,-0.5367759,0.24497512,0.33425334,245057992510108
-2.7258916,1.4218593,-10.369839,-3.913661,-3.6862664,-0.22815818,0.72261655,-0.5529372,0.20353876,0.3614661,245058012512458
-2.3089762,0.9105849,-10.68953,0.0,0.0,0.0,0.70656425,-0.5689971,0.16170096,0.38840988,245058032484292
-1.619853,-0.06655121,-11.103968,-3.7099373,-3.084564,-0.3080288,0.6907053,-0.5832799,0.12387739,0.4091029,245058052425612
