accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,245075836720159
0.0,0.0,0.0,0.0,0.0,0.0,0.6281874,0.24587697,0.67034197,-0.3091389,245076225709886
-1.910078,-1.8736724,0.88586664,2.0182989,-0.61498857,-1.3266466,1.0,0.0,0.0,0.0,245076265618982
-2.8764143,-1.4385108,0.5223235,2.156507,-0.6994407,-1.2880094,0.6118813,0.25198892,0.646905,-0.37896794,245076285562086
-3.2109146,-1.1231568,-0.12220591,2.4707973,-0.8565858,-1.0560333,0.60668415,0.2577457,0.63430953,-0.40392193,245076305482305
-3.1816854,-0.9307878,-0.5591943,2.6858218,-1.0972667,-0.9961685,0.60253495,0.2632797,0.6188945,-0.42965686,245076325379632
-3.1283178,-0.77974916,-1.2900617,2.6731462,-1.2825116,-0.9624182,0.59836924,0.26890138,0.60129434,-0.45617035,245076345322738
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,245076355317178
-3.363883,-0.2685802,-2.4334855,2.4019222,-1.3997977,-0.9941832,0.5956009,0.2707685,0.58437526,-0.48005176,245076365311617
-3.7934093,0.41136003,-3.4042516,1.9391917,-1.5015068,-1.0490084,0.5938263,0.26882318,0.56897116,-0.5013744,245076385285241
-3.1994095,0.84719086,-3.893587,1.4216361,-1.828167,-1.118647,0.59467655,0.2615,0.5540689,-0.5205624,245076405243605
-1.7417707,1.296134,-4.1954155,0.8744536,-2.1018345,-1.2988522,0.5972891,0.24818507,0.5403275,-0.53823423,245076425171450
0.0,0.0,0.0,0.29123,-1.9526308,-1.6021469,0.59206295,0.2466956,0.54466623,-0.5403159,245076445068778
-1.840519,1.729256,-4.3558226,-0.24633141,-1.6132951,-1.9078848,1.0,0.0,0.0,0.0,245076464988996
-3.1801462,2.212713,-4.7205353,-0.626595,-1.5167783,-2.0523546,0.58854383,0.20275414,0.5410539,-0.5654801,245076484932099
0.0,0.0,0.0,-0.9766208,-1.6769779,-1.9214766,0.58847666,0.17711909,0.54065067,-0.57447445,245076504882836
-1.5574074,4.94815,-6.24916,-1.4903585,-1.8643607,-1.6754507,0.5904535,0.16036355,0.5473696,-0.5709945,245076524841199
0.0,0.0,0.0,-2.2371411,-1.7030923,-1.4610369,0.59490526,0.12930354,0.552459,-0.56934834,245076544814821
0.0,0.0,0.0,-2.814409,-1.204779,-1.2382239,0.59781295,0.09887269,0.56321144,-0.5618157,245076564803700
0.17948103,4.8057613,-4.926265,-2.9599476,-0.72494435,-1.0177015,0.59862304,0.07161949,0.5768421,-0.5511572,245076584777324
-0.1272645,5.1937003,-4.2760315,0.0,0.0,0.0,0.5995781,0.0497253,0.58856004,-0.54002845,245076604735687
0.0,0.0,0.0,-1.9776763,-0.41813725,-0.17592919,0.6021086,0.035221577,0.59659624,-0.5294314,245076624686422
