accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244350877010486
0.81330395,-1.3848767,-0.5715158,-3.339142,-0.30909783,-1.1963795,0.19594626,0.47608712,0.345383,0.78463787,244351495433223
0.0,0.0,0.0,-3.242931,-0.2875648,-1.1754575,1.0,0.0,0.0,0.0,244351515376436
-0.06772995,-1.0693936,0.88914824,-2.958726,-0.30757064,-1.2281445,0.2440479,0.4583692,0.30271295,0.7991891,244351535327281
-1.2263169,0.20220089,0.6688895,-2.7409523,-0.45204028,-1.208597,0.26862997,0.44928113,0.28563535,0.8027433,244351555285754
-0.88723373,0.73322487,-0.38834286,-2.7134633,-0.77121735,-1.1018482,0.29186308,0.4449311,0.26704666,0.803454,244351575236596
-0.48694372,-0.37189436,-2.5050945,-2.6160305,-0.84589565,-0.8374963,0.31241828,0.44210935,0.2470869,0.8036681,244351595179809
-2.276741,-2.3533187,-2.7969031,-2.3377812,-0.45356745,-0.6076582,0.32831872,0.43682355,0.22955385,0.8054173,244351615123024
-3.5498657,-1.6684475,-1.5104017,-1.7061466,-0.33078352,-0.4990769,0.34024435,0.43235698,0.21723424,0.8062943,244351635066236
-3.1416988,-0.2008462,-1.314712,-1.2878567,-0.3538437,-0.3303254,0.34892184,0.43045023,0.2076336,0.8061356,244351654994193
-2.460271,-0.16267395,-2.4007268,-1.4104879,-0.16508633,-0.22479841,0.35692576,0.42635956,0.19681893,0.8075171,244351674906887
-1.71015,-1.3299432,-4.5451717,-1.5538884,0.12217305,-0.182496,0.3647013,0.41951564,0.1854362,0.8103166,244351694834844
-1.7802725,-2.0596027,-4.167076,-1.4995215,0.61850107,-0.14950927,0.3709828,0.4085988,0.17622906,0.8150842,244351714778057
-1.6857429,-1.3930469,-1.7222986,-1.1801916,0.95630956,0.01786781,0.37379798,0.3961108,0.17024845,0.8212106,244351734751790
-0.45004463,-1.3654327,-1.0802345,-0.7180721,1.0415252,0.15607607,0.37324205,0.38520285,0.16790536,0.8271136,244351754756039
-0.27262306,-1.6293559,-2.224865,-0.3840815,1.2144,0.17608191,0.37095842,0.3741783,0.16873442,0.83301216,244351774729770
-1.7501976,-1.8610065,-1.8328729,-0.20326541,1.534188,0.10140363,0.36817965,0.36068666,0.17256437,0.83938694,244351794672983
-2.3027697,-1.1074753,0.5491147,0.09468412,1.5949692,0.1339322,0.36400938,0.34751478,0.17891702,0.8454109,244351814616198
-1.5823917,0.07602978,1.1463122,0.42745295,1.4407257,0.30757064,0.35875705,0.3332127,0.18736199,0.8515622,244351834559411
-1.7115507,0.5495157,0.20290232,0.29428434,1.3877331,0.38423425,0.36011156,0.3082307,0.2038322,0.8566014,244351854479737
-2.6582608,-0.12009573,0.4705348,-0.0693332,1.4083499,0.3585779,0.3563101,0.29217952,0.20811836,0.8627636,244351874377174
-2.4246182,0.101588726,1.8546519,-0.07345655,1.2466233,0.40103304,0.35060287,0.28182408,0.21052139,0.86794794,244351894328019
-1.7183338,0.48455763,1.5965118,-0.011453724,1.0024298,0.44638976,0.34454715,0.27420416,0.21279743,0.872248,244351914332267
-2.048349,0.6522927,1.0773611,-0.3631594,0.8906415,0.45799622,0.33979064,0.26604608,0.21150836,0.87694126,244351934313629
-2.976922,0.08625555,1.4155593,-0.83092946,0.8565858,0.46868637,0.33642918,0.2558831,0.20553493,0.8826634,244351954272101
-2.608464,-0.92982674,0.8295574,-0.8483391,0.75991637,0.4961753,0.34052938,0.2224527,0.19669166,0.89211375,244351974222944
-2.3420672,-1.7215106,0.120194435,-0.55680364,0.7276932,0.41538838,0.3366165,0.21491246,0.19326667,0.8961864,244351994166156
-2.8064435,-1.9216478,2.1468248,-0.27488935,0.7640397,0.29229903,0.3331919,0.20750865,0.19313237,0.8992348,244352014109372
-5.423635,2.775931,10.441671,-0.06047566,0.00045814895,0.44974953,0.32969058,0.20813176,0.19068329,0.9009025,244352034052585
-3.80978,0.8351908,1.3691616,0.61743206,-0.13958271,0.75991637,0.3210039,0.21387127,0.19597754,0.9015588,244352053972911
-2.0888278,-0.91009426,-0.8739233,-0.7516697,-0.29443705,0.20204368,0.32200435,0.21407261,0.18693626,0.90307313,244352073870348
0.6422632,-2.4173646,-0.4404173,-0.4100433,-0.44119743,0.40194935,0.32053137,0.21727456,0.17997184,0.90424645,244352093821192
1.6000841,-3.829631,-2.8458438,0.34422258,-0.42287147,0.5542075,0.31491774,0.22363757,0.18117167,0.904428,244352113825441
1.9485176,-3.500166,-2.3436012,0.6542367,-0.29245174,0.3707952,0.31048033,0.22921549,0.18560629,0.9036662,244352133806802
1.3611901,-2.1275842,0.9633608,0.93019503,-0.19425514,0.2602286,0.3064057,0.2343528,0.19171238,0.90246373,244352153765275
-0.6204102,-0.22985268,1.7845325,1.0708468,-0.23823744,0.322995,0.30125013,0.2404082,0.20016153,0.9007706,244352173716118
-1.2935007,0.57458544,-0.017313957,0.8520043,-0.3193298,0.30283645,0.30165356,0.23474841,0.21537314,0.89861715,244352193659330
0.0,0.0,0.0,0.38255435,-0.3100141,0.46914452,0.29725748,0.2396809,0.21656755,0.89849293,244352213602546
0.11192322,-0.8444743,-0.5247159,0.028099801,-0.23136522,0.58383447,0.29239056,0.24293394,0.21420328,0.89978206,244352233545758
0.49118972,-1.3428752,0.37196827,0.23060162,-0.21181752,0.61621034,0.286161,0.24756105,0.20351654,0.90299857,244352253466086
0.44604158,-0.9005017,-0.3456087,0.53023106,-0.25503623,0.63438356,0.2794871,0.25278372,0.20620069,0.90303314,244352273363523
0.42661595,-0.26634645,-1.0938029,0.52564955,-0.24495697,0.66721755,0.27264762,0.25792274,0.20872965,0.90308976,244352293314366
1.0011106,-0.1568737,-0.23166656,0.34422258,-0.1873829,0.70524395,0.26551127,0.26259324,0.2090218,0.9038022,244352313318615
1.6535008,-0.2968378,-0.045548916,0.2875648,-0.21044308,0.70157874,0.2587187,0.2670745,0.20878309,0.90451396,244352333292346
1.8319991,-0.408113,-1.3719301,0.25381452,-0.23991732,0.6365216,0.2507616,0.2774052,0.20727614,0.9039921,244352353235559
1.780272,-0.22743845,-1.10778,-0.015882496,-0.1704314,0.52778757,0.24185231,0.2940113,0.20216717,0.9023266,244352373186404
2.6193905,-0.25720406,0.34226418,-0.23640485,-0.09086621,0.44898596,0.23880573,0.29503316,0.1982735,0.9036675,244352393144877
3.695487,-0.4411111,0.7013335,-0.30757064,-0.093004234,0.3819435,0.23647091,0.29589373,0.1940656,0.90491265,244352413095719
4.048363,-1.1153789,0.13178253,-0.39584067,-0.076358154,0.27152961,0.23534359,0.29622012,0.18942504,0.9060824,244352433038932
4.435582,-0.8547168,0.062538624,-0.4885395,-0.047494773,0.122020334,0.23585208,0.29575217,0.18443982,0.90713084,244352452989778
3.6168156,-1.1078405,-0.49554062,-0.57848936,0.06872234,-0.07376198,0.23819089,0.2936727,0.17954156,0.90817755,244352472948250
