accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
1.4345322,1.9172584,-2.694902,0.0,0.0,0.0,1.0,0.0,0.0,0.0,245957457146339
0.96848965,2.4716034,-4.107383,-1.2657127,-0.050396383,-0.57543504,0.33074892,-0.59380746,0.6080094,0.41027126,245957477089560
0.45819855,-0.020731568,-1.0362911,0.0,0.0,0.0,0.32306018,-0.6027456,0.5994623,0.41590244,245957497032778
-0.455575,-1.1935408,0.991251,-0.8527679,0.024129177,-0.52748215,0.33182472,-0.6115626,0.5824549,0.42027363,245957516975998
-0.78234005,-0.60243154,1.1680517,-0.6611089,-0.32513303,-0.35476,0.33252826,-0.6153216,0.57479405,0.42475435,245957536934476
-0.0123233795,-0.038506985,0.23242474,-0.5390886,-0.48166725,-0.31688634,0.33303905,-0.6167553,0.5690543,0.42997113,245957556892956
-0.44126892,0.043014646,-0.548352,-0.52641314,-0.4428773,-0.17165314,0.3337262,-0.6179429,0.5635361,0.4349718,245957576836174
-0.743392,0.51326305,-0.079769135,-0.49388456,-0.27168232,-0.07009678,0.3330197,-0.61837375,0.5596151,0.43993497,245957596779394
-0.77332973,0.24754441,0.23838782,-0.44012842,-0.07086037,-0.0096211275,0.3312396,-0.6196177,0.55658,0.4433657,245957616722612
-0.97344685,-0.23621082,0.11689758,-0.45814893,-0.0010690142,-0.04337143,0.3286399,-0.6209241,0.5547938,0.44570518,245957636665833
-0.8029871,-0.07072371,0.42207313,-0.57558775,0.03772093,-0.06612616,0.32561928,-0.62322223,0.5520167,0.4481561,245957656624311
-0.55217075,0.17847508,0.8695245,-0.6001751,-0.0013744468,0.040775254,0.32167175,-0.6254176,0.5491897,0.4514099,245957676582789
0.12207699,-0.1826126,0.92752695,-0.50869805,-0.043218717,0.13637567,0.31827888,-0.62646776,0.5470498,0.45494315,245957696480231
0.1777296,0.25017583,-0.16401243,-0.6928739,0.09407325,0.22479841,0.3134697,-0.6272006,0.5458193,0.45873475,245957716377675
0.4739952,-1.1603904,-0.27315974,-0.28298333,0.24846944,0.3463606,0.30770507,-0.6287445,0.5450013,0.46148834,245957736381930
1.0835209,-0.9317424,-0.5862837,0.32452217,0.34330627,0.2835942,0.30479005,-0.6284019,0.5481648,0.46014088,245957756386185
0.38365173,0.6330838,-1.0945029,0.56199604,0.42577308,0.27779096,0.30347162,-0.6270151,0.5549996,0.45467845,245957776329403
-0.23540783,0.6309787,-0.28759527,0.515723,0.36667186,0.21487185,0.30360815,-0.6261167,0.55988663,0.4498076,245957796272623
-0.21063232,0.5400369,0.22358918,0.56062156,0.30848694,0.21533,0.3041026,-0.62466764,0.56477267,0.44535807,245957816215841
0.14859581,0.5403521,0.086894035,0.48670688,0.072540246,0.18509217,0.3055103,-0.6228868,0.5688172,0.44172683,245957836159062
0.9628711,0.5204824,-0.24072361,0.3764457,0.0035124752,0.17852537,0.30726913,-0.62049997,0.5719687,0.43979248,245957856117540
0.6299362,-0.13032842,-0.4636016,0.38423425,0.001985312,0.15974127,0.30881125,-0.6184549,0.5744315,0.43838072,245957876076018
0.6407423,-0.7896517,-0.3440385,0.52549684,-0.037873644,0.18936823,0.31067368,-0.61616033,0.5773083,0.43651298,245957896019236
0.9441328,0.0493176,0.17827702,0.5707009,-0.0852157,0.2134974,0.31389436,-0.61277163,0.5809632,0.43412352,245957915962458
0.4363947,-0.10012233,-0.9189539,0.5581781,-0.07544186,0.2041817,0.31659383,-0.60996157,0.5845064,0.43135566,245957935905676
0.41770554,-0.1172905,-0.7012062,0.643852,-0.033750303,0.22953261,0.3195533,-0.6065755,0.5881504,0.4289884,245957955848896
0.2805767,0.4738909,-0.27325773,0.68203104,0.05390886,0.22418754,0.32250032,-0.60302776,0.5926643,0.4255587,245957975807374
0.17617226,0.25265348,-0.42949152,0.6939429,0.11301007,0.11377365,0.3250683,-0.5999531,0.5970023,0.421871,245957995765853
-0.4525051,1.1779908,0.6941271,0.5103779,-0.039858956,0.17012598,0.32792073,-0.59582156,0.6010952,0.4197015,245958015709071
0.35474777,0.43299365,0.8908272,0.26557365,-0.21090123,0.1348485,0.33013988,-0.59341383,0.6028167,0.41890296,245958035652291
1.1656928,0.015838027,0.7678375,0.31413746,-0.41080686,0.14813483,0.33286053,-0.59035766,0.60376906,0.41969588,245958055595509
1.3549671,-0.47599447,0.78368473,0.5128214,-0.7031059,0.09468412,0.33782586,-0.58590084,0.60427785,0.42123893,245958075538730
0.8905611,-1.2491078,-0.081258774,1.0569496,-0.8578075,-0.22220223,0.34744388,-0.5798752,0.60455734,0.42135265,245958095497209
-0.5672798,-0.34208876,-1.6931717,1.1562152,-1.0143417,-0.3724751,0.3621691,-0.573775,0.604115,0.41792467,245958115455687
-0.12070179,1.4864616,-1.3606088,0.7812967,-0.852157,-0.16523905,0.37496972,-0.56776536,0.60310906,0.4162928,245958135398905
-0.5869608,0.3081941,-0.2483387,0.7276932,-0.65836,-0.07422013,0.38320333,-0.5629704,0.60253423,0.4161397,245958155342126
-0.6570091,-0.8053698,0.25051093,1.1869112,-0.48075095,-0.010842858,0.3916198,-0.55744493,0.6039495,0.4136837,245958175300604
-0.4975872,-0.7049246,0.5198159,1.5615243,-0.41263947,0.22449298,0.40205765,-0.54941577,0.6085189,0.4076725,245958195259082
0.43155193,-0.03998503,0.44417453,1.5577064,-0.24220806,0.29749137,0.41178772,-0.5392826,0.615984,0.40021092,245958215202300
-0.4861021,-1.8403878,1.0270526,0.9502009,-0.513585,0.032070424,0.42353845,-0.53341997,0.61653423,0.39492276,245958235145520
-0.18929291,-1.226713,-0.6225374,2.0105102,-0.15760323,0.37384954,0.4321451,-0.5261927,0.6205837,0.38890585,245958255088738
0.40450573,-0.15080968,-0.92339206,2.2414174,-0.25503623,0.2782491,0.44349858,-0.51294035,0.6312046,0.37653944,245958275031960
0.41296196,1.1902822,-0.89965844,1.1064297,0.26068676,0.3408628,0.44224647,-0.4996907,0.6478031,0.36753026,245958294929402
-0.9686527,1.3480567,-0.041052103,-0.035430185,0.23182335,0.04917465,0.44069657,-0.49845183,0.65144897,0.3646185,245958314826846
-1.6832018,0.03791377,1.2473681,-0.00580322,-0.048716504,0.15714508,0.43847746,-0.4997006,0.6511354,0.36614153,245958334785324
-0.8501215,-0.27824545,1.4104937,0.66339964,-0.3275765,0.29917124,0.44148377,-0.49586076,0.651699,0.36674607,245958354743802
-0.010365486,0.39225674,1.3948009,0.98456204,-0.4297437,0.44073927,0.44861424,-0.4863959,0.6542142,0.36628988,245958374702280
-0.0067977905,0.08440024,1.2429643,0.8355109,-0.6076582,0.25060746,0.45545444,-0.4771653,0.65755874,0.36399305,245958394660758
