accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.37049478,-0.55348086,0.50816256,0.5460435,rotation_vector,244984244029572
0.0,0.0,0.0,0.97112304,-1.5187637,-2.7401888,1.0,0.0,0.0,0.0,gyroscope,244984283938796
-3.7740145,-3.885975,1.5521879,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244984263980371
0.0,0.0,0.0,0.0,0.0,0.0,0.42698398,-0.5554009,0.4785647,0.5293301,rotation_vector,244984283938796
-4.661804,-3.3125522,0.8143718,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244984283938796
0.0,0.0,0.0,0.0,0.0,0.0,0.3996362,-0.55397284,0.49512058,0.5368992,rotation_vector,244984263980371
0.0,0.0,0.0,0.13545936,-1.9010127,-2.7009406,1.0,0.0,0.0,0.0,gyroscope,244984323832758
-4.9905653,-2.4261785,-0.90458244,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244984323832758
0.0,0.0,0.0,0.55741453,-1.7114917,-2.729804,1.0,0.0,0.0,0.0,gyroscope,244984303889592
0.0,0.0,0.0,0.0,0.0,0.0,0.45235136,-0.55687046,0.45859513,0.52437013,rotation_vector,244984303889592
0.0,0.0,0.0,-0.5158757,-1.9953914,-2.8386908,1.0,0.0,0.0,0.0,gyroscope,244984363719092
-3.9521055,-0.98843217,-2.1320543,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244984363719092
0.0,0.0,0.0,-0.25167647,-1.9420934,-2.7424796,1.0,0.0,0.0,0.0,gyroscope,244984343775927
0.0,0.0,0.0,0.0,0.0,0.0,0.5523491,-0.57563025,0.3200124,0.5110308,rotation_vector,244984403628317
0.0,0.0,0.0,-0.64751714,-1.5610662,-3.1575625,1.0,0.0,0.0,0.0,gyroscope,244984403628317
0.0,0.0,0.0,0.0,0.0,0.0,0.5347227,-0.5693545,0.34981045,0.51724243,rotation_vector,244984383669891
0.0,0.0,0.0,-0.6444628,-1.9039142,-2.993698,1.0,0.0,0.0,0.0,gyroscope,244984383669891
0.0,0.0,0.0,-0.27275133,-1.3225232,-3.079219,1.0,0.0,0.0,0.0,gyroscope,244984443522278
0.0,0.0,0.0,0.0,0.0,0.0,0.5869142,-0.58551675,0.265346,0.4922332,rotation_vector,244984443522278
-4.9622316,0.6332061,-3.0931349,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244984423579112
-5.019971,1.6186423,-3.6765988,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244984443522278
0.0,0.0,0.0,0.0,0.0,0.0,0.5696195,-0.5819104,0.2919736,0.5016626,rotation_vector,244984423579112
0.0,0.0,0.0,0.0,0.0,0.0,0.60347235,-0.5866049,0.2395027,0.4841016,rotation_vector,244984463465446
-3.6624422,2.7241611,-4.0873356,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244984463465446
-2.170394,3.7290888,-4.2042055,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244984483408611
0.0,0.0,0.0,0.0,0.0,0.0,0.6177304,-0.58774436,0.21515252,0.4761043,rotation_vector,244984483408611
0.0,0.0,0.0,-0.1647809,-1.4286611,-2.8728993,1.0,0.0,0.0,0.0,gyroscope,244984463465446
0.0,0.0,0.0,-0.21517728,-1.3182472,-2.6896396,1.0,0.0,0.0,0.0,gyroscope,244984483408611
-0.34843636,5.088492,-3.8084671,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244984523317836
0.0,0.0,0.0,-0.42424592,-0.798859,-2.3020456,1.0,0.0,0.0,0.0,gyroscope,244984523317836
0.0,0.0,0.0,0.0,0.0,0.0,0.6354226,-0.5948549,0.17673557,0.45951092,rotation_vector,244984523317836
0.0,0.0,0.0,0.0,0.0,0.0,0.6260845,-0.59141326,0.19699611,0.4684454,rotation_vector,244984503359410
-1.1099224,4.495284,-4.0367393,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244984503359410
0.0,0.0,0.0,0.0,0.0,0.0,0.64263505,-0.59893596,0.15933053,0.45045507,rotation_vector,244984543245744
0.0,0.0,0.0,-0.4072944,-0.26816985,-1.8029687,1.0,0.0,0.0,0.0,gyroscope,244984563143133
0.0,0.0,0.0,0.0,0.0,0.0,0.6483302,-0.6032223,0.14541046,0.44118768,rotation_vector,244984563143133
0.30042648,5.25415,-3.4504275,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244984543245744
0.79957104,5.3526044,-3.151943,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244984563143133
0.0,0.0,0.0,0.0888809,0.2678644,-1.098183,1.0,0.0,0.0,0.0,gyroscope,244984603075243
1.0494146,5.643201,-2.9261985,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244984583086301
