accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
1.4414892,-2.8253946,-3.200401,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245402817032912
0.0,0.0,0.0,0.0,0.0,0.0,0.76142603,-0.24181561,0.5929284,-0.100952715,rotation_vector,245402836991392
0.0,0.0,0.0,-2.1668918,-0.4476115,1.1953106,1.0,0.0,0.0,0.0,gyroscope,245402856934613
1.3904905,-1.6917028,-2.203128,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245402856934613
0.0,0.0,0.0,0.0,0.0,0.0,0.7559475,-0.25769785,0.5964869,-0.07961505,rotation_vector,245402856934613
0.0,0.0,0.0,-2.0500638,-0.45265114,1.1242975,1.0,0.0,0.0,0.0,gyroscope,245402876877836
1.4739561,-1.2728691,-2.2152133,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245402876877836
1.4035773,-1.006815,-2.3021488,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245402896821057
0.0,0.0,0.0,0.0,0.0,0.0,0.7535075,-0.26742014,0.59782153,-0.057639882,rotation_vector,245402876877836
0.0,0.0,0.0,0.0,0.0,0.0,0.75095206,-0.276689,0.5984866,-0.036440894,rotation_vector,245402896821057
0.0,0.0,0.0,-2.0244074,-0.44638976,1.043816,1.0,0.0,0.0,0.0,gyroscope,245402896821057
0.0,0.0,0.0,0.0,0.0,0.0,0.73625994,-0.30686328,0.6031207,0.0013004617,rotation_vector,245402936722760
0.84825325,-1.1460323,-2.0764396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245402936722760
0.0,0.0,0.0,0.0,0.0,0.0,0.74739337,-0.28697246,0.59899944,-0.01580096,rotation_vector,245402916764279
0.0,0.0,0.0,-2.26631,-0.49006665,0.7790059,1.0,0.0,0.0,0.0,gyroscope,245402976624462
0.0,0.0,0.0,0.0,0.0,0.0,0.7299989,-0.3210553,0.60299087,0.02066899,rotation_vector,245402956681241
1.1285677,-0.92189026,-2.3269663,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245402916764279
0.0,0.0,0.0,-2.0616703,-0.4784602,0.9983065,1.0,0.0,0.0,0.0,gyroscope,245402916764279
0.0,0.0,0.0,-2.1523838,-0.5141958,0.93966347,1.0,0.0,0.0,0.0,gyroscope,245402936722760
0.0,0.0,0.0,-2.2359195,-0.5138904,0.88163126,1.0,0.0,0.0,0.0,gyroscope,245402956681241
0.64451694,-1.5051522,-1.7307572,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245402956681241
0.0,0.0,0.0,0.0,0.0,0.0,0.72447133,-0.33399966,0.6016124,0.04059713,rotation_vector,245402976624462
0.6241951,-1.7087798,-1.3873969,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245402976624462
0.8342724,-1.059104,-1.6656151,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245403016510905
0.0,0.0,0.0,0.0,0.0,0.0,0.7157425,-0.35158122,0.6008,0.056060024,rotation_vector,245402996567684
