accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,-2.8727465,0.66645396,-0.4908302,1.0,0.0,0.0,0.0,gyroscope,244689305224194
-2.1103,0.0047039986,1.1032197,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244689365076686
0.0,0.0,0.0,0.0,0.0,0.0,0.5174433,-0.012717609,0.69134355,-0.50411797,rotation_vector,244689345072450
0.0,0.0,0.0,-2.4298692,0.6188065,-0.42928556,1.0,0.0,0.0,0.0,gyroscope,244689345072450
0.0,0.0,0.0,0.0,0.0,0.0,0.5038103,-0.05225387,0.72207373,-0.4712264,rotation_vector,244689404993606
0.0,0.0,0.0,-1.5604553,-0.087201014,-0.6792821,1.0,0.0,0.0,0.0,gyroscope,244689404993606
-2.1948552,-0.67048407,1.6646171,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244689385050405
0.0,0.0,0.0,-1.0858129,-0.08124508,-1.6317738,1.0,0.0,0.0,0.0,gyroscope,244689444902899
-2.461156,-2.370542,1.6612269,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244689424944439
0.0,0.0,0.0,0.0,0.0,0.0,0.4916478,-0.08449023,0.7295012,-0.46794426,rotation_vector,244689444902899
0.0,0.0,0.0,0.0,0.0,0.0,0.49954993,-0.066855095,0.7262546,-0.46747696,rotation_vector,244689424944439
0.0,0.0,0.0,-0.6728681,-0.10430524,-2.9819386,1.0,0.0,0.0,0.0,gyroscope,244689484774042
0.0,0.0,0.0,0.0,0.0,0.0,0.48072287,-0.10703797,0.73151964,-0.47151622,rotation_vector,244689464846100
0.0,0.0,0.0,-0.9999864,-0.12156218,-2.2602015,1.0,0.0,0.0,0.0,gyroscope,244689464846100
0.0,0.0,0.0,0.0,0.0,0.0,0.4666326,-0.13254015,0.730362,-0.48089358,rotation_vector,244689484774042
0.0,0.0,0.0,0.07147124,0.24633141,-4.9243374,1.0,0.0,0.0,0.0,gyroscope,244689524607038
-6.442404,-15.79407,-1.1172963,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244689504694356
0.0,0.0,0.0,4.5280385,2.320677,-6.5591655,1.0,0.0,0.0,0.0,gyroscope,244689604417993
-6.1611786,-19.717669,-1.0314422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244689524607038
0.0,0.0,0.0,0.0,0.0,0.0,0.44587818,-0.1644032,0.7269473,-0.4956935,rotation_vector,244689504694356
-4.5770226,-18.63495,-1.1074682,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244689544542612
0.0,0.0,0.0,0.8686504,0.5766568,-5.717546,1.0,0.0,0.0,0.0,gyroscope,244689544542612
0.0,0.0,0.0,1.788308,0.9841039,-6.3853745,1.0,0.0,0.0,0.0,gyroscope,244689564501072
0.0,0.0,0.0,0.0,0.0,0.0,0.3859797,-0.23296095,0.7036541,-0.5491993,rotation_vector,244689544542612
0.0,0.0,0.0,0.0,0.0,0.0,0.30378914,-0.2893888,0.64925253,-0.6343796,rotation_vector,244689584459533
-0.57230747,-10.540381,0.4342802,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244689584459533
1.0397742,-5.5208387,1.5112872,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244689604417993
0.0,0.0,0.0,0.0,0.0,0.0,0.2592452,-0.30196184,0.6061296,-0.68863493,rotation_vector,244689604417993
0.0,0.0,0.0,0.0,0.0,0.0,0.1756397,-0.29836017,0.45252126,-0.82180077,rotation_vector,244689644289137
0.0,0.0,0.0,0.0,0.0,0.0,0.1329747,-0.29607397,0.025498504,-0.9455198,rotation_vector,244689724107719
0.0,0.0,0.0,6.578866,-1.2883148,-3.3096678,1.0,0.0,0.0,0.0,gyroscope,244689724107719
0.0,0.0,0.0,2.950479,1.6450601,-6.6199465,1.0,0.0,0.0,0.0,gyroscope,244689584459533
0.0,0.0,0.0,9.301187,2.7246118,-6.8629184,1.0,0.0,0.0,0.0,gyroscope,244689644289137
0.0,0.0,0.0,6.8375673,2.7969992,-6.784575,1.0,0.0,0.0,0.0,gyroscope,244689624361195
