accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
-2.7309227,1.866778,-5.699266,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245153983902797
0.0,0.0,0.0,-0.7834347,0.91354895,3.2030718,1.0,0.0,0.0,0.0,gyroscope,245154003861297
0.0,0.0,0.0,0.0,0.0,0.0,0.64930683,0.17904076,0.6652651,-0.32212958,rotation_vector,245153983902797
-2.05725,0.42721844,-4.5890293,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245154003861297
0.0,0.0,0.0,0.0,0.0,0.0,0.6547716,0.19777367,0.66766316,-0.2939146,rotation_vector,245154003861297
0.0,0.0,0.0,-0.9935723,1.5421293,3.4765868,1.0,0.0,0.0,0.0,gyroscope,245154043755289
0.0,0.0,0.0,0.0,0.0,0.0,0.6579134,0.23762622,0.676744,-0.22956799,rotation_vector,245154043755289
0.0,0.0,0.0,0.0,0.0,0.0,0.6532483,0.2800249,0.6856421,-0.15731397,rotation_vector,245154083641599
0.0,0.0,0.0,0.0,0.0,0.0,0.65668046,0.25891745,0.68114614,-0.19435138,rotation_vector,245154063698445
0.0,0.0,0.0,-1.1218541,1.8898643,3.7044396,1.0,0.0,0.0,0.0,gyroscope,245154083641599
0.0,0.0,0.0,-1.0633637,1.689806,3.6332738,1.0,0.0,0.0,0.0,gyroscope,245154063698445
-4.7258835,-3.4261045,-2.0889833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245154063698445
0.0,0.0,0.0,-0.0870483,1.6325374,3.9509237,1.0,0.0,0.0,0.0,gyroscope,245154123550801
-8.453027,-7.9133334,2.1992579,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245154103592387
-0.32711267,4.752109,-4.081359,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245156138236758
-8.911587,-9.121005,2.4755087,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245154123550801
