accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.5481468,0.07473349,0.7158767,-0.42599377,rotation_vector,244537577723789
-1.8265429,-1.6993227,1.481459,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244537597682292
0.0,0.0,0.0,0.0,0.0,0.0,0.56752527,0.11999227,0.7087398,-0.40150332,rotation_vector,244537617633166
-1.307395,-1.7772622,0.6593754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244537637576409
0.0,0.0,0.0,0.0,0.0,0.0,0.57892317,0.14437366,0.698981,-0.39424595,rotation_vector,244537637576409
-1.7317123,-1.9047217,1.210809,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244537617633166
0.0,0.0,0.0,0.7125743,-0.043066,2.8086057,1.0,0.0,0.0,0.0,gyroscope,244537617633166
0.0,0.0,0.0,1.0761919,-0.26648995,2.7139215,1.0,0.0,0.0,0.0,gyroscope,244537637576409
0.0,0.0,0.0,1.1059716,-0.31429017,2.3761132,1.0,0.0,0.0,0.0,gyroscope,244537657519656
0.0,0.0,0.0,0.0,0.0,0.0,0.5886299,0.16593432,0.689061,-0.38881317,rotation_vector,244537657519656
0.0,0.0,0.0,0.11301007,-0.35308012,0.06841691,1.0,0.0,0.0,0.0,gyroscope,244537757266395
-1.6970396,-1.8924131,-0.48980296,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244537677462899
-1.3970232,-1.7744973,-0.06046896,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244537657519656
0.0,0.0,0.0,0.0,0.0,0.0,0.59702826,0.18412769,0.67972934,-0.38421643,rotation_vector,244537677462899
0.0,0.0,0.0,0.98547834,-0.35185838,2.0425806,1.0,0.0,0.0,0.0,gyroscope,244537677462899
0.0,0.0,0.0,0.8425359,-0.4466952,1.6694947,1.0,0.0,0.0,0.0,gyroscope,244537697413775
0.0,0.0,0.0,0.7031059,-0.46303585,1.2188289,1.0,0.0,0.0,0.0,gyroscope,244537717372278
0.0,0.0,0.0,0.0,0.0,0.0,0.6047655,0.1984356,0.6707084,-0.3808311,rotation_vector,244537697413775
-1.7536364,-2.0634093,-0.64822084,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244537697413775
-1.5591955,-1.9651294,-0.512848,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244537717372278
0.0,0.0,0.0,0.0,0.0,0.0,0.6109543,0.20877996,0.6628394,-0.3791961,rotation_vector,244537717372278
0.0,0.0,0.0,0.45998153,-0.42332962,0.6601926,1.0,0.0,0.0,0.0,gyroscope,244537737323152
0.0,0.0,0.0,0.0,0.0,0.0,0.61514115,0.21404217,0.657233,-0.37925205,rotation_vector,244537737323152
