accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,0.03191771,-0.8904888,-0.3387248,1.0,0.0,0.0,0.0,gyroscope,218899287270619
-0.6862049,0.81291866,0.025697708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,218899277299075
0.0,0.0,0.0,0.0,0.0,0.0,0.5128614,-0.5104803,0.6369541,-0.26584306,rotation_vector,218899277299075
0.0,0.0,0.0,0.18509217,-0.783282,-0.32345316,1.0,0.0,0.0,0.0,gyroscope,218899267327532
0.0,0.0,0.0,0.0,0.0,0.0,0.5177874,-0.51459485,0.6306766,-0.26331633,rotation_vector,218899297242162
-0.8310659,0.9689479,0.23080444,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,218899297242162
0.0,0.0,0.0,0.0,0.0,0.0,0.52256703,-0.5206808,0.623584,-0.25876325,rotation_vector,218899317192881
0.0,0.0,0.0,0.0,0.0,0.0,0.52929294,-0.52702093,0.6158028,-0.2507684,rotation_vector,218899337151228
-0.98279166,0.5035858,0.7890501,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,218899337151228
0.0,0.0,0.0,-0.4596761,-1.2571607,-0.52595496,1.0,0.0,0.0,0.0,gyroscope,218899327172055
-0.95438313,0.78673553,0.46699476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,218899317192881
0.0,0.0,0.0,-0.20326541,-1.0645854,-0.4427246,1.0,0.0,0.0,0.0,gyroscope,218899307213708
0.0,0.0,0.0,-0.6757697,-1.4821118,-0.6230826,1.0,0.0,0.0,0.0,gyroscope,218899347130403
0.0,0.0,0.0,0.0,0.0,0.0,0.5368493,-0.53509426,0.60626537,-0.24064326,rotation_vector,218899357079058
0.0,0.0,0.0,0.0,0.0,0.0,0.54112536,-0.54813504,0.59498113,-0.22962748,rotation_vector,218899376976370
-0.84709954,0.75764894,0.9987595,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,218899376976370
-0.96967244,0.41808605,0.9954469,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,218899357079058
0.0,0.0,0.0,-0.92347556,-1.7852536,-0.7651087,1.0,0.0,0.0,0.0,gyroscope,218899367027714
0.0,0.0,0.0,-1.7663169,-2.3197608,-1.0671816,1.0,0.0,0.0,0.0,gyroscope,218899406929149
0.0,0.0,0.0,0.0,0.0,0.0,0.54470164,-0.5658802,0.5804642,-0.21480481,rotation_vector,218899396927088
0.0,0.0,0.0,0.0,0.0,0.0,0.5493908,-0.62932724,0.528104,-0.15239178,rotation_vector,218899456847903
0.0,0.0,0.0,-2.217899,-2.614656,-1.235475,1.0,0.0,0.0,0.0,gyroscope,218899446876360
-1.0289693,-0.31768608,0.1379335,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,218899456847903
0.0,0.0,0.0,-1.6621643,-3.4550538,-1.9453003,1.0,0.0,0.0,0.0,gyroscope,218899526663974
-3.2257595,-0.47432327,-0.3104744,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,218899596487671
-5.148131,-0.30852604,0.033604145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,218899616446017
0.0,0.0,0.0,-1.2858714,-2.0787745,-0.9275989,1.0,0.0,0.0,0.0,gyroscope,218899386925027
0.0,0.0,0.0,0.0,0.0,0.0,0.5458215,-0.58605087,0.56538343,-0.19739544,rotation_vector,218899416931210
-0.81356,0.98725414,1.2550045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,218899416931210
-0.6848836,1.1071062,0.90925074,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,218899396927088
0.0,0.0,0.0,0.0,0.0,0.0,0.5508479,-0.60665303,0.5463151,-0.17343178,rotation_vector,218899436904816
-0.8536608,0.27570438,0.96663356,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,218899436904816
0.0,0.0,0.0,-1.9553796,-2.4810293,-1.1088731,1.0,0.0,0.0,0.0,gyroscope,218899426933273
0.0,0.0,0.0,-2.4949265,-2.7369816,-1.370629,1.0,0.0,0.0,0.0,gyroscope,218899466819450
-1.5305398,-0.49739456,0.57773066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,218899496734080
0.0,0.0,0.0,0.0,0.0,0.0,0.54318386,-0.68048686,0.4809208,-0.102976166,rotation_vector,218899496734080
-1.3987746,-0.30705452,-0.032654762,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,218899476790993
0.0,0.0,0.0,0.0,0.0,0.0,0.546383,-0.6568538,0.5040422,-0.12629445,rotation_vector,218899476790993
