accel_x,accel_y,accel_z,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sample,sensor,stance,timestamp
,,,jump,,,,0.5180811,0.26159742,0.6622848,-0.47385398,27,rotation_vector,neutral,0.3390932083129883
,,,jump,-0.8958339,0.24984388,-0.12965615,,,,,27,gyroscope,neutral,0.33985304832458496
1.0373478,3.9265864,-1.3201227,jump,,,,,,,,27,linear_acceleration,neutral,0.344818115234375
,,,jump,0.65836,0.28527406,-0.6760751,,,,,27,gyroscope,neutral,0.3466482162475586
1.4693232,2.7778301,-0.52099156,jump,,,,,,,,27,linear_acceleration,neutral,0.3483452796936035
,,,jump,,,,0.51334286,0.26275745,0.6608731,-0.4802962,27,rotation_vector,neutral,0.3496382236480713
1.521358,3.7266245,-1.6349139,jump,,,,,,,,27,linear_acceleration,neutral,0.35120105743408203
,,,jump,,,,0.5123807,0.26023358,0.66185033,-0.48135087,27,rotation_vector,neutral,0.3530421257019043
1.0060577,2.6344788,-1.3274523,jump,,,,,,,,27,linear_acceleration,neutral,0.35443615913391113
,,,jump,,,,0.5118114,0.2629679,0.65997535,-0.48304212,27,rotation_vector,neutral,0.3567321300506592
,,,jump,-0.037110064,-0.013133603,-0.17256944,,,,,27,gyroscope,neutral,0.3580322265625
,,,jump,-0.50488013,-0.038179077,-0.09392053,,,,,27,gyroscope,neutral,0.35939621925354004
,,,jump,-0.9440922,0.043218717,-0.028863383,,,,,27,gyroscope,neutral,0.36111021041870117
0.009932518,2.010139,-1.1442833,jump,,,,,,,,27,linear_acceleration,neutral,0.3629951477050781
,,,jump,,,,0.51702726,0.25221187,0.66942644,-0.47004288,27,rotation_vector,neutral,0.36542320251464844
-1.2069321,1.9598752,-2.250998,jump,,,,,,,,27,linear_acceleration,neutral,0.3683960437774658
,,,jump,,,,0.5146826,0.25714168,0.66529757,-0.47577205,27,rotation_vector,neutral,0.37102699279785156
,,,jump,-0.7644979,-0.055741455,-0.051159963,,,,,27,gyroscope,neutral,0.3736240863800049
-2.9927025,1.695473,-3.3378968,jump,,,,,,,,27,linear_acceleration,neutral,0.37637829780578613
,,,jump,,,,0.5179947,0.2482152,0.67470676,-0.46351004,27,rotation_vector,neutral,0.37848806381225586
,,,jump,-0.8226828,0.14034629,-0.6035349,,,,,27,gyroscope,neutral,0.380795955657959
-3.8590317,0.862762,-1.2333406,jump,,,,,,,,27,linear_acceleration,neutral,0.3828301429748535
,,,jump,,,,0.51709265,0.2419158,0.68111724,-0.45844433,27,rotation_vector,neutral,0.3844931125640869
-1.327281,0.61392975,-1.764661,jump,,,,,,,,27,linear_acceleration,neutral,0.3855769634246826
,,,jump,0.37720928,0.46196684,-0.93951076,,,,,27,gyroscope,neutral,0.38795924186706543
-2.3231564,0.2403462,-1.398421,jump,,,,,,,,27,linear_acceleration,neutral,0.39044833183288574
,,,jump,,,,0.5140729,0.23427857,0.68591297,-0.45865682,27,rotation_vector,neutral,0.3917560577392578
,,,jump,,,,0.50751233,0.2301296,0.6889684,-0.46345872,27,rotation_vector,neutral,0.39316320419311523
,,,jump,-0.22724187,0.1638646,-0.8425359,,,,,27,gyroscope,neutral,0.39545130729675293
,,,jump,,,,0.49766985,0.22852527,0.6918023,-0.47064903,27,rotation_vector,neutral,0.39652109146118164
-2.2178698,0.3651564,-1.060436,jump,,,,,,,,27,linear_acceleration,neutral,0.3991062641143799
,,,jump,-0.2078469,0.3391829,-1.0374019,,,,,27,gyroscope,neutral,0.40186119079589844
-2.152464,0.9407234,-0.99602145,jump,,,,,,,,27,linear_acceleration,neutral,0.40334534645080566
,,,jump,,,,0.48924363,0.22433405,0.69552773,-0.47597912,27,rotation_vector,neutral,0.4053621292114258
-2.4155016,4.1319313,2.5104475,jump,,,,,,,,27,linear_acceleration,neutral,0.7641842365264893
,,,jump,0.3491095,0.5357288,-1.0291553,,,,,27,gyroscope,neutral,0.764193058013916
,,,jump,-1.764637,0.10949759,-1.043816,,,,,27,gyroscope,neutral,0.7658162117004395
-1.74508,1.9465003,0.5867216,jump,,,,,,,,27,linear_acceleration,neutral,0.7673323154449463
,,,jump,,,,0.48634255,0.19410445,0.7167952,-0.46043357,27,rotation_vector,neutral,0.7693519592285156
,,,jump,-2.9159653,-0.33337972,-0.7677049,,,,,27,gyroscope,neutral,0.7710809707641602
,,,jump,,,,0.484711,0.2136946,0.70336354,-0.47399336,27,rotation_vector,neutral,0.7728290557861328
-0.9199467,-1.3514543,3.3572335,jump,,,,,,,,27,linear_acceleration,neutral,1.3536350727081299
,,,jump,-2.877939,-0.7122689,-0.6611089,,,,,27,gyroscope,neutral,1.355259895324707
,,,jump,-1.8358028,-0.6704246,-0.59315014,,,,,27,gyroscope,neutral,1.3572330474853516
,,,jump,,,,0.49366552,0.17116667,0.72922677,-0.44184253,27,rotation_vector,neutral,1.3589751720428467
,,,jump,,,,0.5005986,0.15119845,0.73694915,-0.42830595,27,rotation_vector,neutral,1.3605661392211914
-1.9322596,0.46195984,3.2042794,jump,,,,,,,,27,linear_acceleration,neutral,1.362267255783081
-0.8030243,-0.2594695,0.21937609,jump,,,,,,,,27,linear_acceleration,neutral,1.754673957824707
-0.63782406,-0.16642475,1.5288384,jump,,,,,,,,27,linear_acceleration,neutral,1.7593040466308594
-0.5554056,-0.98152065,1.0886354,jump,,,,,,,,27,linear_acceleration,neutral,1.7604312896728516
,,,jump,,,,0.5048107,0.13761264,0.7399683,-0.4227008,27,rotation_vector,neutral,1.7629482746124268
,,,jump,,,,0.5011383,0.10557418,0.755023,-0.40945688,27,rotation_vector,neutral,1.7629539966583252
,,,jump,,,,0.53199506,0.11414397,0.7279961,-0.41710213,27,rotation_vector,neutral,1.7629592418670654
,,,jump,,,,0.5068982,0.12623419,0.74361384,-0.41732192,27,rotation_vector,neutral,1.762963056564331
,,,jump,,,,0.5097076,0.102508545,0.7380308,-0.4301172,27,rotation_vector,neutral,1.7629661560058594
,,,jump,,,,0.49271137,0.07035562,0.742798,-0.44781336,27,rotation_vector,neutral,1.763031244277954
1.4975619,-0.95439434,-0.7705326,jump,,,,,,,,27,linear_acceleration,neutral,1.7630352973937988
,,,jump,-1.2377657,-0.30497447,-0.4914411,,,,,27,gyroscope,neutral,1.7630410194396973
,,,jump,-1.2428054,-0.49220467,-0.589485,,,,,27,gyroscope,neutral,1.7650172710418701
,,,jump,-0.43860126,0.21884248,-0.50701815,,,,,27,gyroscope,neutral,1.7671623229980469
,,,jump,,,,0.5078031,0.11576587,0.74809843,-0.4111971,27,rotation_vector,neutral,1.7693331241607666
-0.62598896,-1.0712886,0.6524707,jump,,,,,,,,27,linear_acceleration,neutral,1.7712461948394775
,,,jump,-0.9757045,-0.07925977,-0.50503284,,,,,27,gyroscope,neutral,1.7726452350616455
,,,jump,,,,0.5059067,0.10869482,0.7519642,-0.40840384,27,rotation_vector,neutral,1.7753071784973145
,,,jump,-0.057421334,0.48838675,-0.5710063,,,,,27,gyroscope,neutral,1.7771000862121582
-1.0723047,-1.0645785,1.1389465,jump,,,,,,,,27,linear_acceleration,neutral,1.7786140441894531
,,,jump,,,,0.49399206,0.10353248,0.7583229,-0.41255206,27,rotation_vector,neutral,1.7806720733642578
-1.6337986,0.37210655,2.8025038,jump,,,,,,,,27,linear_acceleration,neutral,1.782358169555664
,,,jump,0.09590584,0.5412266,-0.6458373,,,,,27,gyroscope,neutral,1.7835032939910889
,,,jump,0.08460484,0.17669277,-0.44394633,,,,,27,gyroscope,neutral,1.784534215927124
1.1299582,-0.55815697,-1.0817432,jump,,,,,,,,27,linear_acceleration,neutral,1.7866802215576172
,,,jump,,,,0.5336922,0.11586919,0.72768766,-0.41499135,27,rotation_vector,neutral,1.7889752388000488
,,,jump,0.12904528,0.16218472,-0.32589662,,,,,27,gyroscope,neutral,1.7910740375518799
-0.26482773,1.3170028,1.748869,jump,,,,,,,,27,linear_acceleration,neutral,1.7928032875061035
,,,jump,-0.29123,0.7502952,-1.157437,,,,,27,gyroscope,neutral,1.7941300868988037
,,,jump,,,,0.5275735,0.11344876,0.7293788,-0.42047864,27,rotation_vector,neutral,1.7956571578979492
,,,jump,,,,0.5183064,0.10862866,0.73476166,-0.4238912,27,rotation_vector,neutral,1.7978639602661133
0.017728806,-8.036439,-2.827683,jump,,,,,,,,27,linear_acceleration,neutral,1.7999019622802734
1.5162659,-4.7821655,-4.2305045,jump,,,,,,,,27,linear_acceleration,neutral,1.802018165588379
,,,jump,0.24877487,0.48915035,-0.6533204,,,,,27,gyroscope,neutral,1.8045063018798828
2.104333,-1.119997,-0.56936544,jump,,,,,,,,27,linear_acceleration,neutral,1.8069751262664795
,,,jump,-0.45738536,0.19746219,-1.2681563,,,,,27,gyroscope,neutral,1.8094940185546875
,,,jump,,,,0.5043786,0.09133568,0.7422299,-0.43168855,27,rotation_vector,neutral,1.8109650611877441
,,,jump,-0.1067487,0.13729197,-1.0606148,,,,,27,gyroscope,neutral,1.8137049674987793
0.48996735,-2.953044,-3.2363708,jump,,,,,,,,27,linear_acceleration,neutral,1.815364122390747
,,,jump,0.18295415,0.14905111,-1.0555751,,,,,27,gyroscope,neutral,1.8167212009429932
1.5586782,-2.2141347,-0.30353147,jump,,,,,,,,27,linear_acceleration,neutral,1.8179373741149902
,,,jump,0.46288314,0.103847094,-0.89949906,,,,,27,gyroscope,neutral,1.8188631534576416
