accel_x,accel_y,accel_z,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sample,sensor,stance,timestamp
,,,noise,0.48151454,0.2060143,-1.500285,,,,,30,gyroscope,neutral,0.0014119148254394531
,,,noise,,,,0.6264678,0.17033753,0.6969947,-0.30450213,30,rotation_vector,neutral,0.003164052963256836
,,,noise,0.7237226,0.17898351,-1.5722144,,,,,30,gyroscope,neutral,0.006535053253173828
,,,noise,,,,0.6191861,0.16383769,0.6991446,-0.3177463,30,rotation_vector,neutral,0.009346961975097656
-0.85499287,-0.086806774,0.64725626,noise,,,,,,,,30,linear_acceleration,neutral,0.012918949127197266
-0.8087139,0.275676,0.7007508,noise,,,,,,,,30,linear_acceleration,neutral,0.014966011047363281
,,,noise,0.6293439,0.20998493,-1.5529722,,,,,30,gyroscope,neutral,0.017088890075683594
,,,noise,,,,0.6039445,0.15199542,0.70145917,-0.34655964,30,rotation_vector,neutral,0.018689870834350586
-0.7703495,0.8854828,0.75573194,noise,,,,,,,,30,linear_acceleration,neutral,0.019503116607666016
,,,noise,,,,0.5961344,0.14688352,0.7016097,-0.36165312,30,rotation_vector,neutral,0.02081608772277832
,,,noise,0.9980011,0.07391469,-1.406059,,,,,30,gyroscope,neutral,0.5375971794128418
,,,noise,,,,0.5752531,0.13704538,0.6967407,-0.40602323,30,rotation_vector,neutral,0.5379140377044678
,,,noise,0.9027061,0.15500705,-1.536937,,,,,30,gyroscope,neutral,0.5379199981689453
-0.75889015,0.5866487,0.71318984,noise,,,,,,,,30,linear_acceleration,neutral,0.5406711101531982
,,,noise,0.80741113,0.16584991,-1.5670221,,,,,30,gyroscope,neutral,0.5425660610198975
,,,noise,,,,0.5885764,0.1429144,0.7008225,-0.37683034,30,rotation_vector,neutral,0.5443592071533203
-0.8437834,1.237452,0.78043044,noise,,,,,,,,30,linear_acceleration,neutral,0.5470108985900879
-0.90956306,1.5561821,0.85941494,noise,,,,,,,,30,linear_acceleration,neutral,0.5491909980773926
,,,noise,0.97295564,0.13332134,-1.48089,,,,,30,gyroscope,neutral,0.551224946975708
,,,noise,,,,0.5816102,0.13975672,0.69914234,-0.39166006,30,rotation_vector,neutral,0.5531041622161865
,,,noise,,,,0.56982523,0.13523848,0.69352794,-0.4195577,30,rotation_vector,neutral,0.5544171333312988
-1.0135431,1.9381351,0.8492944,noise,,,,,,,,30,linear_acceleration,neutral,0.5553052425384521
,,,noise,0.9950995,-0.035124753,-1.2351695,,,,,30,gyroscope,neutral,0.5561420917510986
,,,noise,1.0079277,0.028863383,-1.3213016,,,,,30,gyroscope,neutral,1.085679054260254
-0.98957825,1.7415617,0.91924363,noise,,,,,,,,30,linear_acceleration,neutral,1.0883581638336182
,,,noise,,,,0.5713407,0.14071758,0.6861171,-0.4277989,30,rotation_vector,neutral,1.0898652076721191
-0.7121992,2.0433276,0.65469116,noise,,,,,,,,30,linear_acceleration,neutral,1.0925018787384033
-0.51919556,2.134069,0.601509,noise,,,,,,,,30,linear_acceleration,neutral,1.0952491760253906
,,,noise,,,,0.56908274,0.14070562,0.68136775,-0.4382749,30,rotation_vector,neutral,1.0970962047576904
,,,noise,0.9230174,-0.11407909,-1.1603385,,,,,30,gyroscope,neutral,1.0982639789581299
-0.54613113,2.1945868,0.5004414,noise,,,,,,,,30,linear_acceleration,neutral,1.450653076171875
,,,noise,0.77549344,-0.1956296,-1.0380127,,,,,30,gyroscope,neutral,1.4506630897521973
,,,noise,0.8344419,-0.15470162,-1.102001,,,,,30,gyroscope,neutral,1.4506678581237793
,,,noise,,,,0.56685305,0.1403478,0.6769642,-0.44799495,30,rotation_vector,neutral,1.4533212184906006
,,,noise,,,,0.559316,0.13038251,0.66622335,-0.47572324,30,rotation_vector,neutral,1.4601051807403564
,,,noise,0.1863139,-0.4746423,-0.68951416,,,,,30,gyroscope,neutral,1.4641408920288086
-0.4876213,3.013554,-1.6788001,noise,,,,,,,,30,linear_acceleration,neutral,1.4641520977020264
,,,noise,-0.77304995,-0.5367978,-0.039858956,,,,,30,gyroscope,neutral,1.464156150817871
,,,noise,,,,0.5899524,0.08757448,0.6728315,-0.43770403,30,rotation_vector,neutral,1.4641592502593994
,,,noise,-0.64721173,-0.40744713,1.675298,,,,,30,gyroscope,neutral,1.464163064956665
,,,noise,,,,0.5638942,0.13816734,0.6731405,-0.45805556,30,rotation_vector,neutral,1.4641671180725098
-0.48288155,2.395093,0.39384896,noise,,,,,,,,30,linear_acceleration,neutral,1.4716682434082031
,,,noise,,,,0.69885683,0.18925744,0.63610375,-0.266745,30,rotation_vector,neutral,1.4813830852508545
,,,noise,,,,0.6943291,0.17966045,0.64219004,-0.27059418,30,rotation_vector,neutral,1.4813921451568604
,,,noise,0.69989884,-0.26526824,-0.9647089,,,,,30,gyroscope,neutral,1.4813978672027588
,,,noise,3.0920472,0.21074851,0.21578814,,,,,30,gyroscope,neutral,1.4814040660858154
,,,noise,,,,0.63570905,0.31227273,0.5799043,-0.4025801,30,rotation_vector,neutral,1.481407880783081
1.4923677,-3.7421188,2.2183836,noise,,,,,,,,30,linear_acceleration,neutral,1.4814119338989258
,,,noise,3.6470182,-0.34865135,-0.009773844,,,,,30,gyroscope,neutral,1.4814162254333496
,,,noise,0.5215262,-1.2087497,-0.2751948,,,,,30,gyroscope,neutral,1.4814200401306152
,,,noise,1.0331259,-2.2247713,-1.8022052,,,,,30,gyroscope,neutral,1.48142409324646
,,,noise,0.40118575,-0.40683624,-0.7874053,,,,,30,gyroscope,neutral,1.4814281463623047
-7.665736,-3.3774524,0.8070016,noise,,,,,,,,30,linear_acceleration,neutral,1.4835140705108643
-6.9122057,-2.9542212,1.9908276,noise,,,,,,,,30,linear_acceleration,neutral,1.483525037765503
-9.181371,0.37200475,-2.581499,noise,,,,,,,,30,linear_acceleration,neutral,1.4842379093170166
,,,noise,,,,0.56051975,0.063928954,0.16455103,-0.80910665,30,rotation_vector,neutral,1.4842491149902344
,,,noise,,,,0.56123817,0.13475059,0.6695318,-0.46752664,30,rotation_vector,neutral,1.484255075454712
-0.4055729,2.573099,0.29982984,noise,,,,,,,,30,linear_acceleration,neutral,1.4854230880737305
,,,noise,0.5685628,-0.33567044,-0.88193667,,,,,30,gyroscope,neutral,1.487612009048462
-0.32701874,2.729595,0.051006317,noise,,,,,,,,30,linear_acceleration,neutral,1.4887139797210693
,,,noise,,,,0.5584648,0.12509134,0.6632638,-0.4822347,30,rotation_vector,neutral,1.4904649257659912
-0.2693119,3.021864,-0.5717082,noise,,,,,,,,30,linear_acceleration,neutral,1.4922149181365967
,,,noise,,,,0.5587195,0.1188396,0.6609717,-0.48664793,30,rotation_vector,neutral,1.4935369491577148
-0.26205826,2.8902395,-0.30223888,noise,,,,,,,,30,linear_acceleration,neutral,1.494814157485962
,,,noise,-0.053297993,-0.517861,-0.573297,,,,,30,gyroscope,neutral,1.4958560466766357
,,,noise,-0.48426342,-0.50594914,-0.24205536,,,,,30,gyroscope,neutral,1.4970080852508545
,,,noise,,,,0.5600519,0.112152085,0.65947443,-0.4887303,30,rotation_vector,neutral,1.4980809688568115
-0.4562006,3.0256326,-0.7738421,noise,,,,,,,,30,linear_acceleration,neutral,1.4991121292114258
,,,noise,-0.26343563,-0.5195409,-0.42378777,,,,,30,gyroscope,neutral,1.5001840591430664
-0.78204346,2.987533,-1.141538,noise,,,,,,,,30,linear_acceleration,neutral,1.5013401508331299
,,,noise,,,,0.5624432,0.10649134,0.6590217,-0.48786017,30,rotation_vector,neutral,1.5025441646575928
,,,noise,,,,0.56601566,0.10077146,0.6596159,-0.48412633,30,rotation_vector,neutral,1.5037751197814941
,,,noise,,,,0.5709054,0.093513645,0.6611103,-0.4777609,30,rotation_vector,neutral,1.5047409534454346
-0.8016739,3.0703304,-1.5125941,noise,,,,,,,,30,linear_acceleration,neutral,1.5063121318817139
,,,noise,-1.07665,-0.51893,0.1742493,,,,,30,gyroscope,neutral,1.5083088874816895
,,,noise,-1.2235631,-0.37384954,0.6953174,,,,,30,gyroscope,neutral,1.5096821784973145
-0.36911678,2.6918988,-1.5488365,noise,,,,,,,,30,linear_acceleration,neutral,1.511124849319458
,,,noise,,,,0.58280754,0.0832083,0.6678671,-0.45537373,30,rotation_vector,neutral,1.5126371383666992
-0.6618166,2.2791185,-1.3350763,noise,,,,,,,,30,linear_acceleration,neutral,1.5138590335845947
,,,noise,-1.2486086,-0.42546764,0.41233405,,,,,30,gyroscope,neutral,1.5150141716003418
,,,noise,,,,0.5765899,0.08646421,0.6638852,-0.46832106,30,rotation_vector,neutral,1.516629934310913
,,,noise,-0.8773552,-0.41263947,1.3507757,,,,,30,gyroscope,neutral,1.5184080600738525
-0.67329025,1.795537,-1.1536328,noise,,,,,,,,30,linear_acceleration,neutral,1.5199949741363525
,,,noise,,,,0.5977531,0.09352062,0.67607075,-0.42056328,30,rotation_vector,neutral,1.5216059684753418
-0.45176888,1.3211713,-1.0871593,noise,,,,,,,,30,linear_acceleration,neutral,1.5229861736297607
,,,noise,-1.0729848,-0.4005749,1.0097603,,,,,30,gyroscope,neutral,1.5244472026824951
,,,noise,-0.3895793,-0.41538838,1.9674442,,,,,30,gyroscope,neutral,1.526557207107544
,,,noise,,,,0.61615837,0.10979329,0.67563885,-0.3896236,30,rotation_vector,neutral,1.528508186340332
-0.6102381,0.23254228,-1.1457019,noise,,,,,,,,30,linear_acceleration,neutral,1.5299351215362549
,,,noise,,,,0.6056218,0.10192729,0.6779993,-0.40391833,30,rotation_vector,neutral,1.5318031311035156
-0.42449474,0.7552762,-1.0575261,noise,,,,,,,,30,linear_acceleration,neutral,1.5340361595153809
,,,noise,-0.15347989,-0.4251622,2.2149973,,,,,30,gyroscope,neutral,1.5360090732574463
,,,noise,,,,0.62734073,0.12093801,0.6715411,-0.37530017,30,rotation_vector,neutral,1.538013219833374
-0.76748276,-0.25592256,-1.2624087,noise,,,,,,,,30,linear_acceleration,neutral,1.5395162105560303
,,,noise,,,,0.6387528,0.13459784,0.6660998,-0.36081764,30,rotation_vector,neutral,1.541611909866333
,,,noise,-0.013897184,-0.4007276,2.371226,,,,,30,gyroscope,neutral,1.5437431335449219
-0.9173384,-0.72590303,-1.2014068,noise,,,,,,,,30,linear_acceleration,neutral,1.5449190139770508
,,,noise,,,,0.6496359,0.14944954,0.6602841,-0.34592345,30,rotation_vector,neutral,1.546802043914795
,,,noise,,,,0.6603457,0.16351274,0.6543582,-0.33018574,30,rotation_vector,neutral,1.5493090152740479
-1.5476894,-1.2333443,-1.3253034,noise,,,,,,,,30,linear_acceleration,neutral,1.5505189895629883
-1.9317198,-1.5489557,-1.6307198,noise,,,,,,,,30,linear_acceleration,neutral,1.552278995513916
,,,noise,-0.014813482,-0.35063666,2.4216225,,,,,30,gyroscope,neutral,1.5536980628967285
,,,noise,-0.2098322,-0.45005497,2.3704627,,,,,30,gyroscope,neutral,1.555562973022461
,,,noise,-0.7425067,-0.47357327,1.9292651,,,,,30,gyroscope,neutral,1.5575242042541504
-1.391923,-1.8124397,-1.771241,noise,,,,,,,,30,linear_acceleration,neutral,1.5591850280761719
-0.70824814,-2.3671563,-1.5939565,noise,,,,,,,,30,linear_acceleration,neutral,1.5609290599822998
,,,noise,,,,0.6826404,0.18111703,0.64312226,-0.29596055,30,rotation_vector,neutral,1.5625920295715332
,,,noise,,,,0.67172,0.17421693,0.6482481,-0.3133929,30,rotation_vector,neutral,1.563995122909546
,,,noise,-0.5352707,-0.54443365,2.1913264,,,,,30,gyroscope,neutral,1.5656630992889404
,,,noise,-0.5849035,-0.33200526,1.3020593,,,,,30,gyroscope,neutral,1.567655086517334
