accel_x,accel_y,accel_z,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sample,sensor,stance,timestamp
,,,punch,,,,0.3297753,0.22666587,-0.52779037,0.749205,25,rotation_vector,combat,0.13931488990783691
,,,punch,-0.48181996,0.48365256,-0.8330675,,,,,25,gyroscope,combat,0.13932490348815918
7.1185555,-1.4361815,4.626733,punch,,,,,,,,25,linear_acceleration,combat,0.13933205604553223
,,,punch,,,,0.34966114,0.22523241,-0.5265355,0.74146336,25,rotation_vector,combat,0.13933610916137695
,,,punch,,,,0.3379048,0.22711587,-0.52832264,0.74505967,25,rotation_vector,combat,0.13934016227722168
,,,punch,-0.68401635,0.08109236,-0.5888741,,,,,25,gyroscope,combat,0.1393449306488037
,,,punch,,,,0.37527728,0.2277982,-0.49787676,0.7479263,25,rotation_vector,combat,0.14250922203063965
,,,punch,-1.3607023,0.12064589,-0.572228,,,,,25,gyroscope,combat,0.1425180435180664
,,,punch,,,,0.39616197,0.2368997,-0.44642058,0.7665786,25,rotation_vector,combat,0.14382386207580566
,,,punch,1.8803959,1.2557862,-1.3225232,,,,,25,gyroscope,combat,0.1438291072845459
,,,punch,,,,0.32376447,0.22531493,-0.52640885,0.75319546,25,rotation_vector,combat,0.14499783515930176
2.5549784,-0.23725939,2.5758364,punch,,,,,,,,25,linear_acceleration,combat,0.1466372013092041
4.5856013,0.067370415,2.3462517,punch,,,,,,,,25,linear_acceleration,combat,0.14894390106201172
6.1137457,-0.50654984,2.4703062,punch,,,,,,,,25,linear_acceleration,combat,0.1511240005493164
,,,punch,-0.42470407,0.1572978,-0.66507953,,,,,25,gyroscope,combat,0.1525440216064453
,,,punch,,,,0.3627208,0.224564,-0.51678383,0.7422528,25,rotation_vector,combat,0.15458321571350098
7.3227286,-1.8047009,6.1891327,punch,,,,,,,,25,linear_acceleration,combat,0.15723204612731934
7.6319494,-2.374642,6.323429,punch,,,,,,,,25,linear_acceleration,combat,0.15989398956298828
,,,punch,-0.047647487,0.9210321,-1.0048733,,,,,25,gyroscope,combat,0.16231608390808105
,,,punch,0.9472993,1.1415545,-1.2136365,,,,,25,gyroscope,combat,0.16390109062194824
,,,punch,2.2893703,1.3687963,-1.2493721,,,,,25,gyroscope,combat,0.16499614715576172
7.60945,0.560586,6.316632,punch,,,,,,,,25,linear_acceleration,combat,0.16676783561706543
8.26223,3.4446323,7.723355,punch,,,,,,,,25,linear_acceleration,combat,0.1681079864501953
,,,punch,,,,0.38646457,0.23294261,-0.47291392,0.75679284,25,rotation_vector,combat,0.1696782112121582
,,,punch,,,,0.40059644,0.2412809,-0.42040008,0.77754086,25,rotation_vector,combat,0.2086961269378662
,,,punch,,,,0.39468074,0.24802208,-0.39414382,0.79206246,25,rotation_vector,combat,0.20870709419250488
,,,punch,2.443461,1.3358096,-0.9764681,,,,,25,gyroscope,combat,0.20935821533203125
,,,punch,3.6554177,0.40882155,0.5900958,,,,,25,gyroscope,combat,0.21383094787597656
8.093924,3.5126867,7.4627905,punch,,,,,,,,25,linear_acceleration,combat,0.21384906768798828
,,,punch,2.7044532,0.8978192,-0.33292156,,,,,25,gyroscope,combat,0.2168278694152832
7.1720734,3.182127,6.876708,punch,,,,,,,,25,linear_acceleration,combat,0.21870112419128418
,,,punch,5.000543,-0.32650748,1.8101465,,,,,25,gyroscope,combat,0.2209930419921875
6.246711,5.8776274,5.1463594,punch,,,,,,,,25,linear_acceleration,combat,0.22370219230651855
,,,punch,,,,0.33560887,0.27693868,-0.32587555,0.83933115,25,rotation_vector,combat,0.22620010375976562
6.402613,9.887819,2.688704,punch,,,,,,,,25,linear_acceleration,combat,0.2272357940673828
,,,punch,,,,0.37407807,0.2603498,-0.36129597,0.8134795,25,rotation_vector,combat,0.2295382022857666
,,,punch,3.520569,-0.66828656,5.1612005,,,,,25,gyroscope,combat,0.33170104026794434
,,,punch,5.0767484,-0.850019,3.314402,,,,,25,gyroscope,combat,0.3317141532897949
