accel_x,accel_y,accel_z,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sample,sensor,stance,timestamp
,,,turn,,,,0.8665809,-8.733005e-05,-0.40583572,0.29040495,8,rotation_vector,travel,0.0021479129791259766
,,,turn,-1.055117,-0.38056904,-0.1160644,,,,,8,gyroscope,travel,0.002171039581298828
-0.13906479,0.24411023,0.31749758,turn,,,,,,,,8,linear_acceleration,travel,0.0046460628509521484
,,,turn,0.10888673,-0.04886922,0.3277292,,,,,8,gyroscope,travel,0.009475946426391602
-4.0071774,-2.1002004,-3.9667213,turn,,,,,,,,8,linear_acceleration,travel,0.009496212005615234
,,,turn,-0.36285394,0.74220127,-5.1303515,,,,,8,gyroscope,travel,0.013447046279907227
0.4373026,-0.26481733,0.48684096,turn,,,,,,,,8,linear_acceleration,travel,0.01346898078918457
0.32541656,0.22160614,0.5390974,turn,,,,,,,,8,linear_acceleration,travel,0.017773151397705078
0.39747238,0.22107223,0.5146241,turn,,,,,,,,8,linear_acceleration,travel,0.021645069122314453
,,,turn,,,,0.5111485,0.47821546,0.45516878,-0.55032593,8,rotation_vector,travel,0.025148868560791016
,,,turn,,,,0.500672,0.47621053,0.45693988,-0.5601403,8,rotation_vector,travel,0.02827596664428711
,,,turn,,,,0.49402437,0.47001454,0.46116012,-0.56776553,8,rotation_vector,travel,0.03131604194641113
-0.17915535,0.1643951,-0.1284988,turn,,,,,,,,8,linear_acceleration,travel,0.03132510185241699
,,,turn,1.0876455,0.63300914,-0.6638578,,,,,8,gyroscope,travel,0.03447604179382324
,,,turn,,,,0.21066731,0.5318928,0.44875783,-0.68653184,8,rotation_vector,travel,0.038968801498413086
,,,turn,,,,0.90702695,0.41511694,-0.07021213,-0.0070935218,8,rotation_vector,travel,0.03897404670715332
,,,turn,2.3645067,0.048258353,0.9460775,,,,,8,gyroscope,travel,0.04354095458984375
,,,turn,0.64904433,0.03680463,-0.8045095,,,,,8,gyroscope,travel,0.04354596138000488
0.053660393,0.083601356,0.099396884,turn,,,,,,,,8,linear_acceleration,travel,0.04355001449584961
,,,turn,,,,0.041415147,-0.65132225,-0.16098033,0.7403711,8,rotation_vector,travel,0.048017024993896484
-0.61361885,-1.277668,-1.0196397,turn,,,,,,,,8,linear_acceleration,travel,0.05386090278625488
,,,turn,2.3529003,0.055741455,0.6075055,,,,,8,gyroscope,travel,0.057283878326416016
,,,turn,,,,0.7867677,-0.13479824,0.6007016,-0.044539746,8,rotation_vector,travel,0.05729103088378906
-1.1757984,-1.3091745,-1.2921586,turn,,,,,,,,8,linear_acceleration,travel,0.06003689765930176
-1.0882368,-1.2065408,-1.6465259,turn,,,,,,,,8,linear_acceleration,travel,0.06359195709228516
,,,turn,-0.20219639,0.54809886,0.38560867,,,,,8,gyroscope,travel,0.0635988712310791
-0.7808609,-1.0035527,-1.9262367,turn,,,,,,,,8,linear_acceleration,travel,0.06680107116699219
,,,turn,,,,0.7933192,-0.008507543,0.5815442,-0.17994042,8,rotation_vector,travel,0.06680822372436523
-0.17783451,-0.84553504,-1.8806981,turn,,,,,,,,8,linear_acceleration,travel,0.06870293617248535
,,,turn,0.24969117,0.18845193,-0.5560401,,,,,8,gyroscope,travel,0.07138586044311523
