accel_x,accel_y,accel_z,collection_mode,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,stance,timestamp
,,,continuous,walk,-3.3716707,-1.9118555,-1.8498527,,,,,gyroscope,travel,0.022444963455200195
1.2559915,1.1178017,-1.63276,continuous,walk,,,,,,,,linear_acceleration,travel,0.028316020965576172
,,,continuous,walk,,,,0.7270196,-0.33517376,0.5924238,-0.09019506,rotation_vector,travel,0.03050374984741211
,,,continuous,walk,-3.2479706,-1.9005545,-1.7683022,,,,,gyroscope,travel,0.030524730682373047
0.9845114,2.308127,-1.8242218,continuous,walk,,,,,,,,linear_acceleration,travel,0.0305330753326416
0.5759616,3.0899608,-1.7340658,continuous,walk,,,,,,,,linear_acceleration,travel,0.03053879737854004
,,,continuous,walk,-2.5395195,-1.6204728,-1.4372132,,,,,gyroscope,travel,0.030545711517333984
,,,continuous,walk,,,,0.7246659,-0.38830024,0.5645059,-0.07358968,rotation_vector,travel,0.030551910400390625
,,,continuous,walk,,,,0.7252636,-0.23017289,0.636619,-0.12541756,rotation_vector,travel,0.03055882453918457
1.100832,0.76847553,-1.6702269,continuous,walk,,,,,,,,linear_acceleration,travel,0.03344988822937012
,,,continuous,walk,,,,0.72683626,-0.267869,0.62225187,-0.11295074,rotation_vector,travel,0.03680610656738281
0.88594913,0.192832,-1.584915,continuous,walk,,,,,,,,linear_acceleration,travel,0.03915596008300781
,,,continuous,walk,,,,0.7273937,-0.30262145,0.60745543,-0.1015709,rotation_vector,travel,0.04093575477600098
,,,continuous,walk,-2.7959301,-1.7088956,-1.5661057,,,,,gyroscope,travel,0.04486274719238281
1.182147,1.604403,-1.6745892,continuous,walk,,,,,,,,linear_acceleration,travel,0.04803609848022461
,,,continuous,walk,-3.0546317,-1.8196149,-1.6728544,,,,,gyroscope,travel,0.05031394958496094
,,,continuous,walk,-2.3060162,-1.4929546,-1.2884675,,,,,gyroscope,travel,0.05120992660522461
,,,continuous,walk,,,,0.72589827,-0.3618977,0.5789177,-0.08340339,rotation_vector,travel,0.05290699005126953
,,,continuous,walk,-2.0303633,-1.3642148,-0.7359399,,,,,gyroscope,travel,0.16794800758361816
-1.6333542,5.711185,-2.310467,continuous,walk,,,,,,,,linear_acceleration,travel,0.16796207427978516
