accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,0.013286319,0.014202617,0.002443461,1.0,0.0,0.0,0.0,gyroscope,3503205231235
0.0,0.0,0.0,0.0,0.0,0.0,0.30712083,0.49516913,0.44239858,-0.6817389,rotation_vector,3503185272887
0.0,0.0,0.0,0.0,0.0,0.0,0.30702144,0.49530342,0.442367,-0.6817066,rotation_vector,3503205231235
0.06751728,-0.005697727,-0.028171659,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503205231235
0.07180786,-0.013310432,-0.04211569,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503185272887
0.0,0.0,0.0,0.022602014,0.0125227375,0.00030543262,1.0,0.0,0.0,0.0,gyroscope,3503245125041
0.0,0.0,0.0,0.0,0.0,0.0,0.3068672,0.49547663,0.44228032,-0.68170637,rotation_vector,3503225181953
0.0,0.0,0.0,0.0,0.0,0.0,0.30669856,0.49565184,0.44217306,-0.6817244,rotation_vector,3503245125041
0.0,0.0,0.0,0.019089539,0.015577064,0.0018325958,1.0,0.0,0.0,0.0,gyroscope,3503225181953
0.020363808,-0.03727913,0.0051215887,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503245125041
0.0,0.0,0.0,0.0,0.0,0.0,0.3065178,0.4957846,0.44204557,-0.68179196,rotation_vector,3503265068131
0.007177353,-0.033539772,0.0072318316,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503265068131
0.0441885,-0.023297548,0.0019125938,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503285011219
0.0,0.0,0.0,0.01985312,0.0056505036,-0.0032070426,1.0,0.0,0.0,0.0,gyroscope,3503265068131
0.0,0.0,0.0,0.014813482,-0.0,-0.0070249503,1.0,0.0,0.0,0.0,gyroscope,3503285011219
0.0,0.0,0.0,0.0,0.0,0.0,0.30639026,0.49582136,0.44196635,-0.6818738,rotation_vector,3503285011219
0.031234741,0.019793272,-0.020996809,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503324828734
0.0,0.0,0.0,0.023823744,-0.0009162979,-0.010079277,1.0,0.0,0.0,0.0,gyroscope,3503324828734
0.0,0.0,0.0,0.017104227,-0.00015271631,-0.011148291,1.0,0.0,0.0,0.0,gyroscope,3503304931422
0.0,0.0,0.0,0.0,0.0,0.0,0.3060643,0.49582738,0.44183487,-0.6821011,rotation_vector,3503324828734
0.0,0.0,0.0,0.01817324,0.00061086525,-0.0035124752,1.0,0.0,0.0,0.0,gyroscope,3503364714914
0.05330181,0.06636095,-0.063798904,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503344756566
0.00060749054,0.059651375,-0.088116765,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503364714914
0.0,0.0,0.0,0.0,0.0,0.0,0.30588722,0.4958635,0.44170323,-0.68223953,rotation_vector,3503344756566
0.0,0.0,0.0,0.0346666,0.0015271631,0.0022907446,1.0,0.0,0.0,0.0,gyroscope,3503404700273
0.0,0.0,0.0,0.028405234,0.0012217305,0.0015271631,1.0,0.0,0.0,0.0,gyroscope,3503384696149
-0.029777527,0.032826424,-0.06768513,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503384696149
-0.030385971,0.044814825,-0.070441246,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503404700273
0.0,0.0,0.0,0.0,0.0,0.0,0.30564326,0.49598247,0.44147518,-0.68241,rotation_vector,3503384696149
0.0,0.0,0.0,0.0,0.0,0.0,0.3054834,0.49612755,0.4412274,-0.68253636,rotation_vector,3503404700273
0.0,0.0,0.0,0.008246681,0.00061086525,-0.006872234,1.0,0.0,0.0,0.0,gyroscope,3503444616967
-0.0007686615,0.060850143,-0.10288775,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503424673879
0.0,0.0,0.0,0.0,0.0,0.0,0.30522254,0.4962747,0.44094348,-0.6827294,rotation_vector,3503444616967
0.014635086,0.06961346,-0.10307181,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503444616967
-0.008161545,0.064151525,-0.07561171,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503464560057
0.040053368,0.106758595,-0.07347381,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503484503145
0.0,0.0,0.0,0.0050396384,-0.0016798794,-0.0067195175,1.0,0.0,0.0,0.0,gyroscope,3503464560057
0.0,0.0,0.0,0.0,0.0,0.0,0.30509853,0.49625218,0.4409404,-0.6828033,rotation_vector,3503484503145
0.0,0.0,0.0,0.0032070426,0.0018325958,0.0032070426,1.0,0.0,0.0,0.0,gyroscope,3503504446235
0.0,0.0,0.0,-0.00045814895,-0.00045814895,0.008857546,1.0,0.0,0.0,0.0,gyroscope,3503524389323
0.045529366,0.09490824,-0.09948826,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503504446235
0.0,0.0,0.0,0.0,0.0,0.0,0.30510312,0.49634025,0.44087937,-0.68277663,rotation_vector,3503524389323
0.031464577,0.07569718,-0.08131552,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3503524389323
