accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.2554022,-0.22105996,-0.3546275,0.87186104,rotation_vector,7532286966340
0.09268999,0.3279462,0.009179115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7532286966340
0.0,0.0,0.0,-0.43997568,0.027794369,0.11728613,1.0,0.0,0.0,0.0,gyroscope,7532326868040
0.0,0.0,0.0,0.0,0.0,0.0,0.25292966,-0.22258079,-0.35898286,0.8704113,rotation_vector,7532306909562
0.20216727,0.31187725,0.022624493,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7532306909562
0.28237367,0.20047474,0.08345938,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7532326868040
0.24095821,0.018467903,0.13715315,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7532366769738
0.0,0.0,0.0,-0.3587306,0.079107046,0.10949759,1.0,0.0,0.0,0.0,gyroscope,7532346826519
0.26655674,0.0948925,0.104513645,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7532346826519
0.0,0.0,0.0,0.0,0.0,0.0,0.24919976,-0.2261802,-0.36581188,0.86771184,rotation_vector,7532346826519
0.0,0.0,0.0,0.0,0.0,0.0,0.24561517,-0.23309493,-0.3712109,0.8646054,rotation_vector,7532426599398
0.0,0.0,0.0,-0.20463985,0.11071932,0.0888809,1.0,0.0,0.0,0.0,gyroscope,7532386712959
0.0,0.0,0.0,0.0,0.0,0.0,0.2463537,-0.2316019,-0.37061617,0.86505157,rotation_vector,7532406656178
0.0,0.0,0.0,0.0,0.0,0.0,0.24708737,-0.22990881,-0.36967137,0.86569804,rotation_vector,7532386712959
0.0,0.0,0.0,-0.1441642,0.103847094,0.09162979,1.0,0.0,0.0,0.0,gyroscope,7532406656178
0.0,0.0,0.0,-0.12370021,0.08857546,0.09468412,1.0,0.0,0.0,0.0,gyroscope,7532426599398
0.030946016,0.10392904,-0.030516624,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7532426599398
0.0,0.0,0.0,0.0,0.0,0.0,0.24482283,-0.23439439,-0.3719232,0.8641726,rotation_vector,7532446557877
0.0,0.0,0.0,-0.14034629,0.06093381,0.07941248,1.0,0.0,0.0,0.0,gyroscope,7532446557877
-0.022040129,0.107933044,-0.05657482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7532446557877
0.0,0.0,0.0,0.0,0.0,0.0,0.24347238,-0.23588544,-0.37365082,0.86340284,rotation_vector,7532486459574
0.0,0.0,0.0,0.0,0.0,0.0,0.24405971,-0.23534787,-0.37293988,0.863691,rotation_vector,7532466516355
-0.1241653,-0.030290604,-0.014627457,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7532466516355
0.0,0.0,0.0,-0.1301143,0.025045475,0.056046885,1.0,0.0,0.0,0.0,gyroscope,7532466516355
-0.1996398,-0.08614349,0.056512356,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,7532486459574
