accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.42400497,-0.7341493,0.5086903,-0.14992976,rotation_vector,245354951243072
0.0,0.0,0.0,-0.020922136,-0.049938235,-0.013286319,1.0,0.0,0.0,0.0,gyroscope,245354991136871
0.0,0.0,0.0,0.004276057,-0.038789943,-0.016493361,1.0,0.0,0.0,0.0,gyroscope,245354971193786
0.0,0.0,0.0,0.0,0.0,0.0,0.424288,-0.73453283,0.5080926,-0.14927544,rotation_vector,245354991136871
0.0,0.0,0.0,0.0,0.0,0.0,0.4242119,-0.7342961,0.50837165,-0.14970578,rotation_vector,245354971193786
0.0,0.0,0.0,0.0,0.0,0.0,0.424136,-0.7349018,0.5078943,-0.14856501,rotation_vector,245355011079958
0.0,0.0,0.0,0.0,0.0,0.0,0.42373845,-0.7353676,0.50780976,-0.14768036,rotation_vector,245355031023043
0.0,0.0,0.0,-0.057421334,-0.056199603,-0.0047342055,1.0,0.0,0.0,0.0,gyroscope,245355011079958
0.14180684,0.12448788,0.04447174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355011079958
0.0,0.0,0.0,-0.11209377,-0.05497787,0.0096211275,1.0,0.0,0.0,0.0,gyroscope,245355050973759
0.0,0.0,0.0,-0.12415836,-0.046883907,0.022907447,1.0,0.0,0.0,0.0,gyroscope,245355070932104
0.0,0.0,0.0,0.0,0.0,0.0,0.42319492,-0.7359,0.5077897,-0.14665258,rotation_vector,245355050973759
0.0,0.0,0.0,0.0,0.0,0.0,0.42252362,-0.73639375,0.50794125,-0.14558114,rotation_vector,245355070932104
0.21556878,0.09752083,0.029317856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355050973759
0.25104284,0.052384853,-0.0636096,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355070932104
0.0,0.0,0.0,-0.076052725,-0.0053450707,0.03573562,1.0,0.0,0.0,0.0,gyroscope,245355110825903
0.0,0.0,0.0,0.0,0.0,0.0,0.42188627,-0.73677474,0.50817156,-0.14469542,rotation_vector,245355090882818
0.0,0.0,0.0,0.0,0.0,0.0,0.42139927,-0.7369192,0.50851727,-0.14416313,rotation_vector,245355110825903
0.24826884,-0.057003975,-0.09958458,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355110825903
0.28553748,-0.030950546,-0.12991333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355090882818
0.0,0.0,0.0,-0.10842858,-0.027641652,0.03145956,1.0,0.0,0.0,0.0,gyroscope,245355090882818
0.0,0.0,0.0,0.0,0.0,0.0,0.42106384,-0.73689383,0.5089125,-0.1438775,rotation_vector,245355130768990
0.0,0.0,0.0,-0.04520403,0.0125227375,0.04046982,1.0,0.0,0.0,0.0,gyroscope,245355130768990
0.16835952,-0.041958332,-0.10669565,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355130768990
0.0,0.0,0.0,0.0,0.0,0.0,0.4209468,-0.7366484,0.509356,-0.1439081,rotation_vector,245355150712075
0.13030851,-0.121916294,-0.09919119,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355150712075
0.0,0.0,0.0,-0.004581489,0.029168816,0.042913284,1.0,0.0,0.0,0.0,gyroscope,245355150712075
0.0,0.0,0.0,0.087964594,0.051923547,0.049785517,1.0,0.0,0.0,0.0,gyroscope,245355190621136
0.09537554,-0.117226124,-0.06633091,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355170662792
0.0,0.0,0.0,0.0,0.0,0.0,0.42120722,-0.7361386,0.5097653,-0.14430486,rotation_vector,245355170662792
0.0,0.0,0.0,0.051465396,0.041233405,0.04520403,1.0,0.0,0.0,0.0,gyroscope,245355170662792
0.069438934,-0.00017690659,-0.020451069,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355190621136
0.0,0.0,0.0,0.0,0.0,0.0,0.4216854,-0.73542506,0.5102138,-0.14496015,rotation_vector,245355190621136
0.0,0.0,0.0,0.0,0.0,0.0,0.42234406,-0.7340185,0.51134837,-0.1461682,rotation_vector,245355230446272
0.0,0.0,0.0,0.018020526,0.06093381,0.070554934,1.0,0.0,0.0,0.0,gyroscope,245355250389358
0.0,0.0,0.0,0.0,0.0,0.0,0.42212212,-0.7346855,0.5107247,-0.14563774,rotation_vector,245355210548963
0.06769037,0.109063625,0.022178173,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355210548963
0.09036875,0.1871829,0.04610014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355230446272
0.0,0.0,0.0,0.06307184,0.06337727,0.06078109,1.0,0.0,0.0,0.0,gyroscope,245355230446272
0.0,0.0,0.0,0.08933904,0.06047566,0.054061573,1.0,0.0,0.0,0.0,gyroscope,245355210548963
0.0,0.0,0.0,0.0,0.0,0.0,0.42224514,-0.7335177,0.51208794,-0.14637932,rotation_vector,245355250389358
0.17667079,0.090397835,0.05892372,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355270378219
0.0,0.0,0.0,0.0,0.0,0.0,0.42194158,-0.73305464,0.5129757,-0.14646563,rotation_vector,245355270378219
0.14919257,0.19878912,0.01736927,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355250389358
0.0,0.0,0.0,-0.007483099,0.065973446,0.08109236,1.0,0.0,0.0,0.0,gyroscope,245355270378219
0.0,0.0,0.0,-0.036651913,0.06780604,0.10888673,1.0,0.0,0.0,0.0,gyroscope,245355310310168
0.0,0.0,0.0,0.0,0.0,0.0,0.42159593,-0.7325563,0.5139785,-0.1464385,rotation_vector,245355290351824
0.0,0.0,0.0,0.0,0.0,0.0,0.4211308,-0.73205614,0.51511616,-0.14628103,rotation_vector,245355310310168
0.19578552,0.17247915,0.036430836,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355310310168
0.17970312,0.17413282,0.054790497,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355290351824
0.0,0.0,0.0,-0.019242255,0.065973446,0.09560041,1.0,0.0,0.0,0.0,gyroscope,245355290351824
0.0,0.0,0.0,-0.043982297,0.08857546,0.11636983,1.0,0.0,0.0,0.0,gyroscope,245355350203967
0.0,0.0,0.0,0.0,0.0,0.0,0.42059478,-0.7315146,0.5163702,-0.14611104,rotation_vector,245355330260883
0.0,0.0,0.0,-0.039553523,0.076358154,0.12140947,1.0,0.0,0.0,0.0,gyroscope,245355330260883
0.0,0.0,0.0,0.0,0.0,0.0,0.4193988,-0.73041725,0.5188807,-0.14614452,rotation_vector,245355370147055
0.21222234,0.041256905,-0.0003299713,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355330260883
0.18935716,-0.08406973,0.013626099,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355350203967
0.0,0.0,0.0,0.0,0.0,0.0,0.4199878,-0.7309555,0.5176666,-0.14606738,rotation_vector,245355350203967
0.13535094,-0.15995407,-0.013185501,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355370147055
0.0,0.0,0.0,0.0,0.0,0.0,0.41891775,-0.7298494,0.5199856,-0.14643392,rotation_vector,245355390090139
0.07671571,-0.15658236,-0.023109436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355390090139
0.0,0.0,0.0,-0.034208454,0.09682214,0.10781772,1.0,0.0,0.0,0.0,gyroscope,245355370147055
0.0,0.0,0.0,-0.012675454,0.100029185,0.09407325,1.0,0.0,0.0,0.0,gyroscope,245355390090139
0.0,0.0,0.0,0.0,0.0,0.0,0.4185566,-0.7293378,0.5208701,-0.14687125,rotation_vector,245355410010338
-0.061058283,-0.21361685,-0.011960983,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355429907647
0.0,0.0,0.0,0.0041233404,0.09697486,0.069791354,1.0,0.0,0.0,0.0,gyroscope,245355410010338
0.0,0.0,0.0,0.043982297,0.08552113,0.044593163,1.0,0.0,0.0,0.0,gyroscope,245355429907647
-0.0029292107,-0.21196032,-0.020486832,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355410010338
0.0,0.0,0.0,0.0,0.0,0.0,0.41852024,-0.7287972,0.5214654,-0.14754412,rotation_vector,245355429907647
-0.14976692,0.10798216,0.004634857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355469862483
0.0,0.0,0.0,0.14110987,0.052534413,-0.01038471,1.0,0.0,0.0,0.0,gyroscope,245355469862483
0.0,0.0,0.0,0.100334615,0.0720821,0.014966198,1.0,0.0,0.0,0.0,gyroscope,245355449858363
0.0,0.0,0.0,0.0,0.0,0.0,0.41892996,-0.7281977,0.5216917,-0.14853871,rotation_vector,245355449858363
-0.11129308,-0.15609789,-0.022639751,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355449858363
0.0,0.0,0.0,0.0,0.0,0.0,0.4197104,-0.7275705,0.5216032,-0.14971493,rotation_vector,245355469862483
0.0,0.0,0.0,0.13118331,0.024129177,-0.03191771,1.0,0.0,0.0,0.0,gyroscope,245355489836086
-0.11481714,0.2420311,0.020391941,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355509779171
0.0,0.0,0.0,0.0,0.0,0.0,0.42197675,-0.72767264,0.5190622,-0.15166636,rotation_vector,245355549688233
0.0,0.0,0.0,0.0,0.0,0.0,0.42164746,-0.72722346,0.51995623,-0.15167432,rotation_vector,245355529729888
0.0,0.0,0.0,0.0,0.0,0.0,0.42115673,-0.7270464,0.5207,-0.15133423,rotation_vector,245355509779171
0.0,0.0,0.0,0.0,0.0,0.0,0.4220567,-0.7283931,0.51810664,-0.15125191,rotation_vector,245355569638947
0.041912317,0.1824894,0.08778095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355589582032
0.0,0.0,0.0,0.09621128,-0.0050396384,-0.050396383,1.0,0.0,0.0,0.0,gyroscope,245355509779171
0.0,0.0,0.0,0.0,0.0,0.0,0.420513,-0.7271614,0.52124554,-0.15069264,rotation_vector,245355489836086
-0.15489507,0.24183273,0.004184246,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355489836086
0.0,0.0,0.0,0.02076942,-0.06001751,-0.08200866,1.0,0.0,0.0,0.0,gyroscope,245355549688233
0.0,0.0,0.0,0.060322944,-0.031154128,-0.06795876,1.0,0.0,0.0,0.0,gyroscope,245355529729888
-0.032101393,0.25427866,0.069217205,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355549688233
-0.04843855,0.25218964,0.029518127,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355529729888
0.0,0.0,0.0,-0.06918049,-0.094225965,-0.081397794,1.0,0.0,0.0,0.0,gyroscope,245355589582032
0.0,0.0,0.0,-0.028099801,-0.08109236,-0.08628472,1.0,0.0,0.0,0.0,gyroscope,245355569638947
0.007492304,0.25686884,0.098967075,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245355569638947
0.0,0.0,0.0,0.0,0.0,0.0,0.42189848,-0.72926646,0.5172209,-0.15051483,rotation_vector,245355589582032
