accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
-0.9635005,-0.39280367,-2.819348,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244587349375312
0.0,0.0,0.0,0.0,0.0,0.0,0.7302681,-0.2435315,0.4506484,-0.45201436,rotation_vector,244587349375312
0.0,0.0,0.0,5.455179,-0.8089383,-0.5842926,1.0,0.0,0.0,0.0,gyroscope,244587369326137
-2.4981282,-1.9461393,3.8113308,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244587389284589
0.0,0.0,0.0,0.0,0.0,0.0,0.74197334,-0.20689476,0.41929853,-0.48047766,rotation_vector,244587369326137
0.0,0.0,0.0,0.0,0.0,0.0,0.7409728,-0.22476226,0.39545795,-0.49401847,rotation_vector,244587409235411
-0.82597995,-3.1051564,3.3815327,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244587409235411
0.0,0.0,0.0,0.0,0.0,0.0,0.7381288,-0.23276018,0.3853252,-0.5025069,rotation_vector,244587429178603
0.5584307,-2.0269756,0.6542649,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244587429178603
0.0,0.0,0.0,0.23747386,-0.8396343,-1.3333662,1.0,0.0,0.0,0.0,gyroscope,244587429178603
-0.8866956,5.4689236,-2.5193605,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244587469087878
0.0,0.0,0.0,-1.6337591,0.1788308,-0.42210788,1.0,0.0,0.0,0.0,gyroscope,244587508981893
-0.6836562,1.0249104,-1.7227488,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244587449129427
0.0,0.0,0.0,0.0,0.0,0.0,0.7337399,-0.23305048,0.37277716,-0.5180255,rotation_vector,244587449129427
1.06902,7.3663445,-2.788492,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244587489038701
0.0,0.0,0.0,-0.13790283,-0.4063781,-0.57436603,1.0,0.0,0.0,0.0,gyroscope,244587489038701
0.0,0.0,0.0,-5.091562,0.2875648,0.55573463,1.0,0.0,0.0,0.0,gyroscope,244587548868279
0.0,0.0,0.0,0.0,0.0,0.0,0.7133033,-0.27489313,0.38759404,-0.51517284,rotation_vector,244587528925087
0.0,0.0,0.0,-3.4869716,0.21517728,-0.056505036,1.0,0.0,0.0,0.0,gyroscope,244587528925087
2.5303893,2.1033683,-5.757462,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244587568796215
0.7588358,-16.587929,-2.8676884,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244587628580017
0.0,0.0,0.0,0.0,0.0,0.0,0.65703386,-0.39089394,0.4820833,-0.42790675,rotation_vector,244587628580017
0.0,0.0,0.0,-2.7140744,-0.12492194,-0.11804971,1.0,0.0,0.0,0.0,gyroscope,244587608636825
