accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
,,,-0.040317107,0.012370021,-0.04184427,,,,,gyroscope,0.2536652088165283
,,,,,,0.16687134,0.104612954,0.33080494,0.92291826,rotation_vector,0.25380706787109375
,,,-0.04520403,0.011148291,-0.040927973,,,,,gyroscope,0.2538590431213379
,,,-0.0143553335,0.01450805,-0.01572978,,,,,gyroscope,0.25392603874206543
,,,,,,0.16976286,0.102975264,0.3298161,0.9229291,rotation_vector,0.2539641857147217
,,,-0.014049901,0.006872234,-0.046731193,,,,,gyroscope,0.2539799213409424
,,,,,,0.16857652,0.103905566,0.33089015,0.92265785,rotation_vector,0.2539939880371094
0.04243797,-0.040625572,-0.13728094,,,,,,,,linear_acceleration,0.25400710105895996
,,,,,,0.1709142,0.10167184,0.32961804,0.92293185,rotation_vector,0.25401806831359863
,,,-0.04810564,0.00290161,-0.0018325958,,,,,gyroscope,0.2540290355682373
,,,-0.0010690142,0.020463986,-0.032528576,,,,,gyroscope,0.2540402412414551
,,,,,,0.17102103,0.101474896,0.3295402,0.9229615,rotation_vector,0.25405001640319824
,,,-0.00870483,0.021685716,-0.03680463,,,,,gyroscope,0.254061222076416
,,,-0.04337143,0.00015271631,-0.009773844,,,,,gyroscope,0.2540721893310547
-0.009242594,-0.021529675,-0.12461662,,,,,,,,linear_acceleration,0.25408220291137695
,,,,,,0.17014772,0.10265479,0.32951707,0.9230007,rotation_vector,0.2540931701660156
,,,-0.019089539,-0.001985312,-0.023518313,,,,,gyroscope,0.2541041374206543
-0.029543102,-0.0074448586,0.032570362,,,,,,,,linear_acceleration,0.25411415100097656
-0.036779225,0.049248695,-0.09191227,,,,,,,,linear_acceleration,0.25412416458129883
,,,-0.009162978,0.00076358154,-0.01985312,,,,,gyroscope,0.25415706634521484
,,,,,,0.17119968,0.101265155,0.3286545,0.9232671,rotation_vector,0.25420713424682617
-0.079470515,0.060705185,-0.05142927,,,,,,,,linear_acceleration,0.25424909591674805
,,,,,,0.17140247,0.10117713,0.32862833,0.9232486,rotation_vector,0.2543070316314697
,,,-0.025809057,-0.01695151,-0.012064588,,,,,gyroscope,0.25434184074401855
-0.04243058,0.18542147,0.0070171356,,,,,,,,linear_acceleration,0.2543680667877197
,,,-0.035124753,-0.00870483,-0.014966198,,,,,gyroscope,0.2543799877166748
-0.00817436,0.15209198,0.10135746,,,,,,,,linear_acceleration,0.25438690185546875
,,,,,,0.17106576,0.101367176,0.3290756,0.92313087,rotation_vector,0.2543931007385254
,,,,,,0.17185296,0.10105832,0.3281418,0.92335075,rotation_vector,0.25440001487731934
,,,,,,0.1716455,0.101085775,0.32848835,0.9232632,rotation_vector,0.2544069290161133
0.032826543,-0.009631157,-0.14991999,,,,,,,,linear_acceleration,0.25443005561828613
,,,,,,0.16815962,0.10415858,0.33098087,0.9226728,rotation_vector,0.2544441223144531
0.08287698,0.024644852,-0.13072205,,,,,,,,linear_acceleration,0.2544519901275635
,,,-0.0047342055,-0.02031127,0.007330383,,,,,gyroscope,0.25446510314941406
-0.031117499,0.15961361,-0.047777653,,,,,,,,linear_acceleration,0.254472017288208
,,,,,,0.17204802,0.10135357,0.3278127,0.92339903,rotation_vector,0.25447821617126465
-0.009809077,0.14456844,0.065378666,,,,,,,,linear_acceleration,0.2544839382171631
,,,-0.013133603,-0.025198191,0.014049901,,,,,gyroscope,0.25449109077453613
,,,,,,0.17204493,0.10113239,0.32787818,0.9234007,rotation_vector,0.25449705123901367
,,,-0.025350908,-0.031306844,0.026572637,,,,,gyroscope,0.2545020580291748
-0.02877444,0.2215147,-0.01938963,,,,,,,,linear_acceleration,0.2545340061187744
,,,-0.02275473,-0.032070424,0.028099801,,,,,gyroscope,0.2545621395111084
-0.0049697757,0.09753275,0.022789955,,,,,,,,linear_acceleration,0.2545740604400635
,,,,,,0.1719939,0.101615116,0.327649,0.92343855,rotation_vector,0.2545931339263916
,,,,,,0.17188157,0.101954244,0.3273207,0.9235385,rotation_vector,0.2546200752258301
,,,,,,0.17173874,0.102306254,0.32700488,0.9236379,rotation_vector,0.25463294982910156
0.0041118264,-0.013524532,0.002770424,,,,,,,,linear_acceleration,0.25464820861816406
,,,-0.020463986,-0.02321288,0.020463986,,,,,gyroscope,0.25466012954711914
,,,-0.001985312,-0.030543262,0.027794369,,,,,gyroscope,0.2546710968017578
0.032067657,0.0065612793,-0.031961918,,,,,,,,linear_acceleration,0.25545406341552734
,,,,,,0.17158756,0.10268054,0.32693365,0.9236498,rotation_vector,0.2554812431335449
,,,-0.05100725,-0.017562376,0.02397646,,,,,gyroscope,0.25550317764282227
,,,,,,0.17149554,0.10292047,0.3266974,0.9237237,rotation_vector,0.25555419921875
,,,-0.031001411,-0.016340645,0.025198191,,,,,gyroscope,0.25557613372802734
0.09281093,0.04376459,-0.056439877,,,,,,,,linear_acceleration,0.2555820941925049
,,,,,,0.17138903,0.1030659,0.32614845,0.9239212,rotation_vector,0.25558924674987793
0.08229214,0.015136719,-0.018849373,,,,,,,,linear_acceleration,0.25559401512145996
,,,,,,0.17095779,0.10351199,0.3260252,0.9239948,rotation_vector,0.2556002140045166
0.0325709,-0.124574184,0.001024723,,,,,,,,linear_acceleration,0.25560617446899414
,,,,,,0.17124337,0.1032352,0.32577068,0.9240626,rotation_vector,0.2556118965148926
0.061551154,-0.079580784,-0.0015854836,,,,,,,,linear_acceleration,0.2556180953979492
,,,0.027641652,-0.012370021,0.03023783,,,,,gyroscope,0.25576090812683105
,,,0.026572637,-0.015118915,0.021227567,,,,,gyroscope,0.25580286979675293
0.012631953,-0.052447796,-0.07254505,,,,,,,,linear_acceleration,0.255871057510376
,,,,,,0.17063098,0.10395813,0.32609463,0.92398053,rotation_vector,0.25588107109069824
0.052404284,-0.10560131,-0.09931469,,,,,,,,linear_acceleration,0.2558882236480713
,,,,,,0.17078932,0.103763446,0.3262625,0.92391396,rotation_vector,0.2564101219177246
,,,-0.01038471,-0.014202617,0.02321288,,,,,gyroscope,0.25641822814941406
,,,-0.021991149,-0.01450805,0.008552114,,,,,gyroscope,0.2564220428466797
,,,-0.016035212,-0.010995574,0.0025961774,,,,,gyroscope,0.2564260959625244
,,,,,,0.17063177,0.10406879,0.32582504,0.92406315,rotation_vector,0.2564361095428467
,,,,,,0.17066674,0.10415587,0.32566652,0.92410266,rotation_vector,0.2564401626586914
0.017078757,-0.12548923,-0.11292076,,,,,,,,linear_acceleration,0.25644397735595703
0.04869169,-0.061697006,-0.07706976,,,,,,,,linear_acceleration,0.25644898414611816
,,,-0.020922136,-0.008399397,-0.0018325958,,,,,gyroscope,0.256453275680542
,,,,,,0.17082433,0.104241714,0.32511795,0.92425704,rotation_vector,0.2564570903778076
0.038084686,-0.05733776,-0.069242,,,,,,,,linear_acceleration,0.25646209716796875
0.03812933,-0.043730736,-0.09045696,,,,,,,,linear_acceleration,0.2564671039581299
,,,,,,0.17073116,0.10418734,0.32546332,0.9241588,rotation_vector,0.2564969062805176
,,,-0.02733622,-0.01817324,-0.00030543262,,,,,gyroscope,0.2565031051635742
,,,-0.034513887,-0.012675454,-0.0012217305,,,,,gyroscope,0.25650691986083984
,,,0.011911872,-0.01985312,-0.025961773,,,,,gyroscope,0.2565162181854248
0.021366298,-0.1729989,0.018093586,,,,,,,,linear_acceleration,0.25652003288269043
,,,,,,0.17110288,0.10458644,0.32489133,0.9242463,rotation_vector,0.25656819343566895
0.04503745,-0.11817169,-0.026441574,,,,,,,,linear_acceleration,0.25657200813293457
,,,,,,0.17091656,0.10436025,0.32481608,0.9243328,rotation_vector,0.2565760612487793
,,,0.00992656,-0.025503624,-0.01282817,,,,,gyroscope,0.25658106803894043
,,,,,,0.17140837,0.10470828,0.325037,0.92412466,rotation_vector,0.25658512115478516
0.07586104,0.022881985,-0.112832546,,,,,,,,linear_acceleration,0.2565891742706299
,,,,,,0.17174207,0.10466861,0.32458487,0.9242261,rotation_vector,0.2565948963165283
0.021612883,0.040768147,-0.08233452,,,,,,,,linear_acceleration,0.25659918785095215
,,,-0.046883907,-0.014202617,-0.025198191,,,,,gyroscope,0.2566032409667969
,,,-0.06887506,-0.019394971,-0.023823744,,,,,gyroscope,0.2566080093383789
,,,0.025045475,-0.024281893,-0.038331795,,,,,gyroscope,0.2566399574279785
,,,,,,0.17209807,0.10463834,0.32387435,0.9244125,rotation_vector,0.2566490173339844
0.0017176867,-0.14365482,0.03414488,,,,,,,,linear_acceleration,0.2566542625427246
,,,-0.017256944,-0.026267206,-0.030085113,,,,,gyroscope,0.25665807723999023
,,,,,,0.1724913,0.10476453,0.3237072,0.92438346,rotation_vector,0.25666308403015137
-0.03517908,-0.10293245,0.016336441,,,,,,,,linear_acceleration,0.2570052146911621
,,,0.007330383,-0.019089539,-0.032070424,,,,,gyroscope,0.25701308250427246
0.02161038,0.038470745,-0.055123806,,,,,,,,linear_acceleration,0.2570180892944336
,,,,,,0.17289276,0.10491555,0.3239907,0.924192,rotation_vector,0.25702404975891113
,,,,,,0.17324273,0.105007775,0.32408756,0.924082,rotation_vector,0.25703001022338867
0.0032041073,0.086239815,-0.098106384,,,,,,,,linear_acceleration,0.2570350170135498
,,,-0.039095376,-0.014049901,-0.027641652,,,,,gyroscope,0.25704026222229004
,,,-0.044593163,-0.016798794,-0.014049901,,,,,gyroscope,0.25704503059387207
,,,,,,0.17359026,0.10496258,0.3236902,0.9241612,rotation_vector,0.2570490837097168
,,,,,,0.17380162,0.10499718,0.32323852,0.92427564,rotation_vector,0.25705409049987793
-0.04659593,0.0698514,-0.10569143,,,,,,,,linear_acceleration,0.25705909729003906
-0.07411522,0.031799316,-0.0036005974,,,,,,,,linear_acceleration,0.2570650577545166
,,,-0.020463986,-0.029626964,-0.020158553,,,,,gyroscope,0.25707006454467773
,,,0.010537425,-0.033750303,-0.023365596,,,,,gyroscope,0.25707507133483887
-0.09311885,0.012782574,-0.018177032,,,,,,,,linear_acceleration,0.2570822238922119
0.035663426,0.053166866,-0.12692118,,,,,,,,linear_acceleration,0.25708603858947754
,,,,,,0.1741103,0.10516552,0.32302496,0.92427313,rotation_vector,0.25709009170532227
,,,-0.018936822,-0.012675454,-0.015882496,,,,,gyroscope,0.2570939064025879
,,,,,,0.17442667,0.10545181,0.32311323,0.92415,rotation_vector,0.2570979595184326
,,,-0.09117164,-0.009162978,0.008093964,,,,,gyroscope,0.25710225105285645
,,,-0.1339322,-0.024740042,0.01160644,,,,,gyroscope,0.25710606575012207
,,,,,,0.17463748,0.105477534,0.32296994,0.9241573,rotation_vector,0.2571101188659668
0.01059252,0.16635084,-0.14380074,,,,,,,,linear_acceleration,0.25725221633911133
,,,,,,0.1746773,0.10540711,0.32206145,0.9244748,rotation_vector,0.25725698471069336
-0.081199765,0.0986166,-0.020531178,,,,,,,,linear_acceleration,0.2572610378265381
,,,,,,0.17500956,0.10568944,0.31973308,0.92518765,rotation_vector,0.2572660446166992
-0.13815844,-0.23900127,0.21926308,,,,,,,,linear_acceleration,0.25727009773254395
,,,,,,0.17477077,0.105433054,0.32071182,0.92492324,rotation_vector,0.25727319717407227
-0.115135014,-0.085042,0.15923071,,,,,,,,linear_acceleration,0.2572770118713379
,,,-0.09285152,-0.043982297,0.00290161,,,,,gyroscope,0.2572810649871826
,,,-0.02321288,-0.05467244,-0.015118915,,,,,gyroscope,0.25728607177734375
,,,-0.06246097,-0.049021937,-0.081855945,,,,,gyroscope,0.2572901248931885
,,,,,,0.1753366,0.106123924,0.31951588,0.9251511,rotation_vector,0.2572941780090332
-0.09362018,-0.17759371,0.2195692,,,,,,,,linear_acceleration,0.25729799270629883
,,,-0.03970624,-0.06307184,-0.053297993,,,,,gyroscope,0.25730204582214355
0.07414764,0.017763615,0.28518772,,,,,,,,linear_acceleration,0.25792527198791504
,,,,,,0.17608614,0.10647798,0.31912196,0.925104,rotation_vector,0.2579352855682373
,,,0.013439035,-0.03268129,-0.10399981,,,,,gyroscope,0.25794100761413574
0.09290218,0.007144928,0.43530464,,,,,,,,linear_acceleration,0.257946252822876
,,,,,,0.17815964,0.106507495,0.318666,0.9248607,rotation_vector,0.2579500675201416
0.0034503937,-0.09849882,0.52249527,,,,,,,,linear_acceleration,0.25795507431030273
,,,0.12950343,-0.05421429,-0.11927144,,,,,gyroscope,0.25795888900756836
,,,,,,0.17710607,0.10654826,0.31849468,0.92511743,rotation_vector,0.25798916816711426
,,,0.13805555,-0.09193522,-0.17760907,,,,,gyroscope,0.2579951286315918
