accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244593603199082
0.0,0.0,0.0,0.0,0.0,0.0,0.62645745,-0.68905884,0.16364324,0.32553032,244594311359123
-46.071022,-29.023973,-7.090393,0.0,0.0,0.0,0.7814221,-0.60190696,0.0884987,0.138765,244594351276099
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244594361255343
-41.033535,-17.751785,-7.1211166,8.968113,-1.2249376,-9.531636,1.0,0.0,0.0,0.0,244594371234587
0.0,0.0,0.0,0.0,0.0,0.0,0.88615906,-0.4623777,-0.030424317,0.0018060991,244594391185445
-22.909784,0.9751196,-11.17057,6.761362,-3.9277108,-7.202101,0.91079956,-0.39894438,-0.09822745,-0.0404837,244594411128673
-15.401117,5.1762357,-11.08095,5.241224,-4.2065706,-5.5061865,1.0,0.0,0.0,0.0,244594431071904
-9.015633,6.300617,-10.607084,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244594451015132
-6.0218973,5.152651,-12.092731,0.0,0.0,0.0,0.92164165,-0.28796044,-0.2334454,-0.11471178,244594470958362
-7.8743143,4.544316,-14.736694,0.0,0.0,0.0,0.9154838,-0.2771286,-0.24749985,-0.15437952,244594490901590
0.0,0.0,0.0,-2.080607,-0.116980694,-4.042859,0.87087834,-0.29777354,-0.2494551,-0.3011212,244594550830462
0.0,0.0,0.0,0.0,0.0,0.0,0.8535235,-0.30054837,-0.2693077,-0.32960856,244594570727914
-8.993087,4.780612,-7.153674,0.0,0.0,0.0,0.8405032,-0.29791626,-0.28743112,-0.34954795,244594590655886
-10.405828,5.9368973,-7.524713,0.0,0.0,0.0,0.8321406,-0.27814046,-0.29279333,-0.38006836,244594630565232
0.0,0.0,0.0,0.57558775,-0.5729916,-0.57971114,0.82919127,-0.26139855,-0.3036885,-0.38972536,244594670451691
-7.2420735,7.0949903,-8.258708,0.15943582,-0.8491027,-0.082161374,1.0,0.0,0.0,0.0,244594690394919
-6.103202,5.9658966,-7.8361387,-0.053145275,-0.3109304,0.4089743,0.8267306,-0.2664601,-0.31375673,-0.3835001,244594710338149
0.0,0.0,0.0,0.0,0.0,0.0,0.83160067,-0.2690931,-0.30688727,-0.37662914,244594730281377
0.0,0.0,0.0,0.0,0.0,0.0,0.8397168,-0.27464265,-0.2923498,-0.36603093,244594750232238
-10.967229,7.6808577,-9.023432,-1.1507174,0.82253003,2.383138,1.0,0.0,0.0,0.0,244594770190726
-12.024295,9.12362,-11.401638,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244594790141584
0.0,0.0,0.0,0.0,0.0,0.0,0.8542493,-0.33964273,-0.23935054,-0.31242993,244594810084812
0.0,0.0,0.0,-3.700469,-0.98654735,3.6176968,1.0,0.0,0.0,0.0,244594830028043
-9.952665,10.049781,-12.240492,0.0,0.0,0.0,0.83632666,-0.43707937,-0.20762792,-0.25770113,244594849971271
0.0,0.0,0.0,-4.657695,-2.4307854,4.349513,1.0,0.0,0.0,0.0,244594869922131
-7.0857,-0.45065022,1.1742458,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244594889880619
0.0,0.0,0.0,2.0581577,-1.529912,7.7929606,0.83924276,-0.51754147,-0.14947774,-0.07401932,244594909823848
-5.2459936,-9.361588,-2.698439,4.0071235,0.36743546,9.196424,0.8647645,-0.49231347,-0.09863711,0.008979514,244594929751818
0.0,0.0,0.0,-0.59650993,3.576616,8.157342,1.0,0.0,0.0,0.0,244594969676422
