accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,245007703220378
0.0,0.0,0.0,1.6493362,-1.2005029,-2.17972,1.0,0.0,0.0,0.0,245008201991171
-4.2869883,1.3826847,-3.1979136,1.6849191,-1.2270756,-2.2017112,0.6275002,0.12001853,0.59118,-0.49228585,245008221934372
-4.574915,1.8231645,-3.639279,1.7244726,-1.1890492,-2.2269092,0.6211842,0.1118663,0.5777157,-0.5175526,245008241885206
-5.1246033,2.1585324,-4.3732123,1.7733418,-1.1985176,-2.193617,0.6144166,0.104116,0.5634187,-0.54241276,245008261843667
0.0,0.0,0.0,1.7582229,-1.3281738,-2.0938933,0.6084676,0.09602236,0.54771364,-0.56617725,245008281794498
-4.8276215,3.085013,-5.5302467,1.6487253,-1.4924965,-1.9501873,1.0,0.0,0.0,0.0,245008301737699
-4.1625767,3.3818846,-5.911844,1.4569136,-1.5693128,-1.8440495,0.60001624,0.076829806,0.5144822,-0.6077711,245008321680902
-4.0376964,3.6966996,-6.299486,1.1974486,-1.4382823,-1.8142698,1.0,0.0,0.0,0.0,245008341624103
-4.2137737,4.080397,-6.7564707,0.8935431,-1.370629,-1.7841847,0.5901369,0.054635946,0.48816925,-0.6406592,245008361574937
0.0,0.0,0.0,0.5164866,-1.410946,-1.720502,1.0,0.0,0.0,0.0,245008381533398
-2.6218514,4.784004,-6.995738,0.02565634,-1.3439035,-1.6656768,0.5806837,0.05557031,0.49570748,-0.6434225,245008401484229
-2.6078258,5.2395663,-7.1231947,-0.49510628,-1.0920744,-1.6120734,0.57586896,0.03777841,0.4938274,-0.6504477,245008421427430
-2.881518,5.5024047,-6.988449,-0.91690874,-0.84604836,-1.4549283,0.5707473,0.020034343,0.49592236,-0.6541461,245008441370634
-2.7519164,5.627708,-6.6754217,-1.2044735,-0.7246389,-1.1745411,0.56683826,0.0028294716,0.50020427,-0.6545854,245008461313835
-2.0748935,5.5481772,-6.2752953,-1.3775011,-0.5882632,-0.81122905,1.0,0.0,0.0,0.0,245008481234151
-1.4215856,5.393988,-5.6722913,-1.4175128,-0.33093625,-0.4352415,0.5633124,-0.024635142,0.51361966,-0.6467358,245008501131576
-1.2130303,5.094691,-5.119339,0.0,0.0,0.0,0.5623688,-0.031360615,0.5218321,-0.64066297,245008521082408
-1.5231376,4.9695587,-4.7850876,-0.7958047,0.3555236,0.26542094,0.5619439,-0.031622954,0.52917165,-0.6349776,245008541086645
-1.8650842,5.1258097,-4.756377,-0.25595254,0.57971114,0.6794349,0.5631512,-0.025155626,0.53427535,-0.62990296,245008561060365
0.0,0.0,0.0,0.21838433,0.73639804,1.0728321,0.5661384,-0.012924188,0.53718585,-0.6251013,245008581003566
-1.9499784,4.5647116,-4.6863627,0.5542075,0.91751957,1.3695599,0.5698685,0.0037733624,0.5389994,-0.6202543,245008600954400
0.0,0.0,0.0,0.84497935,1.1436925,1.6253597,0.5736516,0.02487871,0.5401337,-0.61527276,245008620912861
-2.4488435,3.8769233,-4.313289,1.0441214,1.3202325,1.8657352,1.0,0.0,0.0,0.0,245008640863692
-2.1704583,3.204111,-3.7970378,1.084744,1.410946,2.0720549,0.58147633,0.10654509,0.5590622,-0.58136296,245008660806893
-2.1450806,2.7339966,-3.630678,0.98731095,1.4918857,2.2269092,0.5846219,0.13596311,0.5609161,-0.5701791,245008680727209
-2.306428,2.338166,-3.6437554,0.77014834,1.6216946,2.3299928,0.5875245,0.16276076,0.5627172,-0.558277,245008700624634
-2.9727592,2.0261471,-3.6610231,0.41141775,1.8000672,2.3996315,0.5898268,0.18867789,0.56702155,-0.54313123,245008720575467
-3.827695,1.6610986,-3.3881793,0.0,0.0,0.0,0.59244657,0.21258643,0.57389253,-0.5238908,245008740579704
-4.193001,1.0246649,-2.764656,0.0,0.0,0.0,1.0,0.0,0.0,0.0,245008760553424
-3.782361,0.0025293827,-1.9543939,-1.1441506,1.6282613,2.7499626,0.6038326,0.25008896,0.5908107,-0.4730587,245008780496625
-3.7715282,-1.2349923,-1.1501468,-1.5505288,1.6612481,2.7808113,0.6108309,0.26457268,0.6009154,-0.44247907,245008800439828
-4.750554,-2.2401452,-0.24325186,-1.790446,1.7487545,2.7181976,0.6165985,0.27734032,0.6121284,-0.4101066,245008820383029
-5.037861,-3.0318418,0.4742837,-1.8425223,1.515404,2.717434,0.6230895,0.28854212,0.6212005,-0.37764138,245008840333863
