accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
0.0,0.0,0.0,2.5320365,-7.5400624,2.736829,1.0,0.0,0.0,0.0,244685594812151
0.0,0.0,0.0,0.0,0.0,0.0,0.56793135,-0.025726346,0.04270899,-0.82156444,244685614709576
0.0,0.0,0.0,-2.6053402,0.7528914,-0.15775596,0.5656894,-0.030883705,0.084828414,-0.819662,244685634660408
0.0,0.0,0.0,-0.59971696,-1.1403327,-1.9326249,0.55182755,-0.053626064,0.080406845,-0.82833886,244685654664644
0.0,0.0,0.0,0.0,0.0,0.0,0.57561815,-0.04810136,0.06748355,-0.8135085,244685674615475
0.0,0.0,0.0,0.0,0.0,0.0,0.5760055,-0.01210097,0.0582829,-0.8152756,244685734445078
0.9893657,-0.6494385,-0.23358917,0.0,0.0,0.0,0.5730448,-0.033830374,0.06129416,-0.81652814,244685754395910
0.0,0.0,0.0,-0.7122689,-0.23487769,-0.8810204,1.0,0.0,0.0,0.0,244685774308592
0.0,0.0,0.0,-0.24648413,-0.08933904,-1.0926852,0.55571085,-0.043337014,0.06862772,-0.82740414,244685794236536
0.0,0.0,0.0,0.2678644,-0.24251351,-0.840856,0.5491696,-0.044229016,0.06436159,-0.83205414,244685814179737
0.0,0.0,0.0,0.0,0.0,0.0,0.54210603,-0.04326935,0.056100175,-0.8373181,244685834153458
0.0,0.0,0.0,1.1375839,-0.15012014,-1.3365731,1.0,0.0,0.0,0.0,244685854157694
-0.56745577,0.039497018,-1.013524,0.0,0.0,0.0,0.51930016,-0.031469893,0.030093065,-0.85348195,244685874108525
-1.195021,0.416153,-2.197484,1.9634736,-0.2724459,-1.4485142,0.50757474,-0.023843318,0.011162293,-0.86120546,244685894005949
-1.7343963,0.56059504,-3.4111843,1.6959146,-0.50732356,-1.6927075,1.0,0.0,0.0,0.0,244685913926264
0.0,0.0,0.0,0.0,0.0,0.0,0.47477794,-0.021297738,-0.017736716,-0.87966913,244685933869464
-4.7141833,-0.24190646,-6.6554804,-0.03756821,-0.7877107,-2.7236955,1.0,0.0,0.0,0.0,244685953843184
0.0,0.0,0.0,0.0,0.0,0.0,0.42068675,-0.03829338,-0.019607656,-0.9061853,244685973847420
-5.8709326,1.3357488,-6.894002,-0.83062404,-0.8709411,-3.2065845,0.39073905,-0.048881244,-0.0168503,-0.91904825,244685993798251
-4.159771,1.0519485,-6.012907,0.0,0.0,0.0,0.36280417,-0.060169283,-0.008511758,-0.92988193,244686013695676
-3.3746347,-0.23442864,-4.8447943,0.0,0.0,0.0,0.3143884,-0.07298914,0.013226624,-0.9463919,244686053627857
0.0,0.0,0.0,-1.3008375,0.6215554,-2.0496056,0.29416928,-0.070332386,0.025683854,-0.95281595,244686073578687
0.0,0.0,0.0,-2.1577287,0.6151413,-1.588097,0.27744436,-0.07094376,0.047107212,-0.9569601,244686093491369
-0.32093853,2.9207988,-6.4269648,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244686133431178
-1.3971548,4.218318,-6.6571417,0.0,0.0,0.0,0.25757462,-0.057527505,0.17103073,-0.94925994,244686153397269
-1.5244391,5.2417374,-6.5356617,0.0,0.0,0.0,0.263514,-0.046197955,0.230033,-0.9356875,244686173340469
-0.8735666,4.1057234,-5.609967,-6.1764584,2.561358,2.4126122,1.0,0.0,0.0,0.0,244686193268413
-1.6383892,2.0013084,-4.0948563,0.0,0.0,0.0,0.29454455,-0.012700402,0.3642367,-0.88341045,244686213181096
-3.5079439,1.0279355,-1.7657113,0.0,0.0,0.0,0.31960383,0.026504446,0.44500372,-0.83613557,244686233131929
-7.644603,-1.7047362,2.0539699,-7.3262596,2.5373814,4.318359,0.3452484,0.043721803,0.51268274,-0.78488755,244686253120907
-8.873911,-7.4768276,1.9859791,-4.5451427,1.4520267,5.497176,0.38275322,0.06724067,0.5484107,-0.7404218,244686273079367
-6.488994,-9.108126,1.8496776,0.0,0.0,0.0,0.41986343,0.10618247,0.5658771,-0.7015862,244686293007309
-6.5963907,-6.674848,1.0589416,-3.0431778,2.3661866,5.8085647,0.44902053,0.14315116,0.5892966,-0.65621483,244686312958141
0.0,0.0,0.0,-4.0982947,2.4572055,5.655085,1.0,0.0,0.0,0.0,244686332931859
-10.530754,-3.3086104,-1.5948877,-5.055826,1.7359263,5.6886826,1.0,0.0,0.0,0.0,244686352890320
-9.703455,-3.4258053,-2.1240318,-6.232047,0.84574294,5.4238725,0.54144883,0.20077585,0.670112,-0.4663391,244686372833520
-8.877196,-4.9718313,-2.0865083,0.0,0.0,0.0,0.5749622,0.19296634,0.69349104,-0.38891226,244686392753834
0.0,0.0,0.0,0.0,0.0,0.0,0.6052537,0.17610507,0.712293,-0.30869666,244686412651259
-9.5841055,-10.572563,-1.7965436,-7.3232055,-0.81504697,4.0872993,1.0,0.0,0.0,0.0,244686432602091
