accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
3.191177,-0.13248396,0.7891865,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244768999577851
0.0,0.0,0.0,0.732122,0.45005497,-0.4503604,1.0,0.0,0.0,0.0,244769019528652
0.0,0.0,0.0,0.0,0.0,0.0,0.50328255,-0.028790548,0.13097367,-0.8536531,244769039532857
0.0,0.0,0.0,0.0,0.0,0.0,0.4996176,-0.024270426,0.11881996,-0.857715,244769059506545
-1.9627095,1.0205468,-2.8844461,0.0,0.0,0.0,0.48565543,-0.006696395,0.09865465,-0.8685397,244769099369997
-0.62457275,0.9285112,-3.1468067,0.0,0.0,0.0,0.48230636,0.00019635729,0.08436313,-0.8719309,244769119267390
0.0,0.0,0.0,0.0,0.0,0.0,0.478823,0.008968136,0.06830065,-0.8752046,244769139218190
0.0,0.0,0.0,1.7481437,0.3016147,-0.54443365,1.0,0.0,0.0,0.0,244769179173194
0.0,0.0,0.0,0.0,0.0,0.0,0.46363002,0.038973644,0.031899977,-0.88459635,244769199070587
0.0,0.0,0.0,0.0,0.0,0.0,0.45744255,0.04189189,0.037803624,-0.8874471,244769219021388
-0.34852672,1.4136839,-7.88286,0.0,0.0,0.0,0.44977453,0.041768946,0.055920787,-0.8904106,244769239025593
0.0,0.0,0.0,-2.8376217,1.3768903,-0.93233305,1.0,0.0,0.0,0.0,244769278942449
0.0,0.0,0.0,-3.2624786,1.58321,-0.7779369,0.42469913,0.039512843,0.15104254,-0.89177114,244769298885621
-2.0453963,1.4035883,-5.9100084,-2.6595545,2.347097,-0.09896017,1.0,0.0,0.0,0.0,244769338779591
0.0,0.0,0.0,-3.4176383,2.5633433,0.2087632,1.0,0.0,0.0,0.0,244769358738019
-6.348894,-2.1971984,-0.7782006,0.0,0.0,0.0,0.40622294,0.071132794,0.42664567,-0.8049203,244769418506495
-6.337897,-0.5879555,0.30455637,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244769438495442
0.0,0.0,0.0,-3.663206,1.5711454,1.8666514,0.42057815,0.0848758,0.4995892,-0.7525429,244769458469129
0.0,0.0,0.0,0.0,0.0,0.0,0.43401414,0.0966741,0.52597094,-0.72501063,244769478427558
0.0,0.0,0.0,0.0,0.0,0.0,0.4477182,0.120957814,0.5435855,-0.69959444,244769498393616
0.0,0.0,0.0,-1.8538233,2.0987802,3.1482468,0.4600514,0.14524761,0.56102026,-0.67269033,244769518367303
-3.4241571,-7.988473,3.0685863,0.0,0.0,0.0,0.48579916,0.17241243,0.60790104,-0.60392845,244769558223124
0.0,0.0,0.0,-2.2540927,1.363604,2.6844473,0.49716088,0.18545702,0.6229157,-0.57481545,244769578135779
-1.4123888,-9.401674,5.8932652,-0.8709411,1.125672,2.6177104,0.5064455,0.20392875,0.627705,-0.55489856,244769598048432
0.0,0.0,0.0,0.053297993,0.9931142,2.3484714,0.5127098,0.2246542,0.626686,-0.54214746,244769617999231
0.7130413,-5.413948,1.6130607,0.0,0.0,0.0,0.5175452,0.23967679,0.6284438,-0.5289239,244769637988176
0.2842636,-4.423614,0.99192894,-1.6340646,0.870483,1.5871806,1.0,0.0,0.0,0.0,244769657954235
-0.040107727,-4.9187217,1.5084919,-2.8961122,0.72387534,1.465313,0.5338578,0.24196316,0.65312785,-0.47945148,244769677897404
0.0,0.0,0.0,-5.962503,-0.8950703,0.14553864,0.581728,0.1555876,0.7131684,-0.35885367,244769737688769
0.0,0.0,0.0,0.0,0.0,0.0,0.5950777,0.14583118,0.7139664,-0.3389216,244769757677713
0.0,0.0,0.0,0.7883216,-0.5138904,0.8668178,0.6000567,0.15735152,0.70554906,-0.3425974,244769777651403
0.0,0.0,0.0,0.0,0.0,0.0,0.5971616,0.16772519,0.701618,-0.35071144,244769797609832
0.0,0.0,0.0,0.0,0.0,0.0,0.58591,0.15737776,0.7128767,-0.35177916,244769837480913
-2.415784,-11.768762,-0.7364475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244769857424084
-4.1927443,-14.954935,-2.1847,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244769877382513
-6.6629868,-18.733524,-1.6042607,-4.401437,-0.420428,-6.1092634,1.0,0.0,0.0,0.0,244769897333312
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244769967134408
-2.9399471,-6.5551586,-2.9160335,4.6550984,2.6265678,-8.455138,0.3356942,-0.2568322,0.68607193,-0.5921588,244769997072051
-5.133481,-2.5925875,-2.1558821,5.2644367,3.1351132,-8.598081,1.0,0.0,0.0,0.0,244770017030480
0.0,0.0,0.0,6.6005516,3.1543555,-8.280278,1.0,0.0,0.0,0.0,244770036988908
-6.641393,8.299166,-10.288282,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244770076882876
0.0,0.0,0.0,10.188163,-0.18799378,-4.787351,1.0,0.0,0.0,0.0,244770096803160
2.458119,19.312708,-12.392649,7.625278,-1.3098478,-3.1157181,1.0,0.0,0.0,0.0,244770116700553
0.0,0.0,0.0,3.834554,-0.8374963,-1.767844,1.0,0.0,0.0,0.0,244770136628466
0.0,0.0,0.0,1.4827226,0.98807454,-0.2396119,0.17745754,-0.241731,0.2676816,-0.91565365,244770156586894
0.0,0.0,0.0,1.5076154,2.0691533,1.0977248,0.18817441,-0.21616007,0.26053306,-0.9219479,244770176560581
0.0,0.0,0.0,2.9616275,2.4309382,3.6346483,0.24549522,-0.14681393,0.2305346,-0.9300708,244770216515585
-0.96351004,4.427567,-8.706527,3.1068606,3.3250923,4.3918157,1.0,0.0,0.0,0.0,244770236458754
0.0,0.0,0.0,3.5833356,4.5462117,4.9339585,1.0,0.0,0.0,0.0,244770256409556
