accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
0.0,0.0,0.0,-0.4503604,-0.36636642,-1.2370021,0.48700547,-0.6330119,0.30668816,0.517749,244734508536185
0.0,0.0,0.0,0.0,0.0,0.0,0.5005886,-0.64058834,0.28504008,0.5077498,244734548445653
0.0,0.0,0.0,0.4036292,-0.09162979,-1.4112514,1.0,0.0,0.0,0.0,244734588309347
0.0,0.0,0.0,0.0,0.0,0.0,0.52687234,-0.6308184,0.2830213,0.49434072,244734628157781
0.0,0.0,0.0,0.0,0.0,0.0,0.53195673,-0.62330556,0.2915856,0.49344718,244734648162107
-0.24291325,1.9456365,-0.114471674,0.9857838,-0.036651913,-0.82879144,1.0,0.0,0.0,0.0,244734668135915
0.048233986,2.1628633,-0.3426371,0.78954333,-0.028863383,-0.6713409,1.0,0.0,0.0,0.0,244734688079204
0.030770302,2.164909,-0.31257498,0.42119157,0.055283304,-0.55955255,0.55392766,-0.6161971,0.2920666,0.47766352,244734708022495
-0.24165058,1.9731342,-0.069698036,0.0795652,0.10567969,-0.47784933,1.0,0.0,0.0,0.0,244734727965784
0.0,0.0,0.0,-0.15577064,0.055741455,-0.40485093,0.55454654,-0.61834925,0.29088643,0.4748763,244734747916707
-0.0543108,1.7124188,-0.093185365,0.0,0.0,0.0,0.5537213,-0.6206877,0.2877601,0.4746933,244734767875256
0.31987476,1.3414617,-0.03747219,0.0,0.0,0.0,0.5520121,-0.6234767,0.28427017,0.47513157,244734787826175
0.53896904,1.1160979,0.030183256,-0.47891834,0.06627888,-0.06841691,0.54908216,-0.6266191,0.2819941,0.47574845,244734807769464
0.48256588,1.1867118,0.03141731,0.0,0.0,0.0,0.5448693,-0.63053757,0.2803517,0.47638518,244734827712757
0.43703556,1.0092764,0.05548197,-0.7829765,0.21853705,0.06918049,0.53889626,-0.6356792,0.27828893,0.4775544,244734847656046
0.0,0.0,0.0,-0.96944314,0.21135938,0.14844026,0.5312782,-0.64157015,0.2756316,0.47974834,244734867606967
0.46565723,-0.23867273,0.5260264,-0.9494373,0.24495697,0.25396723,0.5231686,-0.64707613,0.2739722,0.48220983,244734887565516
0.14159775,-0.7668884,0.6152845,-0.75411314,0.32055154,0.31948254,0.51592356,-0.6516148,0.27408242,0.48383883,244734907516436
-0.20126629,-0.73391986,0.51930267,-0.52839845,0.2790127,0.37415496,0.50999033,-0.65459436,0.27550614,0.48529643,244734927459725
-0.04839039,-0.9300699,0.39741457,-0.3556763,0.13194689,0.41905355,0.50539625,-0.655709,0.27728078,0.48758164,244734947403017
0.31477165,-1.1758912,0.4277575,-0.2764165,0.049785517,0.38362336,1.0,0.0,0.0,0.0,244734967346306
