accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
0.0,0.0,0.0,0.31597003,0.20295998,0.38774672,0.60585207,0.28419575,0.62486786,-0.4021395,244556907963572
0.21703434,-1.2042698,0.32875782,0.4277584,0.19700404,0.3136793,0.603115,0.28530732,0.62430626,-0.40631738,244556927914396
0.17317009,-1.1208179,0.41630352,0.45570546,0.16523905,0.23518312,1.0,0.0,0.0,0.0,244556947872849
0.22533798,-1.037136,0.42328006,0.40958515,0.12140947,0.14172074,0.5998328,0.29219255,0.6215938,-0.41042095,244556967823673
0.16376877,-0.959921,0.40155137,0.301462,0.08506299,0.034055736,1.0,0.0,0.0,0.0,244556987766865
0.05233097,-0.89918303,0.38417977,0.17547104,0.037873644,-0.07315111,0.5973932,0.29475555,0.62057406,-0.41367662,244557007710060
0.042754173,-0.8259052,0.3726942,0.0,0.0,0.0,0.59656775,0.29396167,0.62067693,-0.4152755,244557027653253
0.04521656,-0.78268707,0.33411485,0.02687807,-0.05665775,-0.27198774,0.59565854,0.2921478,0.6210059,-0.4173634,244557047604079
0.0018930435,-0.6904255,0.3301164,0.0041233404,-0.07696902,-0.3743077,0.5945488,0.28942573,0.6216431,-0.4198861,244557067562531
-0.07445431,-0.54266727,0.310562,0.0106901415,-0.08689558,-0.46288314,0.59295297,0.28639334,0.62233675,-0.42318156,244557087513354
-0.14283276,-0.40334892,0.242666,0.03924809,-0.10338894,-0.5381723,0.5911768,0.282808,0.6230973,-0.42694205,244557107456547
-0.18691826,-0.24120855,0.17017359,0.08689558,-0.11957687,-0.59589905,0.58907217,0.27912852,0.62366015,-0.431427,244557127399743
-0.20563602,-0.06894326,0.07869077,0.14080444,-0.12568553,-0.6397286,0.5866773,0.2754244,0.6240715,-0.43644702,244557147342935
-0.25518894,0.14806557,-0.004406929,0.19058995,-0.13225232,-0.66645396,0.58397853,0.2719156,0.62422574,-0.44201052,244557167263242
-0.3032179,0.35186315,-0.052594483,0.2405282,-0.14263703,-0.6776023,0.58120185,0.268487,0.6241446,-0.44784227,244557187160659
-0.2842188,0.580462,-0.10526848,0.27962357,-0.15745051,-0.66859204,0.5783822,0.26533505,0.62370074,-0.4539479,244557207088596
-0.23728561,0.7854562,-0.21127146,0.3231477,-0.16233744,-0.6427829,0.5756291,0.26262432,0.6229391,-0.46002868,244557227047048
-0.2473793,0.94982004,-0.31871033,0.35033122,-0.16249016,-0.61850107,0.5730109,0.26064655,0.6219409,-0.4657376,244557247028389
-0.25386047,1.0968249,-0.4179434,0.31673363,-0.16814066,-0.5900958,0.5713009,0.26110694,0.6209767,-0.4688566,244557267032618
-0.2012291,1.1784136,-0.4409948,0.21456642,-0.17119499,-0.5652031,0.57052577,0.2630424,0.62038606,-0.46950006,244557287006329
-0.20435429,1.151917,-0.46087378,0.095753126,-0.17287487,-0.54733527,0.56968564,0.2627718,0.6204149,-0.47063228,244557306949522
-0.21871948,1.0696063,-0.4799596,0.0016798794,-0.16600263,-0.52687126,0.5685363,0.26001886,0.6209172,-0.47288314,244557326892718
