accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.6383963,0.19327827,0.6840624,-0.2952156,244921147212835
1.6489973,0.6056668,-1.2090228,0.0,0.0,0.0,0.6491809,0.17943172,0.6847821,-0.278284,244921167156038
1.9609299,0.3123448,-1.3365606,0.0,0.0,0.0,0.66312736,0.16216739,0.68545353,-0.25321406,244921187099245
2.0087729,-0.49205613,-1.8421857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244921207042448
0.0,0.0,0.0,-3.3815973,-0.8206975,1.4737124,0.6913302,0.12915334,0.685029,-0.19004582,244921226993284
0.0,0.0,0.0,-3.5304956,-1.0554224,2.0648773,1.0,0.0,0.0,0.0,244921266902581
-1.2513523,-4.308975,-2.518507,-3.3615913,-1.1566733,2.1943808,0.7323721,0.08543955,0.6716302,-0.07241675,244921286845785
-2.7044764,-4.8609734,-3.6871195,-3.3009632,-0.9744828,2.044108,1.0,0.0,0.0,0.0,244921306766102
-4.4835815,-5.3324385,-4.3500857,-3.2505667,-0.95188075,1.7909042,0.75136334,0.058545567,0.6572861,0.00081467547,244921326663530
-3.964738,-5.773798,-4.3799257,0.0,0.0,0.0,0.76147056,0.042286105,0.6458496,0.0353964,244921346591477
-1.6683102,-6.025834,-4.10055,-3.254079,-1.4845552,1.1910346,1.0,0.0,0.0,0.0,244921366549941
-0.2644577,-5.725032,-3.5311427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244921386523663
-0.65174294,-4.571247,-3.0404973,-3.0665436,-0.61117065,-0.25396723,1.0,0.0,0.0,0.0,244921406512644
-1.4647522,-3.6400723,-2.9520106,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244921426486367
-1.1820822,-3.3062706,-2.9911168,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244921446444830
-0.16012192,-3.1981142,-3.0490558,0.0,0.0,0.0,0.7880581,-0.12038054,0.587679,0.13822544,244921466395663
0.0,0.0,0.0,-2.7785206,-0.7295258,-1.510517,0.7774226,-0.16989785,0.59240204,0.12573226,244921486338867
-0.27715015,-0.9783274,-2.4143794,0.0,0.0,0.0,0.77533907,-0.19832717,0.58623457,0.12587564,244921506259185
-0.7468462,0.6980659,-2.7894611,-1.7722728,-0.9822713,-1.1798862,0.77699333,-0.21707615,0.5766572,0.1289408,244921526156613
