accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,244361958699453
0.0,0.0,0.0,0.0,0.0,0.0,0.2723049,0.054524843,0.64540917,-0.7115646,244362666890714
-2.244801,2.8107204,-0.35033274,-0.1421789,2.2350032,-2.2304218,1.0,0.0,0.0,0.0,244362686849219
-2.0041971,3.1351724,-0.27420664,-0.09254608,2.0564778,-1.8046486,0.2166608,0.05899089,0.6591638,-0.7176918,244362706800095
-2.8527873,2.8123932,1.1177316,-0.3213151,1.7018706,-1.5143349,0.19737023,0.062123116,0.66516304,-0.7174565,244362726743340
-3.697718,2.8429265,2.870757,0.28787026,1.3046554,-1.0300715,0.18865198,0.06467224,0.66416776,-0.72049224,244362746694219
-2.415739,2.1404495,1.9003688,1.1876748,0.90285885,-0.43096542,0.20648254,0.09179261,0.6385547,-0.73565406,244362766652725
-1.1095471,-0.06120968,0.2732768,1.5816828,0.6229298,-0.20570888,0.20378469,0.09581096,0.6279967,-0.7449243,244362786603600
-0.047393322,0.035089493,-0.8523463,1.7012597,0.34300083,-0.16982053,0.19860034,0.10033204,0.61607915,-0.7556043,244362806546846
1.5986176,1.8941059,-2.5669816,1.1308643,0.1572978,0.02565634,0.20092894,0.1008386,0.60791755,-0.76150864,244362826490094
2.9565392,2.2865152,-4.5144377,0.05421429,0.22968534,-0.05207626,0.19927415,0.10207988,0.6086829,-0.7611667,244362846433339
0.0,0.0,0.0,-0.6241516,0.45448375,-0.14278975,1.0,0.0,0.0,0.0,244362866384218
3.743863,0.022992134,-3.7530155,-0.27305678,0.54550266,-0.09330966,0.17701726,0.091917545,0.6484623,-0.7346515,244362906270711
2.8236008,0.46799755,-2.7601357,-0.13332134,0.5468771,-0.4445572,0.17001048,0.09241431,0.6506156,-0.7343402,244362926168181
1.565656,0.100520134,-1.0853434,-0.3472769,0.5013676,-0.5514586,0.16506769,0.089386255,0.65514934,-0.7318076,244362946088540
1.3362639,-1.5153027,-0.17637908,-0.23518312,0.56306505,-0.55573463,0.16018526,0.08704129,0.6586513,-0.73002946,244362966031786
0.46195388,-2.2507668,0.107738614,0.2929099,0.6427829,-0.5325218,0.15430948,0.086386696,0.6581557,-0.7318177,244362986005553
-0.6324079,-0.26621628,0.8164042,0.837649,0.57696223,-0.34880406,0.14730257,0.08972314,0.6526455,-0.7377708,244363006009834
-1.4201977,0.6169014,0.8651068,0.0,0.0,0.0,0.15461765,0.09381163,0.6472026,-0.74055487,244363025983599
0.0,0.0,0.0,0.057726767,0.6088799,-0.052687127,1.0,0.0,0.0,0.0,244363045926845
