accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,-0.012064588,-0.0021380284,-0.011453724,1.0,0.0,0.0,0.0,gyroscope,244916299663683
0.0,0.0,0.0,0.0,0.0,0.0,0.5106941,0.33601305,0.58330065,-0.5348337,rotation_vector,244916319584000
0.0,0.0,0.0,-0.01740966,-0.004276057,-0.011911872,1.0,0.0,0.0,0.0,gyroscope,244916319584000
0.0,0.0,0.0,0.0,0.0,0.0,0.5107525,0.33580983,0.583466,-0.5347253,rotation_vector,244916339527204
0.0,0.0,0.0,-0.027488936,-0.0050396384,-0.01282817,1.0,0.0,0.0,0.0,gyroscope,244916339527204
0.0,0.0,0.0,-0.03390302,-0.005192355,-0.010537425,1.0,0.0,0.0,0.0,gyroscope,244916359500927
-0.09651184,0.49689507,-0.24564022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244916359500927
0.0,0.0,0.0,0.0,0.0,0.0,0.5109883,0.3353732,0.5838222,-0.5343852,rotation_vector,244916379505166
0.0,0.0,0.0,-0.03313944,-0.0070249503,-0.004581489,1.0,0.0,0.0,0.0,gyroscope,244916379505166
-0.12689018,0.47037673,-0.23072916,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244916419422092
0.0,0.0,0.0,-0.03359759,-0.0070249503,0.0010690142,1.0,0.0,0.0,0.0,gyroscope,244916399478889
-0.100156784,0.47435713,-0.25908273,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244916399478889
0.0,0.0,0.0,0.0,0.0,0.0,0.5112975,0.33509022,0.5841094,-0.5339528,rotation_vector,244916419422092
0.0,0.0,0.0,0.0,0.0,0.0,0.51113147,0.3352367,0.58394194,-0.534203,rotation_vector,244916399478889
0.0,0.0,0.0,-0.009315695,-0.006414085,0.008552114,1.0,0.0,0.0,0.0,gyroscope,244916459308502
0.0,0.0,0.0,0.0,0.0,0.0,0.5115483,0.3350195,0.5841968,-0.5336613,rotation_vector,244916459308502
0.0,0.0,0.0,-0.025961773,-0.0035124752,0.0050396384,1.0,0.0,0.0,0.0,gyroscope,244916439365299
0.0,0.0,0.0,0.0,0.0,0.0,0.51154745,0.33511537,0.5841562,-0.5336464,rotation_vector,244916479259338
-0.09121513,0.46202517,-0.24031156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244916479259338
-0.064291954,0.4181006,-0.21484143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244916499217801
0.0,0.0,0.0,0.0041233404,0.0009162979,0.004581489,1.0,0.0,0.0,0.0,gyroscope,244916479259338
-0.07050896,0.46529746,-0.23251742,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244916519145746
-0.104382515,0.49774957,-0.26273912,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244916539043174
0.0,0.0,0.0,0.04505131,0.011301007,0.0036651916,1.0,0.0,0.0,0.0,gyroscope,244916519145746
-0.08958435,0.49829674,-0.2508192,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244916558986380
0.0,0.0,0.0,0.036957346,0.00045814895,0.009162978,1.0,0.0,0.0,0.0,gyroscope,244916558986380
-0.043578148,0.48244858,-0.32190514,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244916598949084
-0.10138893,0.44448352,-0.3233651,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244916618907547
0.0,0.0,0.0,0.0,0.0,0.0,0.5109038,0.3366971,0.5831507,-0.5343667,rotation_vector,244916598949084
0.0,0.0,0.0,0.018020526,0.0071776668,0.005497787,1.0,0.0,0.0,0.0,gyroscope,244916598949084
-0.16246414,0.44073606,-0.32087457,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244916638858381
0.0,0.0,0.0,0.0,0.0,0.0,0.5107038,0.33718336,0.5831504,-0.5342515,rotation_vector,244916658801584
0.0,0.0,0.0,0.0,0.0,0.0,0.51069295,0.33705086,0.58314633,-0.53434986,rotation_vector,244916638858381
0.0,0.0,0.0,0.010995574,0.009162978,0.0021380284,1.0,0.0,0.0,0.0,gyroscope,244916638858381
-0.09822655,0.42099214,-0.36080775,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244916678752421
