accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,-1.1855367,1.4511104,-5.1703634,1.0,0.0,0.0,0.0,gyroscope,244424698040398
0.0,0.0,0.0,-0.04810564,2.1526892,-4.50055,1.0,0.0,0.0,0.0,gyroscope,244424757885280
0.0,0.0,0.0,0.0,0.0,0.0,0.34969947,-0.2170632,0.58688134,-0.6972547,rotation_vector,244424747906046
0.8203981,-4.0542336,-3.8192334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244424747906046
0.0,0.0,0.0,0.0,0.0,0.0,0.3055241,-0.22430034,0.5826838,-0.7189048,rotation_vector,244424767864513
3.8999188,-0.9239397,-2.7054186,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244424767864513
0.0,0.0,0.0,-1.180497,1.6423112,-4.9087605,1.0,0.0,0.0,0.0,gyroscope,244424737926813
0.0,0.0,0.0,1.3990341,3.907705,-4.3263,1.0,0.0,0.0,0.0,gyroscope,244424797786954
0.0,0.0,0.0,0.9624182,2.9520063,-4.1518984,1.0,0.0,0.0,0.0,gyroscope,244424777843747
0.0,0.0,0.0,0.0,0.0,0.0,0.2645354,-0.22487134,0.572179,-0.7430109,rotation_vector,244424787815351
0.0,0.0,0.0,0.0,0.0,0.0,0.20878014,-0.21337281,0.561639,-0.7716505,rotation_vector,244424807758557
6.757536,-0.5482683,-2.767859,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244424787815351
7.6333575,-0.34472466,-1.4488633,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244424807758557
0.0,0.0,0.0,1.8935295,5.274058,-4.5953865,1.0,0.0,0.0,0.0,gyroscope,244424817730162
0.0,0.0,0.0,3.4235942,5.910885,-4.6674685,1.0,0.0,0.0,0.0,gyroscope,244424837734405
0.0,0.0,0.0,0.0,0.0,0.0,0.15078972,-0.19389525,0.5426979,-0.80320984,rotation_vector,244424827732284
6.6275134,0.7372637,-0.28300953,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244424827732284
4.4750185,2.6307182,-1.1959169,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244424847736526
0.0,0.0,0.0,0.0,0.0,0.0,0.059854753,-0.20913498,0.49322087,-0.84226674,rotation_vector,244424847736526
0.0,0.0,0.0,0.0,0.0,0.0,0.011660262,-0.18643995,0.43476683,-0.8809552,rotation_vector,244424867664476
0.0,0.0,0.0,6.3439884,4.777577,-4.5384235,1.0,0.0,0.0,0.0,gyroscope,244424877590303
0.0,0.0,0.0,0.0,0.0,0.0,0.034813717,0.16572641,-0.3688478,0.91393334,rotation_vector,244424887516130
7.5652413,7.7097607,-5.6764345,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244424887516130
5.012333,5.4325457,-3.2380533,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244424867664476
0.0,0.0,0.0,5.2919254,5.5626917,-4.694347,1.0,0.0,0.0,0.0,gyroscope,244424857738648
0.0,0.0,0.0,0.0,0.0,0.0,0.07014545,0.14876571,-0.30458257,0.938178,rotation_vector,244424907436451
0.0,0.0,0.0,6.229604,4.0790524,-4.225813,1.0,0.0,0.0,0.0,gyroscope,244424897441959
0.0,0.0,0.0,5.693264,3.745062,-3.4950655,1.0,0.0,0.0,0.0,gyroscope,244424917430941
11.119133,9.11197,-6.6084476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244424907436451
0.0,0.0,0.0,0.0,0.0,0.0,0.036096215,0.03950304,-0.012341856,0.99849105,rotation_vector,244425007251671
0.0,0.0,0.0,0.0,0.0,0.0,0.054208055,0.00030106955,-0.0363669,-0.9978672,rotation_vector,244425027194879
14.585255,9.270451,-7.222816,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244424927425435
0.0,0.0,0.0,0.0,0.0,0.0,0.34504125,0.16619356,-0.08847213,-0.9195101,rotation_vector,244425067088925
0.0,0.0,0.0,0.0,0.0,0.0,0.102179475,0.12872426,-0.24449281,0.95562166,rotation_vector,244424927425435
0.0,0.0,0.0,0.0,0.0,0.0,0.11532658,0.11170166,-0.18610013,0.9693242,rotation_vector,244424947399161
17.845814,9.977297,-7.8317704,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244424947399161
-82.35026,-38.983135,-5.4079256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244425087047392
0.0,0.0,0.0,5.560706,2.8538096,-0.98364574,1.0,0.0,0.0,0.0,gyroscope,244424957378394
0.0,0.0,0.0,5.4553323,3.2533157,-2.4874432,1.0,0.0,0.0,0.0,gyroscope,244424937419928
17.7795,11.554537,-8.780914,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244424967357627
0.0,0.0,0.0,0.0,0.0,0.0,0.116587125,0.09198697,-0.12734365,0.9806781,rotation_vector,244424967357627
0.0,0.0,0.0,0.0,0.0,0.0,0.08808354,0.06954244,-0.068216175,0.9913383,rotation_vector,244424987308464
13.8523855,12.679137,-8.633474,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244424987308464
7.2582603,13.010942,-6.351936,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244425007251671
0.0,0.0,0.0,5.823073,2.9791899,3.8295143,1.0,0.0,0.0,0.0,gyroscope,244424997280067
0.0,0.0,0.0,0.0,0.0,0.0,0.4972142,0.039552674,-0.12454439,-0.857731,rotation_vector,244425106998228
28.948997,-7.7526,-8.03684,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244425126941435
0.0,0.0,0.0,0.0,0.0,0.0,0.4090806,0.12547582,-0.19374849,-0.8828196,rotation_vector,244425146884644
0.0,0.0,0.0,5.8000126,2.8226557,1.0147998,1.0,0.0,0.0,0.0,gyroscope,244424977336861
0.0,0.0,0.0,2.5746443,0.41218132,-1.9112446,1.0,0.0,0.0,0.0,gyroscope,244425236659597
-7.00391,-2.0434961,0.15863991,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244425246631200
0.0,0.0,0.0,1.4234687,-0.48487428,2.322357,1.0,0.0,0.0,0.0,gyroscope,244425216716390
-2.7657118,16.359507,-9.872003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244425027194879
0.0,0.0,0.0,0.0,0.0,0.0,0.17910203,0.050546627,-0.0811359,-0.9791754,rotation_vector,244425047138086
-21.653793,17.473528,-10.442505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244425047138086
0.0,0.0,0.0,5.3227744,3.7751472,6.8800225,1.0,0.0,0.0,0.0,gyroscope,244425017223276
0.0,0.0,0.0,4.892267,4.6265407,10.634248,1.0,0.0,0.0,0.0,gyroscope,244425037166482
0.0,0.0,0.0,-1.3703234,8.505993,12.942097,1.0,0.0,0.0,0.0,gyroscope,244425077068158
-102.41681,14.30847,-24.29873,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244425067088925
0.0,0.0,0.0,4.258647,8.304713,15.022398,1.0,0.0,0.0,0.0,gyroscope,244425057109692
0.0,0.0,0.0,0.0,0.0,0.0,0.44948554,0.14863774,-0.08163129,-0.87704384,rotation_vector,244425087047392
0.0,0.0,0.0,-0.2180789,-9.6509075,8.48614,1.0,0.0,0.0,0.0,gyroscope,244425097026625
0.0,0.0,0.0,-0.20922135,-5.916688,1.4903585,1.0,0.0,0.0,0.0,gyroscope,244425116969832
0.0,0.0,0.0,0.0,0.0,0.0,0.45200154,0.05381238,-0.19092327,-0.8696823,rotation_vector,244425126941435
0.0,0.0,0.0,-1.0132728,-1.251052,0.017715093,1.0,0.0,0.0,0.0,gyroscope,244425276546012
4.8220763,-52.001625,-12.436423,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244425106998228
0.0,0.0,0.0,0.0,0.0,0.0,0.4272527,0.08225052,-0.16130458,-0.88581645,rotation_vector,244425166827851
0.0,0.0,0.0,-3.029739,-0.6053675,1.6811012,1.0,0.0,0.0,0.0,gyroscope,244425156856248
-20.748272,29.260904,-1.917212,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244425146884644
-17.019503,8.456635,-1.1526642,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244425166827851
0.0,0.0,0.0,7.7888374,3.8050797,-9.216582,1.0,0.0,0.0,0.0,gyroscope,244425136913041
0.0,0.0,0.0,1.5734361,-0.73853606,0.82772243,1.0,0.0,0.0,0.0,gyroscope,244425196757923
8.2050295,-9.722037,2.6649427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244425206737156
0.0,0.0,0.0,-3.3096678,-2.1111503,-1.6119207,1.0,0.0,0.0,0.0,gyroscope,244425176799456
0.0,0.0,0.0,0.0,0.0,0.0,0.43463874,0.06568344,-0.17691833,-0.88061047,rotation_vector,244425206737156
-0.669322,0.8600559,3.5753384,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244425186778689
0.0,0.0,0.0,0.0,0.0,0.0,0.41043073,0.06622303,-0.15614599,-0.8959797,rotation_vector,244425186778689
0.3070675,-7.055768,2.5502625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244425226687994
0.0,0.0,0.0,0.0,0.0,0.0,0.43968275,0.07073133,-0.19183472,-0.8745717,rotation_vector,244425226687994
0.0,0.0,0.0,0.0,0.0,0.0,0.4253769,0.089630276,-0.21179445,-0.875308,rotation_vector,244425246631200
