accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
-2.6033754,-2.753718,0.78681195,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763314294555
0.0,0.0,0.0,2.9863675,-1.2744176,-1.4239268,1.0,0.0,0.0,0.0,gyroscope,244763314294555
0.0,0.0,0.0,3.177721,-1.3863586,-1.8283197,1.0,0.0,0.0,0.0,gyroscope,244763334191933
0.0,0.0,0.0,3.8308887,-2.9776626,-1.2289082,1.0,0.0,0.0,0.0,gyroscope,244763414063733
0.0,0.0,0.0,0.0,0.0,0.0,0.49413523,0.35453817,0.51470643,-0.6043265,rotation_vector,244763394120580
0.0,0.0,0.0,0.0,0.0,0.0,0.49933895,0.27410376,0.43436548,-0.6977496,rotation_vector,244763473923716
0.0,0.0,0.0,0.5858198,-3.2159002,-1.2631166,1.0,0.0,0.0,0.0,gyroscope,244763453972932
-5.7653675,2.3108459,-6.385303,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763453972932
0.0,0.0,0.0,-2.2525656,-3.3571627,-1.7322611,1.0,0.0,0.0,0.0,gyroscope,244763493866869
-3.042882,4.5053444,-5.6298027,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763593613163
0.0,0.0,0.0,-4.2707114,-2.9611692,-2.4481952,1.0,0.0,0.0,0.0,gyroscope,244763533684515
0.0,0.0,0.0,-3.360217,-3.2304082,-2.0738876,1.0,0.0,0.0,0.0,gyroscope,244763513787138
-4.509229,2.8147388,-8.176443,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763513787138
-4.1207595,3.2930524,-8.240879,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763533684515
0.0,0.0,0.0,0.0,0.0,0.0,0.5144947,0.18174534,0.45068944,-0.7065005,rotation_vector,244763513787138
0.0,0.0,0.0,0.0,0.0,0.0,0.5166763,0.072960086,0.4965042,-0.6936902,rotation_vector,244763553635301
-3.7843637,3.6383638,-7.6807985,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763553635301
0.0,0.0,0.0,0.0,0.0,0.0,0.48750693,0.334023,0.4533108,-0.6672894,rotation_vector,244763434014519
-5.494919,2.1949518,-7.017541,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763473923716
-5.0003905,2.308152,-7.706697,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763493866869
0.0,0.0,0.0,0.0,0.0,0.0,0.5117285,0.03492829,0.53519505,-0.67117816,rotation_vector,244763573639490
0.0,0.0,0.0,-4.7132835,-2.5793786,-2.764318,1.0,0.0,0.0,0.0,gyroscope,244763553635301
0.0,0.0,0.0,-4.5625525,-2.132225,-2.9469666,1.0,0.0,0.0,0.0,gyroscope,244763573639490
-3.0044842,5.2808995,-4.354469,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763633499472
0.0,0.0,0.0,-3.0262265,-1.1924089,-2.784171,1.0,0.0,0.0,0.0,gyroscope,244763613556316
0.0,0.0,0.0,0.0,0.0,0.0,0.48983863,-0.05077848,0.5669349,-0.6603519,rotation_vector,244763613556316
-2.9445639,4.9202447,-4.9252014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763613556316
0.0,0.0,0.0,0.0,0.0,0.0,0.5026267,-0.012947106,0.5538048,-0.66370094,rotation_vector,244763593613163
0.0,0.0,0.0,0.0,0.0,0.0,0.46481985,-0.09539885,0.57536346,-0.66618204,rotation_vector,244763653442625
-5.839347,2.0809526,-5.792636,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763434014519
0.0,0.0,0.0,2.3849707,-3.1603115,-1.1597277,1.0,0.0,0.0,0.0,gyroscope,244763434014519
0.0,0.0,0.0,0.0,0.0,0.0,0.4917448,0.3091133,0.43857414,-0.6857761,rotation_vector,244763453972932
0.0,0.0,0.0,-1.0108292,-3.3327281,-1.4671456,1.0,0.0,0.0,0.0,gyroscope,244763473923716
0.0,0.0,0.0,0.0,0.0,0.0,0.51731354,0.12748182,0.47002152,-0.7037151,rotation_vector,244763533684515
-3.1932683,4.008104,-6.4357924,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763573639490
0.0,0.0,0.0,-3.9382482,-1.6565138,-2.9529226,1.0,0.0,0.0,0.0,gyroscope,244763593613163
-3.2301497,5.649397,-4.1205263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763653442625
-3.4576042,6.565889,-4.5011263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763693351825
0.0,0.0,0.0,-1.933083,-0.75945824,-2.4697282,1.0,0.0,0.0,0.0,gyroscope,244763633499472
0.0,0.0,0.0,0.0,0.0,0.0,0.4558782,-0.10241543,0.5705027,-0.6754353,rotation_vector,244763673393412
-3.455375,6.1131306,-4.242622,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763673393412
0.0,0.0,0.0,1.1840096,0.039553523,-0.98364574,1.0,0.0,0.0,0.0,gyroscope,244763693351825
0.0,0.0,0.0,1.6722436,0.19318613,-0.4454735,1.0,0.0,0.0,0.0,gyroscope,244763713302608
-3.2301006,6.695098,-4.765741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763713302608
-2.9990497,6.707454,-5.033075,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763733245762
0.0,0.0,0.0,0.0,0.0,0.0,0.44836402,-0.09447926,0.55002254,-0.69822544,rotation_vector,244763713302608
0.0,0.0,0.0,0.36392298,-0.124311075,-1.5306755,1.0,0.0,0.0,0.0,gyroscope,244763673393412
0.0,0.0,0.0,1.921782,0.3846924,0.05757405,1.0,0.0,0.0,0.0,gyroscope,244763733245762
0.0,0.0,0.0,1.9657644,0.5833763,0.5132795,1.0,0.0,0.0,0.0,gyroscope,244763753166085
-2.847829,6.7554464,-5.3101788,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763753166085
-2.7098382,6.807327,-5.5635424,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763773063478
0.0,0.0,0.0,0.0,0.0,0.0,0.45096603,-0.06606069,0.52742994,-0.7169961,rotation_vector,244763753166085
0.0,0.0,0.0,0.0,0.0,0.0,0.45468438,-0.04719353,0.5189989,-0.7222708,rotation_vector,244763773063478
0.0,0.0,0.0,0.80878556,1.2672399,1.6409367,1.0,0.0,0.0,0.0,gyroscope,244763812926930
0.0,0.0,0.0,1.3498595,1.0068586,1.2933544,1.0,0.0,0.0,0.0,gyroscope,244763792983761
0.0,0.0,0.0,0.0,0.0,0.0,0.45952663,-0.026774265,0.5146515,-0.72336173,rotation_vector,244763792983761
-2.7206297,6.644124,-5.6496315,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763792983761
0.0,0.0,0.0,0.0,0.0,0.0,0.46512526,-0.005212016,0.5153597,-0.71974707,rotation_vector,244763812926930
-2.9762344,6.2876053,-5.5402017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763812926930
0.0,0.0,0.0,0.0,0.0,0.0,0.47187722,0.017178059,0.521021,-0.7110373,rotation_vector,244763832900619
-3.3104835,6.0197544,-5.2863836,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763832900619
0.0,0.0,0.0,0.0,0.0,0.0,0.48073396,0.03875593,0.5310372,-0.69670117,rotation_vector,244763852904823
0.0,0.0,0.0,0.0,0.0,0.0,0.5068996,0.100846484,0.57286733,-0.6361649,rotation_vector,244763892844570
-3.0995903,5.7707615,-4.8188205,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763852904823
0.0,0.0,0.0,0.22937989,1.486846,2.004707,1.0,0.0,0.0,0.0,gyroscope,244763832900619
-8.397678,1.0227942,-0.9668546,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763952590157
-2.5881882,4.5841565,-3.4686928,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763892844570
0.0,0.0,0.0,-1.7629571,1.9013181,2.8806877,1.0,0.0,0.0,0.0,gyroscope,244763892844570
-6.872682,2.8244538,-2.1459527,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763932646987
0.0,0.0,0.0,0.0,0.0,0.0,0.5537719,0.18586816,0.6494582,-0.48681998,rotation_vector,244763972594362
0.0,0.0,0.0,0.0,0.0,0.0,0.491198,0.058787182,0.5455023,-0.6765323,rotation_vector,244763872886141
0.0,0.0,0.0,0.0,0.0,0.0,0.515441,0.12092961,0.59569085,-0.6040274,rotation_vector,244763912764851
-4.3988924,3.9489875,-2.966621,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763912764851
0.0,0.0,0.0,-2.664136,2.350915,3.3864841,1.0,0.0,0.0,0.0,gyroscope,244763932646987
-7.565896,-0.9961791,0.124206126,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763972594362
-2.5896878,5.3581915,-4.2941713,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763872886141
0.0,0.0,0.0,-2.3228152,2.2429445,3.0810516,1.0,0.0,0.0,0.0,gyroscope,244763912764851
0.0,0.0,0.0,0.0,0.0,0.0,0.536825,0.1629365,0.6385712,-0.5267803,rotation_vector,244763952590157
-6.026676,-2.6293364,1.3168861,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244763992568050
0.0,0.0,0.0,0.0,0.0,0.0,0.58555275,0.23034655,0.6576137,-0.41426164,rotation_vector,244764012511218
-5.165268,-5.1734467,3.015379,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244764052420448
-5.5414667,-4.670423,2.5090964,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244764032462019
0.0,0.0,0.0,1.5079209,1.0079277,2.3590088,1.0,0.0,0.0,0.0,gyroscope,244764092314416
0.0,0.0,0.0,0.0,0.0,0.0,0.59610045,0.31670818,0.6463104,-0.3558696,rotation_vector,244764072371247
0.0,0.0,0.0,1.4963144,1.1305588,2.9900327,1.0,0.0,0.0,0.0,gyroscope,244764072371247
-4.131871,-4.5566945,3.1240802,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244764072371247
0.0,0.0,0.0,0.4017966,0.43310347,0.42302418,1.0,0.0,0.0,0.0,gyroscope,244764172109987
0.0,0.0,0.0,0.0,0.0,0.0,0.5888755,0.36465308,0.633933,-0.34406805,rotation_vector,244764112257587
-0.6257429,-4.075227,3.3838577,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244764132200756
0.0,0.0,0.0,0.80848014,0.5914703,0.7302894,1.0,0.0,0.0,0.0,gyroscope,244764152151558
0.0,0.0,0.0,-0.19303341,0.14370605,0.08735373,1.0,0.0,0.0,0.0,gyroscope,244764212003954
0.0,0.0,0.0,-0.027794369,0.25381452,0.22159137,1.0,0.0,0.0,0.0,gyroscope,244764192060786
1.2797651,-3.256116,2.8366022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244764192060786
1.7326889,-3.541113,3.4962358,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244764212003954
0.0,0.0,0.0,0.0,0.0,0.0,0.5791162,0.3732011,0.6268528,-0.36386937,rotation_vector,244764192060786
0.0,0.0,0.0,0.0,0.0,0.0,0.5836023,0.3414144,0.61826205,-0.4007451,rotation_vector,244764231947125
0.0,0.0,0.0,0.0,0.0,0.0,0.5834398,0.33614948,0.61572343,-0.40925094,rotation_vector,244764251890294
