accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
-9.395048,7.7944465,-8.9163475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245088174629360
0.0,0.0,0.0,0.0,0.0,0.0,0.01924912,-0.3200475,0.239532,-0.91641897,rotation_vector,245088174629360
0.0,0.0,0.0,-1.0221303,-0.65026605,-2.3272438,1.0,0.0,0.0,0.0,gyroscope,245088154731919
0.0,0.0,0.0,0.0,0.0,0.0,0.0018462214,0.33003166,-0.25395364,0.9091662,rotation_vector,245088214515800
0.0,0.0,0.0,-1.3161092,-0.10919216,-0.68462723,1.0,0.0,0.0,0.0,gyroscope,245088214515800
-8.162908,7.768532,-9.022849,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245088194557322
0.0,0.0,0.0,-1.0140363,-0.44043383,-1.1794281,1.0,0.0,0.0,0.0,gyroscope,245088194557322
0.0,0.0,0.0,0.0,0.0,0.0,0.008261925,-0.3274219,0.24422313,-0.91273314,rotation_vector,245088194557322
-6.830449,7.876061,-8.33289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245088234497166
0.0,0.0,0.0,-1.8115209,0.39614612,0.14859296,1.0,0.0,0.0,0.0,gyroscope,245088254501420
0.0,0.0,0.0,-1.6195564,0.19394971,-0.25900686,1.0,0.0,0.0,0.0,gyroscope,245088234497166
0.0,0.0,0.0,0.0,0.0,0.0,0.009013832,0.3290467,-0.2674866,0.9055926,rotation_vector,245088234497166
-6.430673,8.236442,-7.323312,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245088254501420
0.0,0.0,0.0,0.0,0.0,0.0,0.014750868,0.32476044,-0.28422347,0.9019591,rotation_vector,245088254501420
-5.84123,8.057203,-4.8870225,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245088294326824
0.0,0.0,0.0,-1.4294246,0.70325863,0.98639464,1.0,0.0,0.0,0.0,gyroscope,245088294326824
0.0,0.0,0.0,0.0,0.0,0.0,0.013813212,0.3081588,-0.31635225,0.8970889,rotation_vector,245088294326824
0.0,0.0,0.0,-1.7609718,0.56214875,0.5716171,1.0,0.0,0.0,0.0,gyroscope,245088274444640
0.0,0.0,0.0,0.0,0.0,0.0,0.01605356,0.31797138,-0.30120128,0.8988405,rotation_vector,245088274444640
-5.6913295,7.842449,-3.7583373,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245088314254784
0.0,0.0,0.0,0.0,0.0,0.0,0.039372686,-0.25803858,0.33706713,-0.90457267,rotation_vector,245088354202257
0.0,0.0,0.0,0.7535023,1.2017246,3.4860551,1.0,0.0,0.0,0.0,gyroscope,245088354202257
0.0,0.0,0.0,1.3994923,4.959004,8.985675,1.0,0.0,0.0,0.0,gyroscope,245088394142102
0.0,0.0,0.0,-0.21319197,0.8859073,2.0824397,1.0,0.0,0.0,0.0,gyroscope,245088334228519
0.0,0.0,0.0,-10.024146,8.504771,11.051621,1.0,0.0,0.0,0.0,gyroscope,245088434051428
0.0,0.0,0.0,0.0,0.0,0.0,0.009588776,-0.2810779,0.33490995,-0.89929897,rotation_vector,245088334228519
