accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.34884542,-0.627426,0.42918864,0.5481247,rotation_vector,244863795207385
0.0,0.0,0.0,0.5552765,0.37614027,1.2110404,1.0,0.0,0.0,0.0,gyroscope,244863795207385
0.0,0.0,0.0,1.1365148,0.28725937,0.5045747,1.0,0.0,0.0,0.0,gyroscope,244863815158239
0.0,0.0,0.0,0.0,0.0,0.0,0.35266927,-0.6228276,0.43961614,0.5426306,rotation_vector,244863815158239
3.2830791,-4.66449,12.471724,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244863874919250
5.3558016,-3.0767019,6.751497,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244863855021802
0.0,0.0,0.0,0.0,0.0,0.0,0.37049088,-0.62118083,0.44014695,0.5321105,rotation_vector,244863874919250
1.5777245,-9.527616,18.849293,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244863894870105
0.0,0.0,0.0,0.0,0.0,0.0,0.5034146,-0.50294954,0.5505539,0.4364699,rotation_vector,244863954791332
0.0,0.0,0.0,0.0,0.0,0.0,0.3616643,-0.6197526,0.44391194,0.536701,rotation_vector,244863835101463
5.8004093,-4.6558776,4.814911,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244863835101463
0.0,0.0,0.0,10.79124,-3.251483,-0.035430185,1.0,0.0,0.0,0.0,gyroscope,244863974734559
0.0,0.0,0.0,0.0,0.0,0.0,0.65289325,-0.3573308,0.5832155,0.3254302,rotation_vector,244863994677783
0.0,0.0,0.0,0.0,0.0,0.0,0.81693715,-0.24706756,0.48114312,0.20018154,rotation_vector,244864034564234
0.0,0.0,0.0,1.1264355,-0.0154243475,-0.22250767,1.0,0.0,0.0,0.0,gyroscope,244863835101463
0.0,0.0,0.0,0.0777326,0.0070249503,-0.22342396,1.0,0.0,0.0,0.0,gyroscope,244863874919250
0.0,0.0,0.0,0.0,0.0,0.0,0.40126902,-0.5818899,0.47412142,0.52497256,rotation_vector,244863914874365
-1.7492695,-20.013842,19.497356,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244863914874365
0.0,0.0,0.0,9.633497,-0.5477934,0.1656972,1.0,0.0,0.0,0.0,gyroscope,244863954791332
0.0,0.0,0.0,6.877732,-0.34483343,-0.74281216,1.0,0.0,0.0,0.0,gyroscope,244863934848108
-33.44045,-31.444168,6.998883,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244863974734559
0.0,0.0,0.0,0.0,0.0,0.0,0.5777998,-0.42381895,0.58074445,0.38634288,rotation_vector,244863974734559
0.0,0.0,0.0,7.4884443,-8.772788,-5.400507,1.0,0.0,0.0,0.0,gyroscope,244864034564234
-57.72815,-16.723057,-8.586308,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244864014621010
0.0,0.0,0.0,0.0,0.0,0.0,0.73804486,-0.2962373,0.5491423,0.25685793,rotation_vector,244864014621010
0.0,0.0,0.0,9.126174,-6.7728157,-4.5058947,1.0,0.0,0.0,0.0,gyroscope,244864014621010
0.0,0.0,0.0,6.365063,-9.254456,-5.718615,1.0,0.0,0.0,0.0,gyroscope,244864054515090
0.0,0.0,0.0,0.0,0.0,0.0,0.8830665,-0.2003974,0.40133688,0.13770771,rotation_vector,244864054515090
-60.282085,-16.664846,-11.925606,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244864034564234
0.0,0.0,0.0,6.4282875,-9.258274,-1.8495473,1.0,0.0,0.0,0.0,gyroscope,244864114390542
-17.955755,-2.7788622,-24.30045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244864114390542
-52.76164,-16.361181,-14.382783,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244864054515090
-39.189972,-13.998089,-19.515865,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244864074473574
0.0,0.0,0.0,0.0,0.0,0.0,0.96749187,-0.08759318,0.23284987,0.045475196,rotation_vector,244864094432058
0.0,0.0,0.0,5.1266866,-9.444129,-0.8043568,1.0,0.0,0.0,0.0,gyroscope,244864134326138
-12.013744,-2.550016,-25.108528,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244864134326138
-7.7013974,-2.6833715,-23.704374,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244864154238844
0.0,0.0,0.0,1.0351112,-7.1437635,-0.6750061,1.0,0.0,0.0,0.0,gyroscope,244864174182071
0.0,0.0,0.0,0.09773844,-5.5739927,-1.1145236,1.0,0.0,0.0,0.0,gyroscope,244864194155813
0.0,0.0,0.0,0.0,0.0,0.0,0.9921023,0.06337604,-0.10666254,-0.01843335,rotation_vector,244864174182071
0.0,0.0,0.0,0.0,0.0,0.0,0.98461837,0.063287154,-0.15941359,-0.033297237,rotation_vector,244864194155813
0.0,0.0,0.0,0.41065416,-4.725043,-1.3293955,1.0,0.0,0.0,0.0,gyroscope,244864234080412
-8.42944,-1.1816883,-18.900635,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244864214121928
-8.596289,-0.8060906,-16.071938,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244864254031266
