accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.3328319,-0.6754309,0.08208877,0.6528994,rotation_vector,244547711650154
0.0,0.0,0.0,0.0,0.0,0.0,0.37386551,-0.6661577,0.109564155,0.6359672,rotation_vector,244547751513645
0.0,0.0,0.0,5.021312,0.9860892,-0.5343544,1.0,0.0,0.0,0.0,gyroscope,244547791361876
2.7362962,-4.6500063,-2.073545,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244547791361876
0.0,0.0,0.0,4.3498187,0.7247916,-0.52595496,1.0,0.0,0.0,0.0,gyroscope,244547771411056
0.0,0.0,0.0,3.1731396,0.62781674,-0.59498274,1.0,0.0,0.0,0.0,gyroscope,244547751513645
1.6089339,-5.615849,-1.5119992,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244547751513645
0.0,0.0,0.0,0.0,0.0,0.0,0.40552774,-0.65410304,0.13677609,0.6236897,rotation_vector,244547771411056
2.33223,-5.4551134,-1.8695344,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244547771411056
0.0,0.0,0.0,0.0,0.0,0.0,0.4406051,-0.6402999,0.16762184,0.60645366,rotation_vector,244547791361876
0.0,0.0,0.0,0.0,0.0,0.0,0.47469255,-0.62670976,0.19969669,0.58482754,rotation_vector,244547811366100
2.0555172,-4.015294,-2.5844474,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244547811366100
0.0,0.0,0.0,5.1444016,1.3154984,-0.59880066,1.0,0.0,0.0,0.0,gyroscope,244547811366100
0.0,0.0,0.0,4.301408,1.505172,-0.02443461,1.0,0.0,0.0,0.0,gyroscope,244547871233814
-0.29573727,-4.088234,-3.404513,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244547851282994
0.0,0.0,0.0,3.9266417,1.430341,0.07895433,1.0,0.0,0.0,0.0,gyroscope,244547891192261
0.0,0.0,0.0,4.717254,1.5990925,-0.3061962,1.0,0.0,0.0,0.0,gyroscope,244547851282994
0.69492626,-3.981575,-3.0660763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244547831339806
0.0,0.0,0.0,5.006957,1.5500705,-0.548557,1.0,0.0,0.0,0.0,gyroscope,244547831339806
0.0,0.0,0.0,0.0,0.0,0.0,0.55236477,-0.58279663,0.2953557,0.5176932,rotation_vector,244547871233814
0.0,0.0,0.0,0.0,0.0,0.0,0.5054467,-0.6125161,0.23255047,0.56148726,rotation_vector,244547831339806
0.0,0.0,0.0,0.0,0.0,0.0,0.5314785,-0.5978602,0.2648557,0.5384657,rotation_vector,244547851282994
-0.32769966,-4.030469,-3.3052745,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244547871233814
0.0,0.0,0.0,0.0,0.0,0.0,0.569786,-0.568001,0.32355168,0.4980292,rotation_vector,244547891192261
0.4805889,-3.7992444,-3.094677,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244547891192261
0.0,0.0,0.0,3.7956111,1.4811954,-0.018325957,1.0,0.0,0.0,0.0,gyroscope,244547911143079
0.0,0.0,0.0,0.0,0.0,0.0,0.5855685,-0.55614215,0.34901395,0.47539964,rotation_vector,244547911143079
0.0,0.0,0.0,0.0,0.0,0.0,0.6253334,-0.5288134,0.4167047,0.39455253,rotation_vector,244547970903981
1.5292335,-2.205629,-2.7094958,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244547931086267
1.3038683,-3.2392213,-2.9081798,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244547911143079
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,step_detector,244546784047726
0.0,0.0,0.0,3.7675114,1.3942999,-0.2576324,1.0,0.0,0.0,0.0,gyroscope,244547970903981
0.0,0.0,0.0,0.0,0.0,0.0,0.6001177,-0.5483525,0.37281615,0.4474109,rotation_vector,244547931086267
0.0,0.0,0.0,3.8267653,1.5761851,-0.18524489,1.0,0.0,0.0,0.0,gyroscope,244547931086267
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,step_detector,244547302692710
1.2382679,-1.3997273,-2.5427175,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244547951006570
0.69519806,-1.1614704,-1.8783199,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244547990854801
0.0,0.0,0.0,5.234657,0.42363504,0.8304713,1.0,0.0,0.0,0.0,gyroscope,244548050775919
0.0,0.0,0.0,0.0,0.0,0.0,0.6136661,-0.53663415,0.3947577,0.42379728,rotation_vector,244547951006570
