accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,8.007833,4.1187587,-1.6288722,1.0,0.0,0.0,0.0,gyroscope,244359973781806
0.0,0.0,0.0,0.0,0.0,0.0,0.79725146,0.2984424,0.33720595,-0.4020128,rotation_vector,244359953838560
0.0,0.0,0.0,0.0,0.0,0.0,0.74972135,0.37111777,0.34162885,-0.42834488,rotation_vector,244359973781806
-11.538254,-0.24299717,-4.542904,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244359953838560
-10.275184,4.8340435,-0.5865638,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244360013668300
0.0,0.0,0.0,0.0,0.0,0.0,0.703688,0.42070547,0.34667453,-0.45568278,rotation_vector,244359993725054
0.0,0.0,0.0,0.0,0.0,0.0,0.6600992,0.45425466,0.3569273,-0.48013002,rotation_vector,244360013668300
0.0,0.0,0.0,4.6825876,2.7678304,-2.947425,1.0,0.0,0.0,0.0,gyroscope,244360013668300
-9.497173,4.184478,-0.39941978,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244360033619177
0.0,0.0,0.0,6.3163466,3.1645875,-2.4368942,1.0,0.0,0.0,0.0,gyroscope,244359993725054
0.0,0.0,0.0,0.0,0.0,0.0,0.6119042,0.4780673,0.36216035,-0.5156207,rotation_vector,244360033619177
0.0,0.0,0.0,0.0,0.0,0.0,0.57936645,0.4855042,0.38375565,-0.53042614,rotation_vector,244360053577683
-10.929523,3.9001513,-0.55753255,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244360053577683
0.0,0.0,0.0,1.5952746,2.2366831,-3.3312008,1.0,0.0,0.0,0.0,gyroscope,244360053577683
0.0,0.0,0.0,2.718045,2.3704627,-3.3243287,1.0,0.0,0.0,0.0,gyroscope,244360033619177
0.0,0.0,0.0,0.0,0.0,0.0,0.53732455,0.49994487,0.3993329,-0.54942757,rotation_vector,244360073528559
-10.427175,5.475627,0.78984606,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244360093471804
0.0,0.0,0.0,0.0,0.0,0.0,0.5066496,0.5046418,0.42143485,-0.5577056,rotation_vector,244360093471804
-12.161265,5.4584756,-0.64027977,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244360073528559
0.0,0.0,0.0,1.2284501,2.6510024,-3.2603405,1.0,0.0,0.0,0.0,gyroscope,244360073528559
0.0,0.0,0.0,0.93034774,2.2586741,-3.058144,1.0,0.0,0.0,0.0,gyroscope,244360093471804
0.0,0.0,0.0,0.8907942,2.0447187,-2.6702447,1.0,0.0,0.0,0.0,gyroscope,244360113392165
-4.880227,6.1812253,-1.9068528,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244360133289635
0.0,0.0,0.0,0.0,0.0,0.0,0.44366956,0.5186274,0.44899106,-0.5767062,rotation_vector,244360133289635
-8.031273,5.7578106,0.35413998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244360113392165
0.0,0.0,0.0,0.0,0.0,0.0,0.47321895,0.513312,0.4332414,-0.5699794,rotation_vector,244360113392165
0.0,0.0,0.0,1.1505647,1.9587394,-2.6326766,1.0,0.0,0.0,0.0,gyroscope,244360133289635
0.0,0.0,0.0,0.0,0.0,0.0,0.39181206,0.54177415,0.45013902,-0.5918943,rotation_vector,244360173244794
3.5529485,9.033843,0.38503543,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244360173244794
-0.25981522,8.618309,-2.0377884,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244360153240512
0.0,0.0,0.0,2.0803015,1.6158913,-1.7814357,1.0,0.0,0.0,0.0,gyroscope,244360173244794
0.0,0.0,0.0,0.0,0.0,0.0,0.41217345,0.52398425,0.45697275,-0.58883744,rotation_vector,244360153240512
0.0,0.0,0.0,1.3020593,1.4895949,-2.5289822,1.0,0.0,0.0,0.0,gyroscope,244360153240512
0.0,0.0,0.0,0.0,0.0,0.0,0.3230629,0.5977496,0.40988177,-0.6085416,rotation_vector,244360213161804
3.8338408,5.950014,-1.2367315,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244360213161804
4.9588246,6.625185,1.1145583,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244360193218559
0.0,0.0,0.0,3.8484511,1.895973,-0.56184334,1.0,0.0,0.0,0.0,gyroscope,244360193218559
0.0,0.0,0.0,0.0,0.0,0.0,0.35876986,0.5659705,0.4362451,-0.600543,rotation_vector,244360193218559
0.0,0.0,0.0,4.937013,2.0491474,0.3352123,1.0,0.0,0.0,0.0,gyroscope,244360213161804
0.0,0.0,0.0,4.408004,1.733941,0.9060659,1.0,0.0,0.0,0.0,gyroscope,244360233112682
0.0,0.0,0.0,3.161533,1.0221303,1.099252,1.0,0.0,0.0,0.0,gyroscope,244360253071187
0.0,0.0,0.0,0.0,0.0,0.0,0.3013499,0.635325,0.3748074,-0.6042101,rotation_vector,244360233112682
0.0,0.0,0.0,0.0,0.0,0.0,0.28498328,0.65440404,0.35176176,-0.60564315,rotation_vector,244360253071187
2.7151093,6.2631183,-2.131917,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244360233112682
3.906496,4.1085434,-1.6984748,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244360253071187
0.0,0.0,0.0,2.7403414,0.6924158,1.1725558,1.0,0.0,0.0,0.0,gyroscope,244360273022064
