accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,1.9179641,0.22602014,-1.3240504,1.0,0.0,0.0,0.0,gyroscope,244342777677804
0.0,0.0,0.0,2.193617,0.21655174,-1.1710287,1.0,0.0,0.0,0.0,gyroscope,244342817571850
2.9936285,-0.8019476,0.72945213,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244342797628642
2.637763,-0.3780203,0.82494736,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244342817571850
0.0,0.0,0.0,0.0,0.0,0.0,0.5067176,-0.03839611,0.25788742,-0.82174027,rotation_vector,244342817571850
0.0,0.0,0.0,0.0,0.0,0.0,0.51595485,-0.047753505,0.275537,-0.80968493,rotation_vector,244342797628642
0.0,0.0,0.0,2.041359,0.20295998,-1.2307408,1.0,0.0,0.0,0.0,gyroscope,244342797628642
0.0,0.0,0.0,2.235614,0.2003638,-1.052979,1.0,0.0,0.0,0.0,gyroscope,244342837492173
0.0,0.0,0.0,2.1864395,0.21639901,-0.808022,1.0,0.0,0.0,0.0,gyroscope,244342857389605
1.4639986,-0.36615086,0.3717451,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244342837492173
0.5186341,-0.13418245,-0.17525959,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244342857389605
0.0,0.0,0.0,0.0,0.0,0.0,0.49101117,-0.021361332,0.2210105,-0.8423813,rotation_vector,244342857389605
0.0,0.0,0.0,0.0,0.0,0.0,0.49760365,-0.032097198,0.23836255,-0.8333928,rotation_vector,244342837492173
0.0,0.0,0.0,2.036472,0.2564107,-0.47112983,1.0,0.0,0.0,0.0,gyroscope,244342877317558
0.0,0.0,0.0,1.8521434,0.26313022,-0.16676621,1.0,0.0,0.0,0.0,gyroscope,244342897276026
0.0,0.0,0.0,0.0,0.0,0.0,0.48701498,-0.0102537945,0.20504496,-0.84892154,rotation_vector,244342877317558
0.3925978,0.3914578,-0.41269016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244342877317558
0.0,0.0,0.0,0.0,0.0,0.0,0.48535508,0.00058763684,0.19071232,-0.8532638,rotation_vector,244342897276026
0.37820637,0.71785283,-0.59498024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244342897276026
0.0,0.0,0.0,1.7684549,0.25686884,0.06291912,1.0,0.0,0.0,0.0,gyroscope,244342917226864
0.0,0.0,0.0,0.0,0.0,0.0,0.48553786,0.011478694,0.17698091,-0.8560368,rotation_vector,244342917226864
0.0,0.0,0.0,0.0,0.0,0.0,0.48607278,0.022126934,0.16502923,-0.85790974,rotation_vector,244342937170072
0.0,0.0,0.0,1.627345,0.22495113,0.12980886,1.0,0.0,0.0,0.0,gyroscope,244342937170072
-0.99194276,-0.33199143,-0.9325495,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244342937170072
-0.13070858,0.18620896,-0.5768862,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244342917226864
-1.6324391,-0.3577845,-1.6560154,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244342957113283
0.0,0.0,0.0,0.0,0.0,0.0,0.48961633,0.038299132,0.14873578,-0.8583047,rotation_vector,244342977056491
0.0,0.0,0.0,0.0,0.0,0.0,0.48748577,0.031391468,0.15454133,-0.8587719,rotation_vector,244342957113283
0.0,0.0,0.0,1.3778065,0.24358252,0.25259277,1.0,0.0,0.0,0.0,gyroscope,244342957113283
-1.8759091,-0.5389168,-2.4573236,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244342977056491
0.0,0.0,0.0,0.84528476,0.26328292,0.311694,1.0,0.0,0.0,0.0,gyroscope,244342977056491
0.0,0.0,0.0,0.0,0.0,0.0,0.49134323,0.04180475,0.14952286,-0.8570164,rotation_vector,244342997030219
0.0,0.0,0.0,0.0,0.0,0.0,0.49348027,0.044117786,0.15254124,-0.85513866,rotation_vector,244343017034463
0.0,0.0,0.0,-0.107359566,0.30192015,0.29733866,1.0,0.0,0.0,0.0,gyroscope,244343017034463
