accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
-0.64037144,-0.35153484,-0.8895526,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442394364311
0.0,0.0,0.0,0.24663684,0.5647449,-0.030848695,1.0,0.0,0.0,0.0,gyroscope,245442434266004
-0.6103617,0.457263,-0.89131236,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442414261753
0.0,0.0,0.0,0.0,0.0,0.0,0.55378187,-0.58474314,0.37350792,-0.46031848,rotation_vector,245442434266004
-0.8537466,-0.22646141,-0.61408824,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442434266004
0.0,0.0,0.0,0.0,0.0,0.0,0.55423874,-0.58858454,0.37044838,-0.4573354,rotation_vector,245442414261753
0.0,0.0,0.0,0.37110063,0.5326745,0.03848451,1.0,0.0,0.0,0.0,gyroscope,245442414261753
0.0,0.0,0.0,0.25335637,0.51053065,-0.07452556,1.0,0.0,0.0,0.0,gyroscope,245442474274509
-1.1958828,-0.47040558,-0.3454785,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442454270257
0.0,0.0,0.0,0.0,0.0,0.0,0.5567338,-0.5741272,0.38770652,-0.45837665,rotation_vector,245442474274509
0.0,0.0,0.0,0.30818152,0.5513059,-0.061239243,1.0,0.0,0.0,0.0,gyroscope,245442454270257
0.0,0.0,0.0,0.0,0.0,0.0,0.5533993,-0.5805678,0.37644243,-0.46366075,rotation_vector,245442454270257
-0.9821952,0.08872604,-0.33265668,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442474274509
-0.9698934,0.5579939,-0.271528,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442494278761
0.0,0.0,0.0,0.08811731,0.47693303,-0.0852157,1.0,0.0,0.0,0.0,gyroscope,245442494278761
0.0,0.0,0.0,0.0,0.0,0.0,0.55549693,-0.5711867,0.38921082,-0.46225947,rotation_vector,245442494278761
0.0,0.0,0.0,-0.046578474,0.43569964,-0.13958271,1.0,0.0,0.0,0.0,gyroscope,245442514115165
-1.086443,0.29276276,-0.19789957,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442514115165
0.0,0.0,0.0,0.0,0.0,0.0,0.55337423,-0.5693358,0.39163688,-0.46503145,rotation_vector,245442514115165
-1.0771317,0.085796356,-0.07483792,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442533951572
0.0,0.0,0.0,0.0,0.0,0.0,0.5618392,-0.5572626,0.41078964,-0.45282114,rotation_vector,245442553971082
0.0,0.0,0.0,0.07651087,0.14126259,-0.075594574,1.0,0.0,0.0,0.0,gyroscope,245442573990594
0.0,0.0,0.0,-0.045814894,0.24709499,-0.1432479,1.0,0.0,0.0,0.0,gyroscope,245442553971082
0.0,0.0,0.0,0.0,0.0,0.0,0.56007844,-0.5608705,0.40590966,-0.45494372,rotation_vector,245442533951572
-1.1169736,-0.033132553,0.07376808,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442553971082
-1.0302742,0.00055217743,0.30962333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442573990594
0.0,0.0,0.0,0.0,0.0,0.0,0.5622044,-0.55569446,0.4119619,-0.45322996,rotation_vector,245442573990594
0.0,0.0,0.0,0.22571471,0.09025534,-0.01282817,1.0,0.0,0.0,0.0,gyroscope,245442593918552
0.0,0.0,0.0,0.0,0.0,0.0,0.56278217,-0.5543087,0.4115692,-0.45456448,rotation_vector,245442593918552
-0.7858398,0.14256,0.37634853,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442593918552
-0.7051842,0.93102264,0.6866923,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442633804987
0.0,0.0,0.0,0.24801129,0.08231409,0.053603426,1.0,0.0,0.0,0.0,gyroscope,245442613846511
0.0,0.0,0.0,0.0,0.0,0.0,0.5666085,-0.5485923,0.41193599,-0.4564099,rotation_vector,245442653763462
0.0,0.0,0.0,0.0,0.0,0.0,0.5639636,-0.5522731,0.41101167,-0.4560799,rotation_vector,245442613846511
-0.6974622,0.5406599,0.5162973,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442613846511
0.0,0.0,0.0,0.0,0.0,0.0,0.565273,-0.5503264,0.4109954,-0.45682627,rotation_vector,245442633804987
0.0,0.0,0.0,0.15149458,0.06688975,0.1386664,1.0,0.0,0.0,0.0,gyroscope,245442633804987
0.0,0.0,0.0,0.11178834,0.04337143,0.27305678,1.0,0.0,0.0,0.0,gyroscope,245442653763462
0.0,0.0,0.0,0.118202426,0.05299256,0.34513888,1.0,0.0,0.0,0.0,gyroscope,245442673706678
-0.5731002,1.3237667,0.7874416,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442653763462
-0.10354327,0.98294353,0.6093899,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442673706678
0.0,0.0,0.0,0.0,0.0,0.0,0.57452565,-0.5390763,0.41661656,-0.45359424,rotation_vector,245442713593113
0.0,0.0,0.0,0.0,0.0,0.0,0.5685742,-0.54641235,0.41348127,-0.45518145,rotation_vector,245442673706678
0.0,0.0,0.0,0.0,0.0,0.0,0.5707567,-0.54365975,0.41525245,-0.4541325,rotation_vector,245442693649897
0.0,0.0,0.0,0.24709499,0.090713486,0.41370848,1.0,0.0,0.0,0.0,gyroscope,245442693649897
0.106903985,0.57639694,0.49284178,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442693649897
0.0,0.0,0.0,0.495259,0.09330966,0.50594914,1.0,0.0,0.0,0.0,gyroscope,245442713593113
0.12630635,0.14848137,0.55403644,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442713593113
0.0,0.0,0.0,0.77091193,0.0346666,0.602924,1.0,0.0,0.0,0.0,gyroscope,245442733536330
0.0,0.0,0.0,1.1206323,-0.07086037,0.7153232,1.0,0.0,0.0,0.0,gyroscope,245442753494806
0.089583844,0.10165596,0.82528174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,245442733536330
