accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.4194241,0.057934552,0.03810409,-0.90513825,rotation_vector,244615316851431
-41.31558,19.655575,-13.504253,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244615316851431
0.0,0.0,0.0,-0.3894266,7.921853,11.77794,1.0,0.0,0.0,0.0,gyroscope,244615336801543
0.0,0.0,0.0,0.0,0.0,0.0,0.5196898,0.1537214,0.07803642,-0.8367811,rotation_vector,244615336801543
-115.897156,-15.850898,-22.751263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244615336801543
-39.622936,-74.52132,-21.981169,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244615356744025
0.0,0.0,0.0,5.611561,-6.365063,-0.70814556,1.0,0.0,0.0,0.0,gyroscope,244615376686508
0.0,0.0,0.0,5.7009,4.519334,-6.1172047,1.0,0.0,0.0,0.0,gyroscope,244615396628990
47.019146,-27.916676,-10.592365,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244615376686508
0.0,0.0,0.0,0.40775254,-0.63407815,-1.4059063,1.0,0.0,0.0,0.0,gyroscope,244615436536845
0.0,0.0,0.0,0.0,0.0,0.0,0.55027753,0.10023431,-0.099703625,-0.8229258,rotation_vector,244615416579104
0.0,0.0,0.0,0.0,0.0,0.0,0.5339872,0.09687612,-0.10573871,-0.8332418,rotation_vector,244615436536845
0.58953536,6.053379,0.46355438,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244615436536845
-15.64751,17.418917,-10.131638,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244615416579104
0.0,0.0,0.0,0.5027421,-0.8810204,2.202322,1.0,0.0,0.0,0.0,gyroscope,244615416579104
6.5286484,-1.1727443,0.99135685,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244615456486957
0.0,0.0,0.0,1.8272507,0.8144361,0.094989546,1.0,0.0,0.0,0.0,gyroscope,244615476429438
-3.0178263,3.7421966,1.4580107,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244615496349035
0.0,0.0,0.0,0.0,0.0,0.0,0.48225203,0.057477575,-0.08385719,-0.87011343,rotation_vector,244615596114851
0.0,0.0,0.0,0.21487185,-0.6488916,-0.16707164,1.0,0.0,0.0,0.0,gyroscope,244615516245743
0.0,0.0,0.0,0.0,0.0,0.0,0.52996325,0.12691447,-0.1413813,-0.82646424,rotation_vector,244615496349035
0.0,0.0,0.0,0.0,0.0,0.0,0.5278924,0.12187819,-0.14664245,-0.82763,rotation_vector,244615516245743
0.0,0.0,0.0,-1.5764905,-0.75243324,-0.97524637,1.0,0.0,0.0,0.0,gyroscope,244615556199371
-0.7783088,1.8842995,-0.03297043,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244615536195856
0.0,0.0,0.0,0.0,0.0,0.0,0.51519877,0.097875565,-0.12866582,-0.8416863,rotation_vector,244615556199371
-1.5197456,0.4399016,-2.2264757,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,244615556199371
0.0,0.0,0.0,-3.5315647,-0.9104946,-2.242639,1.0,0.0,0.0,0.0,gyroscope,244615596114851
