accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
,,,,,,0.7842812,0.08375362,0.09046383,-0.60803354,rotation_vector,0.08974099159240723
-0.39575553,-0.13687365,-1.5571041,,,,,,,,linear_acceleration,0.0897531509399414
-0.5805998,-0.09187107,-1.4637241,,,,,,,,linear_acceleration,0.08976316452026367
,,,0.9427178,-0.732122,-0.5112942,,,,,gyroscope,0.08976912498474121
,,,,,,0.7819338,0.08405587,0.08075176,-0.61236703,rotation_vector,0.08977413177490234
,,,0.6953174,-0.75976366,-0.4082107,,,,,gyroscope,0.08977913856506348
,,,0.4978552,-0.713796,-0.29856038,,,,,gyroscope,0.08978414535522461
-0.21871686,-0.24945335,-1.5427303,,,,,,,,linear_acceleration,0.08978915214538574
-0.15631568,-0.08334705,-1.4448605,,,,,,,,linear_acceleration,0.08979296684265137
,,,,,,0.7782632,0.082713045,0.063521385,-0.6192172,rotation_vector,0.0897982120513916
,,,0.5627596,-0.7510588,-0.3408628,,,,,gyroscope,0.08980226516723633
,,,,,,0.78001106,0.083448485,0.07183303,-0.61600244,rotation_vector,0.08980607986450195
,,,0.40317106,-0.68294734,-0.2565634,,,,,gyroscope,0.08981132507324219
,,,,,,0.77554667,0.07943328,0.049493194,-0.6243141,rotation_vector,0.08981513977050781
,,,,,,0.7767753,0.081473365,0.055989783,-0.62197053,rotation_vector,0.08982014656066895
,,,0.27840182,-0.64919704,-0.22052236,,,,,gyroscope,0.08982396125793457
-0.073816895,0.024227142,-1.3434553,,,,,,,,linear_acceleration,0.0898280143737793
-0.16838706,-0.009498894,-1.3646622,,,,,,,,linear_acceleration,0.08983230590820312
,,,0.19211712,-0.61407226,-0.19608775,,,,,gyroscope,0.08983612060546875
,,,0.15241088,-0.5656612,-0.19624045,,,,,gyroscope,0.08984017372131348
,,,,,,0.7744918,0.07695545,0.043769464,-0.62635815,rotation_vector,0.08984494209289551
0.03396964,0.0019386411,-1.2473316,,,,,,,,linear_acceleration,0.08984899520874023
,,,,,,0.7733871,0.074500345,0.038649537,-0.6283538,rotation_vector,0.08985328674316406
0.09377205,0.06627643,-1.2369528,,,,,,,,linear_acceleration,0.08985710144042969
,,,,,,0.77231246,0.07224333,0.034206063,-0.63019395,rotation_vector,0.08986210823059082
,,,,,,0.7714311,0.0693719,0.031046553,-0.6317576,rotation_vector,0.08986616134643555
,,,-0.011911872,-0.4392121,-0.16355917,,,,,gyroscope,0.08987021446228027
0.08935475,0.47196704,-1.5217867,,,,,,,,linear_acceleration,0.089874267578125
-0.0065870285,0.32004374,-1.4258938,,,,,,,,linear_acceleration,0.08987808227539062
,,,0.11682798,-0.5002986,-0.18646662,,,,,gyroscope,0.08988523483276367
,,,-0.3184135,-0.29825497,-0.117438845,,,,,gyroscope,0.0898890495300293
0.030014753,0.5387848,-1.6210537,,,,,,,,linear_acceleration,0.08989310264587402
,,,,,,0.77038366,0.061156422,0.029372746,-0.6339607,rotation_vector,0.08989715576171875
-0.048235416,0.5162071,-1.7537642,,,,,,,,linear_acceleration,0.08990311622619629
,,,,,,0.77080184,0.06554442,0.029483639,-0.63300806,rotation_vector,0.08990716934204102
,,,-0.18005253,-0.37583485,-0.14080444,,,,,gyroscope,0.08991098403930664
,,,-0.41783184,-0.13454308,-0.06078109,,,,,gyroscope,0.08991503715515137
,,,,,,0.77011305,0.056686208,0.030384053,-0.6346571,rotation_vector,0.0899193286895752
-0.23940158,0.48184353,-1.708435,,,,,,,,linear_acceleration,0.08992314338684082
,,,,,,0.7700018,0.05264508,0.0320974,-0.63505554,rotation_vector,0.08992815017700195
,,,-0.399964,-0.21838433,-0.094225965,,,,,gyroscope,0.08993196487426758
-0.39042985,0.48877564,-1.7526569,,,,,,,,linear_acceleration,0.08993721008300781
-0.508042,0.4771366,-1.766674,,,,,,,,linear_acceleration,0.08994126319885254
,,,,,,0.7703908,0.046168692,0.037564635,-0.6347876,rotation_vector,0.08994507789611816
,,,,,,0.77019984,0.04905479,0.034499206,-0.634977,rotation_vector,0.08994913101196289
-0.23822415,0.60203826,-1.9463367,,,,,,,,linear_acceleration,0.08995413780212402
,,,-0.42271876,0.04337143,-0.00015271631,,,,,gyroscope,0.08995819091796875
,,,-0.43371433,-0.053145275,-0.011911872,,,,,gyroscope,0.08996224403381348
,,,-0.47158796,0.16554448,0.053450707,,,,,gyroscope,0.08996701240539551
,,,-0.5626069,0.3222314,0.035888333,,,,,gyroscope,0.08997130393981934
,,,,,,0.7709521,0.043726683,0.04181289,-0.634013,rotation_vector,0.08997511863708496
-0.44066417,0.5786858,-2.0369353,,,,,,,,linear_acceleration,0.0899813175201416
-0.1666863,0.63899994,-1.6146536,,,,,,,,linear_acceleration,0.08998513221740723
,,,,,,0.7712762,0.041506488,0.04795835,-0.6333327,rotation_vector,0.08999013900756836
,,,,,,0.77174133,0.040270872,0.05467591,-0.63230073,rotation_vector,0.08999490737915039
-0.3486035,0.47362286,-1.150115,,,,,,,,linear_acceleration,0.08999919891357422
-0.17755651,0.2623543,-0.7986784,,,,,,,,linear_acceleration,0.09000325202941895
,,,-0.37216964,0.5707009,0.07941248,,,,,gyroscope,0.09000706672668457
,,,,,,0.77209246,0.04114645,0.061379097,-0.63119954,rotation_vector,0.0900111198425293
,,,-0.52274793,0.43218717,0.07651087,,,,,gyroscope,0.09001517295837402
,,,,,,0.7717763,0.04843913,0.0747325,-0.62962705,rotation_vector,0.09001898765563965
0.2510171,0.3572309,-0.4670353,,,,,,,,linear_acceleration,0.09002327919006348
0.33490396,0.61069816,0.114910126,,,,,,,,linear_acceleration,0.0900270938873291
,,,,,,0.7720707,0.04418187,0.06811663,-0.6303292,rotation_vector,0.09003114700317383
,,,-0.112704635,0.783282,0.035277467,,,,,gyroscope,0.09003520011901855
,,,-0.21120666,0.70539665,0.05971208,,,,,gyroscope,0.09003996849060059
,,,-0.07345655,0.80970186,-0.00030543262,,,,,gyroscope,0.09004426002502441
0.43435705,0.7255718,0.58403206,,,,,,,,linear_acceleration,0.09004807472229004
0.7808056,0.6966458,1.0767679,,,,,,,,linear_acceleration,0.09005212783813477
,,,,,,0.7712993,0.053057443,0.081249245,-0.62903184,rotation_vector,0.09005618095397949
,,,,,,0.7706341,0.057581764,0.087932386,-0.6285501,rotation_vector,0.09005999565124512
,,,-0.065515295,0.799928,0.019394971,,,,,gyroscope,0.09006404876708984
,,,0.026267206,0.7079928,-0.025961773,,,,,gyroscope,0.09006834030151367
0.8654368,0.49376738,1.5297117,,,,,,,,linear_acceleration,0.0900721549987793
0.7349758,0.67215335,1.5532703,,,,,,,,linear_acceleration,0.09007620811462402
,,,,,,0.76992637,0.062039074,0.09400724,-0.62811416,rotation_vector,0.09008002281188965
,,,,,,0.76904505,0.06667252,0.09917202,-0.62792474,rotation_vector,0.09008407592773438
,,,-0.03863723,0.7657196,-0.007788532,,,,,gyroscope,0.09008932113647461
,,,,,,0.76836115,0.07047847,0.10389668,-0.6275822,rotation_vector,0.09009313583374023
,,,,,,0.7678216,0.07269397,0.1084505,-0.6272193,rotation_vector,0.09009718894958496
0.49029326,0.6408843,1.2363358,,,,,,,,linear_acceleration,0.09010100364685059
,,,-0.106901415,0.50778174,-0.016187929,,,,,gyroscope,0.09121823310852051
0.6904156,0.9081462,1.2214804,,,,,,,,linear_acceleration,0.09123516082763672
,,,-0.013744468,0.6215554,-0.012370021,,,,,gyroscope,0.0912480354309082
,,,,,,0.7673234,0.074749924,0.111836284,-0.6269929,rotation_vector,0.09125304222106934
0.2500956,0.5391405,0.87858486,,,,,,,,linear_acceleration,0.09125804901123047
,,,,,,0.7668174,0.076653905,0.11416669,-0.626962,rotation_vector,0.0912632942199707
0.31964135,0.41086033,1.1764908,,,,,,,,linear_acceleration,0.09126710891723633
,,,-0.0070249503,0.3098614,-0.02565634,,,,,gyroscope,0.09127211570739746
,,,-0.05207626,0.409127,-0.016035212,,,,,gyroscope,0.09127593040466309
,,,,,,0.76648825,0.077411614,0.115990825,-0.62693644,rotation_vector,0.09128022193908691
0.01453042,0.47957197,0.44445992,,,,,,,,linear_acceleration,0.09128427505493164
,,,,,,0.76698726,0.07675797,0.11851251,-0.6259341,rotation_vector,0.09128904342651367
-0.41534972,0.49357176,-0.053305626,,,,,,,,linear_acceleration,0.0912930965423584
,,,-0.23044892,0.15592335,0.076358154,,,,,gyroscope,0.09129714965820312
,,,-0.056352317,0.2012801,-0.02275473,,,,,gyroscope,0.09130215644836426
,,,,,,0.7703352,0.06641863,0.12904127,-0.6209031,rotation_vector,0.09130620956420898
-0.63215613,0.38747424,-0.4376278,,,,,,,,linear_acceleration,0.09131002426147461
-0.8035953,-0.14312392,-1.0056858,,,,,,,,linear_acceleration,0.09131526947021484
,,,-0.9045387,0.045814894,0.20815234,,,,,gyroscope,0.09131908416748047
,,,,,,0.7684437,0.073073104,0.12303609,-0.6237121,rotation_vector,0.0913231372833252
,,,-0.59330285,0.104610674,0.16982053,,,,,gyroscope,0.09132719039916992
,,,-1.0401508,0.032986723,0.21700987,,,,,gyroscope,0.09133100509643555
,,,,,,0.77232826,0.058774404,0.13573036,-0.6177638,rotation_vector,0.09133529663085938
,,,-0.9961685,0.040317107,0.23671028,,,,,gyroscope,0.0913400650024414
-0.6846764,-0.3605079,-1.4238892,,,,,,,,linear_acceleration,0.09134411811828613
-0.50276685,-0.19354707,-1.7274294,,,,,,,,linear_acceleration,0.09134817123413086
,,,,,,0.77429926,0.0516009,0.14209338,-0.6144977,rotation_vector,0.09135198593139648
,,,-0.9254609,0.14401148,0.23075435,,,,,gyroscope,0.09135627746582031
,,,,,,0.77593297,0.045805883,0.14875646,-0.61131126,rotation_vector,0.09138607978820801
-0.40843678,0.33869857,-2.1190763,,,,,,,,linear_acceleration,0.09139132499694824
,,,,,,0.77739954,0.040175278,0.15697192,-0.6077793,rotation_vector,0.09139513969421387
-0.48830438,0.9449613,-2.5941806,,,,,,,,linear_acceleration,0.09140133857727051
,,,-1.0128145,0.27198774,0.24007004,,,,,gyroscope,0.09140515327453613
,,,-1.3011429,0.39721513,0.31978795,,,,,gyroscope,0.09140920639038086
,,,,,,0.77916574,0.033113,0.16794617,-0.60299116,rotation_vector,0.09141325950622559
-0.56677055,1.3710046,-2.9976058,,,,,,,,linear_acceleration,0.09141802787780762
,,,,,,0.78156924,0.022794269,0.18246041,-0.59610236,rotation_vector,0.09142231941223145
,,,-1.7901406,0.47112983,0.4474588,,,,,gyroscope,0.09142613410949707
-0.76511097,1.3920203,-3.040184,,,,,,,,linear_acceleration,0.0914301872253418
,,,-2.2883012,0.49831334,0.5936083,,,,,gyroscope,0.09143424034118652
,,,-2.48332,0.5477934,0.7473936,,,,,gyroscope,0.09143805503845215
,,,,,,0.7845518,0.008774998,0.20011652,-0.5868175,rotation_vector,0.09144210815429688
-0.9538462,0.9706665,-2.7634497,,,,,,,,linear_acceleration,0.0914459228515625
-0.89104533,0.5613768,-2.3599958,,,,,,,,linear_acceleration,0.09145021438598633
,,,,,,0.78783244,-0.0061906814,0.21910006,-0.5755667,rotation_vector,0.09145522117614746
,,,-2.2768476,0.61315596,1.1004738,,,,,gyroscope,0.09145808219909668
,,,,,,0.7914326,-0.019150674,0.23780985,-0.5627737,rotation_vector,0.0914621353149414
,,,-2.3779457,0.6267477,0.9288206,,,,,gyroscope,0.09146618843078613
-0.9150777,0.53727174,-1.6659813,,,,,,,,linear_acceleration,0.09147119522094727
