accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.073310375,-0.017092705,0.10188544,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3448408787325
-0.103257656,0.3160925,0.092404604,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3448448696278
0.0,0.0,0.0,0.0,0.0,0.0,0.15584713,0.198481,0.7059412,-0.6617885,rotation_vector,3448468685085
-0.17280293,0.84595585,0.34480762,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3448468685085
0.0,0.0,0.0,0.024892759,-0.022143865,0.080634214,1.0,0.0,0.0,0.0,gyroscope,3448448696278
-0.15790081,1.8828187,0.638373,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3448488658638
0.0,0.0,0.0,0.0,0.0,0.0,0.16345009,0.20021163,0.7047416,-0.66071075,rotation_vector,3448508616929
-0.13342571,3.4141932,1.0005283,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3448508616929
0.0,0.0,0.0,-0.043066,-0.19990565,0.28710666,1.0,0.0,0.0,0.0,gyroscope,3448488658638
0.0,0.0,0.0,0.0,0.0,0.0,0.17194578,0.20295542,0.704025,-0.6584776,rotation_vector,3448528537074
0.016738892,4.8512034,1.5681124,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3448528537074
0.0,0.0,0.0,0.0,0.0,0.0,0.18429604,0.20852771,0.7005577,-0.6570922,rotation_vector,3448548419072
0.25518847,5.079118,1.7304693,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3448548419072
0.0,0.0,0.0,-0.18219055,-0.45173484,0.95096445,1.0,0.0,0.0,0.0,gyroscope,3448528537074
0.0,0.0,0.0,0.0,0.0,0.0,0.1990688,0.21857144,0.6930038,-0.6575286,rotation_vector,3448568362105
0.0,0.0,0.0,0.0,0.0,0.0,0.21530423,0.23290026,0.68263507,-0.6583395,rotation_vector,3448588366172
0.0,0.0,0.0,0.68844515,-0.35353827,2.4269676,1.0,0.0,0.0,0.0,gyroscope,3448588366172
0.0,0.0,0.0,0.5369505,-0.46944994,1.951409,1.0,0.0,0.0,0.0,gyroscope,3448568362105
-1.8078051,4.2976565,-0.84534687,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3448608339722
-3.223699,4.438189,-2.501731,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3448628282754
0.0,0.0,0.0,0.0,0.0,0.0,0.27443454,0.30079964,0.6439761,-0.6476882,rotation_vector,3448648233417
0.0,0.0,0.0,0.0,0.0,0.0,0.30523884,0.31608275,0.64122754,-0.62908524,rotation_vector,3448668191709
0.0,0.0,0.0,-2.1068742,-0.61559945,3.4584136,1.0,0.0,0.0,0.0,gyroscope,3448668191709
0.0,0.0,0.0,-2.3952026,-0.4802928,3.194978,1.0,0.0,0.0,0.0,gyroscope,3448708085402
0.0,0.0,0.0,0.0,0.0,0.0,0.33370525,0.33133408,0.64192754,-0.60563004,rotation_vector,3448688142370
-3.6267662,1.6569166,-3.7309775,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3448688142370
0.0,0.0,0.0,0.0,0.0,0.0,0.23142359,0.25400195,0.6695564,-0.6584985,rotation_vector,3448608339722
0.0,0.0,0.0,-0.817185,0.00870483,2.9996538,1.0,0.0,0.0,0.0,gyroscope,3448747971468
0.0,0.0,0.0,-1.4534011,-0.22815818,3.091131,1.0,0.0,0.0,0.0,gyroscope,3448728028436
-0.07368088,-4.714263,0.46052432,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,3448847717150
0.0,0.0,0.0,0.3669773,-0.3182608,3.3125696,1.0,0.0,0.0,0.0,gyroscope,3448628282754
0.0,0.0,0.0,0.27320948,0.6084218,1.5968018,1.0,0.0,0.0,0.0,gyroscope,3448847717150
0.0,0.0,0.0,0.70295316,-0.31871894,2.9310842,1.0,0.0,0.0,0.0,gyroscope,3448608339722
