accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
-6.710759,-6.780603,0.6362742,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264098839487787
0.0,0.0,0.0,0.0,0.0,0.0,0.6291771,-0.12073447,0.765575,0.058774646,rotation_vector,264098859446217
-17.961468,-11.501587,-6.5557184,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264098899332556
0.0,0.0,0.0,1.3804027,1.5242615,-0.9082039,1.0,0.0,0.0,0.0,gyroscope,264098829508573
0.0,0.0,0.0,0.0,0.0,0.0,0.64584744,-0.1397299,0.7436161,0.10194041,rotation_vector,264098819529359
0.0,0.0,0.0,0.0,0.0,0.0,0.6370396,-0.13927528,0.75351036,0.08369656,rotation_vector,264098839487787
0.0,0.0,0.0,2.7577512,1.4737124,-0.06078109,1.0,0.0,0.0,0.0,gyroscope,264098849467001
0.0,0.0,0.0,5.403714,-0.29703322,0.7837401,1.0,0.0,0.0,0.0,gyroscope,264098889360969
-14.256356,-9.332393,-0.23509777,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264098859446217
-16.847084,-9.897405,-3.7695272,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264098879389385
0.0,0.0,0.0,5.7354136,-1.474476,-0.4007276,1.0,0.0,0.0,0.0,gyroscope,264098929224421
0.0,0.0,0.0,5.549558,-0.8518516,0.48792863,1.0,0.0,0.0,0.0,gyroscope,264098909296511
0.0,0.0,0.0,0.0,0.0,0.0,0.6380366,-0.044512823,0.7686347,-0.011350412,rotation_vector,264098899332556
-19.923874,-12.143013,-6.4345474,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264098919260466
0.0,0.0,0.0,0.0,0.0,0.0,0.66418636,0.048348755,0.72941566,-0.15643445,rotation_vector,264098959162064
0.0,0.0,0.0,0.0,0.0,0.0,0.6460722,-0.005327303,0.7615726,-0.05069131,rotation_vector,264098919260466
-20.798296,-1.529269,-6.155103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264098999078921
0.0,0.0,0.0,0.0,0.0,0.0,0.6752173,0.03257323,0.6797902,-0.28443983,rotation_vector,264098999078921
0.0,0.0,0.0,5.5356607,-1.7799087,-2.2153027,1.0,0.0,0.0,0.0,gyroscope,264098949175221
0.0,0.0,0.0,4.5846963,-2.3539693,-4.0436225,1.0,0.0,0.0,0.0,gyroscope,264098969148907
0.0,0.0,0.0,0.0,0.0,0.0,0.65636724,0.030501233,0.7472619,-0.099254824,rotation_vector,264098939188378
-22.680681,-4.641772,-6.9080787,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264098959162064
-20.850662,-9.07267,-6.0674877,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264098939188378
0.0,0.0,0.0,4.5691195,-2.6357307,-4.947703,1.0,0.0,0.0,0.0,gyroscope,264098989107337
0.0,0.0,0.0,5.162422,-2.7802005,-4.9739704,1.0,0.0,0.0,0.0,gyroscope,264099009050505
0.0,0.0,0.0,0.0,0.0,0.0,0.6711773,0.04399652,0.7070775,-0.21823578,rotation_vector,264098979135752
-23.38462,-1.2635646,-6.507458,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264098979135752
0.0,0.0,0.0,5.3533177,-2.8861856,-4.5808783,1.0,0.0,0.0,0.0,gyroscope,264099029001307
-16.258827,-2.5711813,-5.901386,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264099019022092
0.0,0.0,0.0,4.9028044,-3.0208814,-3.9090793,1.0,0.0,0.0,0.0,gyroscope,264099048959735
-6.2623167,-0.22391653,-5.7408996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264099058938949
0.0,0.0,0.0,4.2930083,-3.8038578,-3.4886515,1.0,0.0,0.0,0.0,gyroscope,264099068910533
0.0,0.0,0.0,0.0,0.0,0.0,0.67631996,0.011792049,0.51963,-0.52195495,rotation_vector,264099078882118
0.0,0.0,0.0,3.591735,-4.9834385,-3.4620788,1.0,0.0,0.0,0.0,gyroscope,264099088853702
0.0,0.0,0.0,0.0,0.0,0.0,0.6822047,-0.007754014,0.46704808,-0.5624967,rotation_vector,264099098825288
0.0,0.0,0.0,0.0,0.0,0.0,0.68496746,-0.03836388,0.42310864,-0.59188414,rotation_vector,264099118768457
3.0710611,9.102566,-11.6466465,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264099158670057
0.0,0.0,0.0,0.0,0.0,0.0,0.67874837,-0.08251822,0.38205698,-0.6217104,rotation_vector,264099138711628
0.0,0.0,0.0,0.75823647,-5.045594,-4.3994517,1.0,0.0,0.0,0.0,gyroscope,264099128740041
0.0,0.0,0.0,2.0244074,-5.647144,-3.9139664,1.0,0.0,0.0,0.0,gyroscope,264099108796872
2.4063444,9.874297,-13.638507,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264099118768457
0.0,0.0,0.0,1.1021537,-2.725528,-4.7196975,1.0,0.0,0.0,0.0,gyroscope,264099168649271
0.0,0.0,0.0,0.4279111,-3.588375,-4.7994156,1.0,0.0,0.0,0.0,gyroscope,264099148690842
4.4269567,10.705943,-13.567148,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264099138711628
0.0,0.0,0.0,0.0,0.0,0.0,0.63975525,-0.1459425,0.321331,-0.6827594,rotation_vector,264099178628485
0.0,0.0,0.0,0.0,0.0,0.0,0.62645674,-0.16507894,0.28218824,-0.707581,rotation_vector,264099198525878
-0.1933896,13.820794,-12.258562,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264099218423272
0.0,0.0,0.0,0.0,0.0,0.0,0.6612811,-0.12016356,0.3517898,-0.6515459,rotation_vector,264099158670057
0.3084311,11.000927,-11.715925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264099238427476
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,step_detector,264098410503643
-3.210807,7.6538477,-11.738934,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264099358117013
0.0,0.0,0.0,1.7343992,-3.7490327,-3.2030718,1.0,0.0,0.0,0.0,gyroscope,264099208474574
0.0,0.0,0.0,1.9486601,-3.1111367,-3.784463,1.0,0.0,0.0,0.0,gyroscope,264099188577181
-0.7176094,9.527804,-11.049019,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264099178628485
0.0,0.0,0.0,1.2322679,-1.6829338,-1.7160732,1.0,0.0,0.0,0.0,gyroscope,264099248429579
0.0,0.0,0.0,0.0,0.0,0.0,0.60646003,-0.20978004,0.20611054,-0.7387267,rotation_vector,264099238427476
0.0,0.0,0.0,1.1957687,-3.0526464,-2.807842,1.0,0.0,0.0,0.0,gyroscope,264099228425374
0.0,0.0,0.0,0.0,0.0,0.0,0.61793214,-0.18774043,0.23910974,-0.7250793,rotation_vector,264099218423272
-16.50447,-7.242815,-2.9524245,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264099497719202
0.0,0.0,0.0,-10.72939,1.9173533,6.3713245,1.0,0.0,0.0,0.0,gyroscope,264099607460040
0.0,0.0,0.0,-7.2262306,1.0326678,7.14468,1.0,0.0,0.0,0.0,gyroscope,264099647415045
0.0,0.0,0.0,4.034307,0.58169645,6.049551,1.0,0.0,0.0,0.0,gyroscope,264099687331900
0.0,0.0,0.0,0.0,0.0,0.0,0.60371727,-0.013756852,0.76721424,0.21614455,rotation_vector,264099856909880
0.0,0.0,0.0,0.0,0.0,0.0,0.64975625,-0.14150693,0.72788787,0.16724773,rotation_vector,264099876853049
0.0,0.0,0.0,-2.1781929,-0.8762862,-0.6747007,1.0,0.0,0.0,0.0,gyroscope,264099926733862
3.0837421,-9.884119,-1.0647464,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264099916754648
0.0,0.0,0.0,1.4286611,-1.2904528,-0.8912524,1.0,0.0,0.0,0.0,gyroscope,264099268403266
0.0,0.0,0.0,1.2562444,-1.4837917,-0.41493022,1.0,0.0,0.0,0.0,gyroscope,264099288346434
0.0,0.0,0.0,0.0,0.0,0.0,0.599824,-0.21721521,0.18410297,-0.7477532,rotation_vector,264099258431682
-1.502286,9.260218,-11.80872,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,264099258431682
0.0,0.0,0.0,0.5013676,-0.73838335,0.061850104,1.0,0.0,0.0,0.0,gyroscope,264099328164111
