accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
-0.6862371,-0.5714655,0.69589996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941611236750
0.0,0.0,0.0,0.0,0.0,0.0,0.76050276,-0.3543679,-0.36946633,0.39944163,rotation_vector,6941631134069
0.0,0.0,0.0,0.07971791,-0.019700404,-0.013133603,1.0,0.0,0.0,0.0,gyroscope,6941621185410
0.0,0.0,0.0,0.0,0.0,0.0,0.76189846,-0.35149205,-0.36817595,0.40051287,rotation_vector,6941651031390
-0.60881686,-0.07821083,0.46229935,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941651031390
-0.60554504,0.081196785,0.47529888,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941671020259
0.0,0.0,0.0,0.1255328,-0.022449298,-0.05009095,1.0,0.0,0.0,0.0,gyroscope,6941681014694
0.0,0.0,0.0,0.31337386,-0.009315695,-0.040927973,1.0,0.0,0.0,0.0,gyroscope,6941661025824
0.0,0.0,0.0,-0.5083926,-0.09728029,-0.049785517,1.0,0.0,0.0,0.0,gyroscope,6941720946663
0.0,0.0,0.0,-0.15592335,-0.058337633,-0.04810564,1.0,0.0,0.0,0.0,gyroscope,6941700988309
-0.65641236,0.13495874,0.6676011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941691009132
-0.5052602,0.22580433,0.6851597,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941710967486
0.0,0.0,0.0,0.0,0.0,0.0,0.76161176,-0.3512445,-0.37011626,0.3994856,rotation_vector,6941710967486
0.0,0.0,0.0,0.0,0.0,0.0,0.7629173,-0.34920618,-0.36799604,0.4007385,rotation_vector,6941691009132
0.0,0.0,0.0,-0.88438016,-0.11071932,-0.093767814,1.0,0.0,0.0,0.0,gyroscope,6941740897388
0.0,0.0,0.0,-1.1439979,-0.054367006,-0.089949906,1.0,0.0,0.0,0.0,gyroscope,6941760840483
-0.37011576,-0.37673092,0.6742315,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941730925841
0.0,0.0,0.0,0.0,0.0,0.0,0.75518745,-0.36328706,-0.37934902,0.39218462,rotation_vector,6941750868936
0.0,0.0,0.0,0.0,0.0,0.0,0.7505441,-0.37272927,-0.38493282,0.38676,rotation_vector,6941770812032
0.0,0.0,0.0,0.0,0.0,0.0,0.7439923,-0.38545275,-0.39214042,0.37964123,rotation_vector,6941790755126
-0.28915596,1.57658,0.13102245,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941790755126
0.0,0.0,0.0,-1.926669,-0.06154467,-0.059406646,1.0,0.0,0.0,0.0,gyroscope,6941800726673
-0.15717483,0.93448734,0.06581068,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941770812032
0.0,0.0,0.0,-2.025629,-0.12034045,-0.05513059,1.0,0.0,0.0,0.0,gyroscope,6941820677400
0.0,0.0,0.0,0.0,0.0,0.0,0.7356421,-0.40025368,-0.4009539,0.3713001,rotation_vector,6941810698223
0.0,0.0,0.0,0.0,0.0,0.0,0.7277366,-0.41311237,-0.408827,0.36414033,rotation_vector,6941830656577
-0.5170703,-0.18882751,0.79378986,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941830656577
0.0,0.0,0.0,-1.4720325,-0.13194689,-0.01282817,1.0,0.0,0.0,0.0,gyroscope,6941840635754
-0.4468403,0.66896534,0.35151505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941810698223
0.0,0.0,0.0,-0.60139686,-0.11301007,0.035124753,1.0,0.0,0.0,0.0,gyroscope,6941860586478
-0.7064636,-0.2922678,0.7792492,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941850614931
-0.91338086,-0.11481285,0.6750674,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941870558025
0.0,0.0,0.0,0.0,0.0,0.0,0.7229657,-0.42000452,-0.41338846,0.36059228,rotation_vector,6941850614931
0.0,0.0,0.0,0.0,0.0,0.0,0.7217049,-0.4210494,-0.4142896,0.3608652,rotation_vector,6941870558025
0.0,0.0,0.0,-0.018936822,-0.10354166,0.060170226,1.0,0.0,0.0,0.0,gyroscope,6941900480300
0.0,0.0,0.0,-0.20677789,-0.05665775,0.059253927,1.0,0.0,0.0,0.0,gyroscope,6941920438654
0.0,0.0,0.0,0.0,0.0,0.0,0.7214123,-0.42034796,-0.4143741,0.36216843,rotation_vector,6941890501123
-0.7546253,-0.08589172,0.35427475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941890501123
-0.43512082,0.4017887,-0.02649188,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941910459477
0.0,0.0,0.0,-0.47632217,-0.10842858,0.044745877,1.0,0.0,0.0,0.0,gyroscope,6941960263809
0.0,0.0,0.0,0.0,0.0,0.0,0.71859425,-0.42356616,-0.41645572,0.3616335,rotation_vector,6941930417831
0.0,0.0,0.0,-0.4448626,-0.062308256,0.03924809,1.0,0.0,0.0,0.0,gyroscope,6941940366490
-0.35805798,-0.12295437,0.37380433,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941950315149
0.0,0.0,0.0,0.0,0.0,0.0,0.7159431,-0.42706996,-0.41876093,0.36010566,rotation_vector,6941950315149
0.0,0.0,0.0,-0.42577308,-0.16890424,0.010842858,1.0,0.0,0.0,0.0,gyroscope,6941980184017
0.0,0.0,0.0,-0.40958515,-0.1600467,-0.019242255,1.0,0.0,0.0,0.0,gyroscope,6942000127111
0.0,0.0,0.0,0.0,0.0,0.0,0.713335,-0.42990053,-0.4211464,0.35913008,rotation_vector,6941970212470
-0.18491483,-0.65003204,0.585881,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941970212470
-0.19103146,-0.3737545,0.28349853,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6941990155564
0.0,0.0,0.0,0.0,0.0,0.0,0.71086127,-0.43203592,-0.42400932,0.35810247,rotation_vector,6941990155564
0.0,0.0,0.0,-0.45753807,-0.14508049,-0.05299256,1.0,0.0,0.0,0.0,gyroscope,6942040104855
0.0,0.0,0.0,0.0,0.0,0.0,0.70850456,-0.43449843,-0.42665374,0.35664985,rotation_vector,6942010098660
-0.63503504,0.015417099,0.25383234,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6942010098660
0.0,0.0,0.0,-0.46074513,-0.12644911,-0.03268129,1.0,0.0,0.0,0.0,gyroscope,6942020100725
-0.9169078,-0.28994846,0.50597095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6942030102790
0.0,0.0,0.0,0.0,0.0,0.0,0.70391285,-0.43916404,-0.43206802,0.35349536,rotation_vector,6942050106921
0.0,0.0,0.0,-0.07513642,-0.042455133,-0.06093381,1.0,0.0,0.0,0.0,gyroscope,6942080044452
-0.24788475,-0.33042812,0.1464386,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6942070065275
0.0,0.0,0.0,0.11026118,-0.018478673,0.039095376,1.0,0.0,0.0,0.0,gyroscope,6943376727126
0.0,0.0,0.0,0.0,0.0,0.0,0.70322716,-0.4395062,-0.43326622,0.352968,rotation_vector,6942070065275
0.0,0.0,0.0,-0.07192938,-0.0009162979,-0.057268616,1.0,0.0,0.0,0.0,gyroscope,6942099995176
0.0,0.0,0.0,-0.1255328,-0.004886922,-0.049785517,1.0,0.0,0.0,0.0,gyroscope,6942119938270
-0.25682902,0.045220375,0.18668723,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6942090023629
0.0,0.0,0.0,0.0,0.0,0.0,0.70301616,-0.43996644,-0.4342962,0.3515461,rotation_vector,6942109966723
-0.34933448,-0.0055828094,0.47849512,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6942109966723
0.0,0.0,0.0,0.0,0.0,0.0,0.7032484,-0.43947178,-0.43374372,0.3523816,rotation_vector,6942090023629
0.0,0.0,0.0,-0.08124508,0.0,-0.04230242,1.0,0.0,0.0,0.0,gyroscope,6942139881367
0.0,0.0,0.0,0.044593163,0.0067195175,-0.04062254,1.0,0.0,0.0,0.0,gyroscope,6942159824461
0.0,0.0,0.0,0.0,0.0,0.0,0.702589,-0.44063896,-0.43499258,0.35069573,rotation_vector,6942129909820
0.0,0.0,0.0,0.0,0.0,0.0,0.70201296,-0.44106498,-0.43618912,0.34982643,rotation_vector,6944005142933
-0.44726872,-0.07532978,0.6288649,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6942129909820
-0.33020353,-0.015587807,0.35306716,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6944064926774
0.0,0.0,0.0,-0.13881913,-0.018325957,0.0016798794,1.0,0.0,0.0,0.0,gyroscope,6944174698331
-0.4619527,-0.17697716,0.4273454,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6944164719098
0.0,0.0,0.0,0.0,0.0,0.0,0.69809896,-0.44603366,-0.440634,0.3457653,rotation_vector,6944204636028
0.0,0.0,0.0,0.0,0.0,0.0,0.69970274,-0.44372937,-0.44121867,0.34474128,rotation_vector,6944304367316
0.0,0.0,0.0,0.0,0.0,0.0,0.7026736,-0.44060835,-0.43519205,0.35031703,rotation_vector,6942149852914
-0.35042763,-0.033361435,0.19550562,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6944364212193
0.0,0.0,0.0,0.15821409,0.04230242,-0.0125227375,1.0,0.0,0.0,0.0,gyroscope,6944394149890
0.0,0.0,0.0,0.0,0.0,0.0,0.7033577,-0.4397336,-0.4348721,0.35044053,rotation_vector,6942169796011
0.0,0.0,0.0,0.0,0.0,0.0,0.7043919,-0.4383686,-0.4374873,0.34679964,rotation_vector,6944424072327
-0.54814625,0.6325054,0.19888568,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,6944424072327
0.0,0.0,0.0,-0.17287487,0.08017606,0.13423763,1.0,0.0,0.0,0.0,gyroscope,6944473930341
0.0,0.0,0.0,0.0,0.0,0.0,0.70420766,-0.43867198,-0.43440422,0.3506444,rotation_vector,6942189754366
0.0,0.0,0.0,0.13209961,0.013744468,-0.04016439,1.0,0.0,0.0,0.0,gyroscope,6942199733543
