accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
0.0,0.0,0.0,3.223994,1.5063937,0.6178902,1.0,0.0,0.0,0.0,gyroscope,262765810169329
2.1318092,-1.6088717,-0.12229276,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262765800197731
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,step_detector,262765032140437
0.0,0.0,0.0,3.4289393,1.1540772,1.0824533,1.0,0.0,0.0,0.0,gyroscope,262765909915842
0.0,0.0,0.0,0.50869805,0.7360926,-0.74372846,1.0,0.0,0.0,0.0,gyroscope,262765690410955
0.0,0.0,0.0,1.1540772,1.1204796,-0.56398135,1.0,0.0,0.0,0.0,gyroscope,262765730343128
0.0,0.0,0.0,0.0,0.0,0.0,0.44565985,-0.6715531,0.23060611,0.5451831,rotation_vector,262765700359667
1.5856171,-0.7624302,-0.26975566,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262765720348641
1.2998719,-1.1923919,-0.15942466,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262765700359667
0.0,0.0,0.0,0.0,0.0,0.0,0.4533421,-0.6742082,0.23547444,0.533363,rotation_vector,262765720348641
0.0,0.0,0.0,1.9737056,1.1769847,-0.0027488936,1.0,0.0,0.0,0.0,gyroscope,262765770275303
0.0,0.0,0.0,0.0,0.0,0.0,0.46998516,-0.67626756,0.25336844,0.5075239,rotation_vector,262765760296075
1.81289,-0.76294875,-0.5039834,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262765760296075
1.5836306,-0.21306348,-0.5986079,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262765740337617
0.0,0.0,0.0,1.4057536,1.1293371,-0.3397938,1.0,0.0,0.0,0.0,gyroscope,262765750316846
2.1300354,-1.5358231,-0.10503504,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262765780254533
0.0,0.0,0.0,2.722779,1.3435981,0.35918877,1.0,0.0,0.0,0.0,gyroscope,262765790226132
0.0,0.0,0.0,0.0,0.0,0.0,0.49320754,-0.66465837,0.29153463,0.47956568,rotation_vector,262765800197731
0.0,0.0,0.0,3.445891,1.549307,0.8304713,1.0,0.0,0.0,0.0,gyroscope,262765830120159
0.0,0.0,0.0,0.0,0.0,0.0,0.6158358,-0.4714203,0.5594296,0.29248545,rotation_vector,262766019542401
0.0,0.0,0.0,0.0,0.0,0.0,0.62610275,-0.45113224,0.57452923,0.2727475,rotation_vector,262766039546634
0.8696909,-2.9558558,-1.1173189,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262766039546634
0.0,0.0,0.0,0.0,0.0,0.0,0.6348889,-0.43179065,0.5879924,0.25443652,rotation_vector,262766059550869
0.0,0.0,0.0,0.0,0.0,0.0,0.6434078,-0.41089556,0.6013066,0.23584245,rotation_vector,262766079448290
0.0,0.0,0.0,3.1453452,0.6064365,0.43142357,1.0,0.0,0.0,0.0,gyroscope,262766069499579
0.0,0.0,0.0,2.919325,0.5279403,0.42577308,1.0,0.0,0.0,0.0,gyroscope,262766109332570
0.0,0.0,0.0,2.813798,0.5131268,0.43157628,1.0,0.0,0.0,0.0,gyroscope,262766129306286
0.034030914,-2.2255247,-1.3585095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262766119319428
1.4553695,-1.101659,-0.3720255,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262765820140930
0.0,0.0,0.0,0.0,0.0,0.0,0.5071674,-0.6535742,0.3186635,0.4626831,rotation_vector,262765820140930
0.0,0.0,0.0,3.430161,1.5241088,0.9923506,1.0,0.0,0.0,0.0,gyroscope,262765850078616
0.0,0.0,0.0,0.0,0.0,0.0,0.5205864,-0.6400132,0.3478565,0.4453862,rotation_vector,262765840099388
0.5739403,-0.61487055,-0.21949041,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262765840099388
0.0,0.0,0.0,0.0,0.0,0.0,0.54161793,-0.61009157,0.4043901,0.41340888,rotation_vector,262765880001042
-0.62410545,-0.5599842,0.38719136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262765880001042
0.0,0.0,0.0,3.8121045,1.1508701,1.0048733,1.0,0.0,0.0,0.0,gyroscope,262765929859039
0.0,0.0,0.0,0.0,0.0,0.0,0.550084,-0.594509,0.42940205,0.39947528,rotation_vector,262765899944243
-0.8236475,-2.1047785,0.6624146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262765899944243
0.0,0.0,0.0,0.0,0.0,0.0,0.56089115,-0.5751516,0.45543736,0.38363847,rotation_vector,262765919887440
-0.2758913,-2.922315,0.5881003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262765919887440
0.0,0.0,0.0,3.5214853,0.9628763,0.70096785,1.0,0.0,0.0,0.0,gyroscope,262765969768327
0.16833878,-2.7691956,0.18999302,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262765939830641
0.0,0.0,0.0,3.7861428,1.1157454,0.8509353,1.0,0.0,0.0,0.0,gyroscope,262765949809870
0.0,0.0,0.0,0.0,0.0,0.0,0.6630905,-0.35229647,0.63361174,0.1863715,rotation_vector,262766139293146
0.5151558,-1.7245033,-1.2329018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262766179240578
0.0,0.0,0.0,0.0,0.0,0.0,0.67036605,-0.31897092,0.6527461,0.15096226,rotation_vector,262766179240578
1.0002518,-1.5506294,-1.0841682,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262766199183776
0.0,0.0,0.0,2.732553,0.66798115,0.7301367,1.0,0.0,0.0,0.0,gyroscope,262766229106205
0.0,0.0,0.0,0.0,0.0,0.0,0.67826164,-0.25825343,0.67991,0.10482713,rotation_vector,262766239085434
0.5953274,-2.070424,-0.83964384,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262766278987089
0.0,0.0,0.0,0.0,0.0,0.0,0.58484143,-0.5318645,0.50534195,0.34599152,rotation_vector,262765959789098
0.0,0.0,0.0,3.3208163,0.6927212,0.5384777,1.0,0.0,0.0,0.0,gyroscope,262766009593688
-0.080023766,-2.6744978,-0.4948768,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262765979747556
0.0,0.0,0.0,0.0,0.0,0.0,0.5953628,-0.51168114,0.525614,0.3278039,rotation_vector,262765979747556
0.0,0.0,0.0,3.3460143,0.79733187,0.6065892,1.0,0.0,0.0,0.0,gyroscope,262765989696267
0.22282791,-2.9436748,-0.6730623,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262765999644977
0.0,0.0,0.0,0.0,0.0,0.0,0.605917,-0.49113736,0.5438184,0.3096938,rotation_vector,262765999644977
0.0,0.0,0.0,3.295618,0.6458373,0.47800204,1.0,0.0,0.0,0.0,gyroscope,262766029544518
0.0,0.0,0.0,3.240182,0.63423085,0.45158213,1.0,0.0,0.0,0.0,gyroscope,262766049548751
0.63323975,-3.1425927,-0.9052755,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262766019542401
0.0,0.0,0.0,3.0390546,0.5749769,0.42577308,1.0,0.0,0.0,0.0,gyroscope,262766089397001
0.689888,-2.685367,-1.2952042,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262766059550869
0.0,0.0,0.0,0.0,0.0,0.0,0.6761806,-0.19107965,0.7102415,0.042725425,rotation_vector,262766298930288
0.31407642,-2.494561,-1.3566351,0.0,0.0,0.0,1.0,0.0,0.0,0.0,linear_acceleration,262766079448290
0.0,0.0,0.0,0.0,0.0,0.0,0.6577439,-0.3702789,0.6243333,0.20118272,rotation_vector,262766119319428
