timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z
7537520000000,0.71595025,0.09789181,-1.4752784,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7537560000000,0.0,0.0,0.0,0.30207285,0.19425514,-0.806953,0.24142873,-0.2422974,-0.35300037,0.87085867
7537580000000,-0.09843993,-0.11142063,-0.1787548,0.7414377,0.2125811,-0.8202393,1.0,0.0,0.0,0.0
7537600000000,0.0,0.0,0.0,0.6553057,0.10293079,-0.75594574,0.26026237,-0.23650011,-0.3436663,0.87076104
7537620000000,-0.5799022,1.9159703,-0.19585657,0.11224649,-0.09239337,-0.6356053,0.26732248,-0.23306856,-0.34150535,0.8703976
7537640000000,0.0,0.0,0.0,-0.52931476,-0.25167647,-0.46105054,0.26967916,-0.22974439,-0.34572613,0.8688867
7537660000000,-0.6868677,1.6572833,-0.8142109,-1.0089967,-0.32574388,-0.29840767,1.0,0.0,0.0,0.0
7537680000000,-0.7842419,1.183001,-0.8818002,-1.241889,-0.31520647,-0.14385876,0.26734924,-0.22760409,-0.3664065,0.86166525
7537700000000,-1.163418,0.69137764,-0.5905099,-1.297936,-0.26816985,0.032986723,0.26324543,-0.22932567,-0.3780686,0.8574239
7537720000000,-1.5600677,0.106191635,-0.08338213,-1.3096951,-0.22861631,0.24129178,0.25291005,-0.23449212,-0.3884749,0.8544806
7537740000000,0.0,0.0,0.0,-1.3023647,-0.20433442,0.40317106,0.24603045,-0.23740368,-0.3992667,0.8507025
7537760000000,0.0,0.0,0.0,-1.2585351,-0.23579398,0.48563787,0.23325367,-0.23818314,-0.4108661,0.84855795
7537780000000,0.0,0.0,0.0,-1.1756102,-0.2883284,0.5320636,1.0,0.0,0.0,0.0
7537800000000,0.9013679,-0.5756788,1.3589463,-1.0862712,-0.3211624,0.5329799,0.21100779,-0.24016765,-0.43083233,0.8439069
7537820000000,1.3895557,-0.29711246,1.0359669,-1.0105238,-0.27488935,0.5123632,1.0,0.0,0.0,0.0
7537840000000,1.4855559,-0.13401222,0.7227793,-0.8943067,-0.21700987,0.45081854,0.1965293,-0.23562823,-0.44656616,0.8404965
7537860000000,1.2377667,-0.12129784,0.3441472,0.0,0.0,0.0,0.1973132,-0.22520171,-0.45301864,0.8397176
7537880000000,0.0,0.0,0.0,-0.45341474,-0.051159963,0.24923302,0.19352765,-0.22614121,-0.457374,0.8379835
7537900000000,0.45463967,-0.04467964,-0.27931452,-0.21853705,0.04795292,0.17989981,0.19114965,-0.22774448,-0.459578,0.83688843
7537920000000,0.0,0.0,0.0,0.064599,0.13148874,0.081855945,1.0,0.0,0.0,0.0
7537940000000,-0.26579356,-0.5432148,-0.61871386,0.32452217,0.1797471,0.023823744,0.19134757,-0.23044272,-0.4574562,0.83726716
7537960000000,0.0,0.0,0.0,0.4392121,0.18463401,0.0096211275,1.0,0.0,0.0,0.0
7537980000000,0.0,0.0,0.0,0.36560285,0.13515393,0.029321533,1.0,0.0,0.0,0.0
7538000000000,-0.36025715,0.092030525,-0.31022787,0.0,0.0,0.0,1.0,0.0,0.0,0.0
