timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z
264165600000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
264165840000000,25.709066,-16.44777,-4.6269717,0.0,0.0,0.0,0.7213665,-0.46439055,-0.2570896,0.44483325
264165860000000,24.61597,-2.6071033,-10.441948,-0.8013025,7.2309647,-3.5983016,0.73820907,-0.454289,-0.28228965,0.41107363
264165880000000,-7.9035025,-9.995158,-5.6775208,2.8515189,1.4298828,-0.8549059,0.76755315,-0.4865902,-0.23834857,0.34246483
264165900000000,-24.602203,2.5621395,-0.20191813,1.5502232,-2.4831672,1.8932241,0.7885748,-0.46313182,-0.22511223,0.33612955
264165920000000,-6.482882,6.10676,-5.2379,-2.1413882,-2.787531,1.1355985,0.78047144,-0.44490093,-0.23109712,0.37352577
264165940000000,8.452141,-0.5933075,-5.317549,0.0,0.0,0.0,0.75784564,-0.4536289,-0.2589035,0.3909729
264165960000000,7.4914284,-6.170328,-1.6620626,-3.2667546,2.4306328,-3.0604348,0.7448603,-0.48528427,-0.27765533,0.36412907
264165980000000,0.0,0.0,0.0,-1.4216361,1.539075,-3.0706668,0.7473692,-0.5103166,-0.284235,0.31658602
264166000000000,-5.8828115,-6.5107813,-1.516279,-0.14355333,0.97035944,-3.376863,0.7540539,-0.5157378,-0.293165,0.28190726
264166020000000,-5.534084,-3.95189,-3.125413,0.0,0.0,0.0,0.76555514,-0.50807226,-0.30332687,0.25254828
264166040000000,-6.682915,-1.8653269,-5.0217547,0.0,0.0,0.0,0.77970386,-0.49804524,-0.31456897,0.21227172
264166060000000,-10.448761,-2.445919,-5.204053,-0.19624045,2.4707973,-5.116149,1.0,0.0,0.0,0.0
264166080000000,-13.951151,-4.0758667,-5.315234,1.0656544,2.3603833,-4.7499356,0.8075761,-0.47893685,-0.32750836,0.10572906
264166100000000,-14.964246,-3.6636763,-5.0581594,2.3898575,1.9237673,-4.379751,0.8243679,-0.45655033,-0.32923508,0.059864063
264166120000000,-12.632332,-2.982695,-5.510728,2.9865203,1.632232,-4.12838,0.8433558,-0.42195243,-0.3317856,0.025011798
264166140000000,0.0,0.0,0.0,3.3895385,1.629483,-3.8316522,0.8612128,-0.38330805,-0.33370036,-0.0056141056
264166160000000,-7.8420362,-1.0618548,-4.417808,3.6738963,1.372767,-3.5549302,0.8782739,-0.34009814,-0.33467245,-0.031026622
264166180000000,-6.7305093,0.16550732,-3.5091486,3.79836,0.6910413,-3.0217977,1.0,0.0,0.0,0.0
264166200000000,-4.309945,-0.034944534,-3.1963682,3.8168387,0.3303254,-2.6290114,0.9040595,-0.24946284,-0.3405221,-0.06700366
264166220000000,-1.3497591,1.2895067,-1.9285679,4.1369324,0.41447207,-2.1612413,1.0,0.0,0.0,0.0
264166240000000,0.5464177,3.0022597,-2.7081275,4.2190933,0.6507242,-1.3286319,0.91902107,-0.15964805,-0.35100505,-0.08190348
264166260000000,2.0253348,4.049985,-2.945857,3.945884,0.81077087,-0.39584067,0.9224833,-0.10608105,-0.36155963,-0.083940044
264166280000000,3.9094586,5.7315054,-4.0196123,3.3325753,1.4708108,0.3472769,0.9286221,-0.06623977,-0.3584172,-0.06935619
264166300000000,4.5511193,6.0510516,-5.90159,1.7400496,1.9251418,0.8347474,0.93574876,-0.035582427,-0.34660646,-0.054518726
264166320000000,3.2201586,5.244059,-7.1151595,-0.7160868,2.238821,1.2687671,0.94322425,-0.02098422,-0.32912752,-0.039532997
264166340000000,1.8794203,4.743196,-8.123775,-2.9830077,2.8950431,1.7403551,0.9503492,-0.03194487,-0.30802268,-0.030625546
264166360000000,0.016553879,4.4364185,-6.441535,-3.794084,3.5767686,2.1203132,0.95771635,-0.06606334,-0.27910307,-0.022726523
264166380000000,-2.5457664,3.3858707,-3.5272484,-3.7427714,3.7287214,2.4280367,0.9642212,-0.108539216,-0.2413657,-0.01546854
264166400000000,-3.1860223,2.9233902,-2.8530254,-3.5613444,3.9843686,2.7351491,0.9679611,-0.14947882,-0.2017231,-0.0039111003
264166420000000,-3.070312,1.9937346,-2.7769475,-3.4292448,4.401895,3.066849,0.9691079,-0.18867388,-0.15855509,0.009614023
264166440000000,-4.3689785,0.2340262,-0.78635263,-3.0140092,4.815909,3.4701726,0.9675978,-0.22652394,-0.10830351,0.026682127
264166460000000,-4.1107793,-0.46021605,1.2425299,-2.2188153,5.518404,3.7980547,0.96293384,-0.26018527,-0.054183044,0.04611311
264166480000000,0.0,0.0,0.0,-2.104889,6.0332108,3.8702896,1.0,0.0,0.0,0.0
264166500000000,-3.0412338,-1.6601305,0.5305128,-2.4654522,5.997475,3.620293,0.9443482,-0.30757445,0.075725764,0.088713355
264166520000000,-3.8910713,-4.2681966,0.15956211,-2.4538457,4.9499936,3.303254,0.9262608,-0.33277607,0.14154829,0.1061376
264166540000000,-4.829046,-5.126135,-0.42476177,-2.0216584,4.1792345,3.4147367,0.90568036,-0.35585016,0.1947723,0.12319753
264166560000000,-3.6101742,-3.3744211,-1.2579203,-2.0529654,3.8609738,3.5248451,0.8849428,-0.3717322,0.24116631,0.14328413
264166580000000,-2.2075872,-0.8454728,-2.4000823,-2.7542386,3.7479637,3.5537086,1.0,0.0,0.0,0.0
264166600000000,-2.480454,1.4046516,-2.8757892,-3.7979019,3.7391062,3.8033998,0.8308757,-0.40556544,0.32961106,0.19109872
264166620000000,-3.6078882,0.5769572,-3.3409002,-4.999932,3.639077,4.1471643,0.7939987,-0.43090537,0.36814687,0.21989644
264166640000000,-5.8647556,-1.2385435,-3.0162253,-5.578116,3.3354769,4.6937356,0.7467901,-0.46372926,0.40166715,0.25675538
264166660000000,0.0,0.0,0.0,-4.8102584,2.617863,5.137835,0.6926338,-0.4940637,0.43257564,0.29839197
264166680000000,0.0,0.0,0.0,-2.6836836,1.4566082,5.3036847,1.0,0.0,0.0,0.0
264166700000000,-11.951584,-11.40394,-0.6012975,-0.42424592,0.06078109,4.911204,0.6007255,-0.5083239,0.48597538,0.38021526
264166720000000,-8.239565,-12.69822,-2.9133472,0.39385536,-1.534188,3.4498615,0.58021784,-0.48521402,0.5097942,0.40990797
264166740000000,-1.613491,-9.801979,-4.5989046,-0.11835514,-1.4515685,1.4285084,0.5774085,-0.457489,0.5183636,0.43428397
264166760000000,3.9871335,-7.5535865,-2.3396657,-0.2602286,0.25702155,-0.44150287,0.58456904,-0.45705497,0.50613374,0.43955472
264166780000000,4.229003,-6.089427,-0.97878474,-0.4196644,1.396438,-1.7947221,0.5843501,-0.4635227,0.5038487,0.43568137
