timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z
262719680000000,-0.90023136,-0.5379431,-1.5681001,-1.0261009,-1.0528263,1.2971723,0.2922631,-0.7059961,0.1344533,0.63093114
262719700000000,0.20716476,-1.1747503,-0.71673715,-0.71868294,-0.9992228,1.3187053,0.28318927,-0.7034584,0.13299866,0.6381704
262719720000000,0.4301672,-1.7868359,-0.24086887,0.0,0.0,0.0,0.27998698,-0.70125675,0.1304913,0.64250946
262719740000000,0.0,0.0,0.0,0.121256754,-0.41783184,1.0821478,0.27562872,-0.6974881,0.1368134,0.64716405
262719760000000,0.10377312,-1.0592418,-0.81127584,0.4512767,-0.42271876,1.0454959,0.27457306,-0.6949484,0.14389431,0.6488072
262719780000000,0.78606415,-0.9516666,-1.3570634,0.364992,-0.49861875,0.9935723,0.27180946,-0.69014496,0.15141764,0.6533701
262719800000000,1.3630724,-1.3376085,-2.0215046,-0.16203201,-0.38255435,0.8542951,0.2657252,-0.6869586,0.15502122,0.65836656
262719820000000,0.0,0.0,0.0,0.0,0.0,0.0,0.25390866,-0.68847805,0.15078984,0.66241294
262719840000000,1.2516165,-1.7597796,-2.4913073,-2.2084305,-0.11988231,0.528093,0.2355615,-0.6946393,0.13792308,0.66555554
262719860000000,1.5577545,-2.47218,-2.3839855,-3.003319,-0.19135354,0.48090366,0.21220794,-0.70125526,0.11904821,0.6701018
262719880000000,2.2912083,-3.4882765,-2.1215293,-3.1810808,-0.24694228,0.40393466,0.18748732,-0.7059646,0.09909534,0.6757535
262719900000000,3.3132343,-4.7445173,-1.538528,-2.4307854,-0.28237244,0.41538838,0.16803023,-0.7080636,0.08481421,0.68060154
262719920000000,4.755169,-5.2875204,-0.84279597,-0.9071349,-0.16966783,0.52824575,0.15897863,-0.70779485,0.082657345,0.6833156
262719940000000,6.1823173,-4.8197346,-0.5987033,0.88086766,0.2191479,0.5160284,0.16245107,-0.7073498,0.09346489,0.6815647
262719960000000,7.0636606,-3.8827407,-1.1440762,2.4378104,0.72189003,0.30711251,0.17862575,-0.7077722,0.11481841,0.6737717
262719980000000,6.945032,-4.461941,-1.3824712,3.6109772,1.2253957,-0.02855795,0.20383671,-0.709198,0.14167699,0.65986097
262720000000000,5.8736587,-5.5834923,-1.5288296,4.2154284,1.6085609,-0.59483004,0.23721045,-0.7112146,0.16996431,0.6395445
262720020000000,4.2715006,-7.0586143,-0.6374919,4.4919977,1.8474092,-1.2696834,0.27785352,-0.7151921,0.19056858,0.6123572
262720040000000,3.068182,-7.170006,0.875563,4.308891,1.8753563,-1.9877555,0.31850132,-0.7174202,0.20854972,0.5834143
262720060000000,2.1256528,-10.071994,3.1823359,4.130671,1.7560849,-2.5083654,1.0,0.0,0.0,0.0
262720080000000,-1.6556234,-17.939768,6.865056,4.084092,2.1998785,-3.4848335,0.4037509,-0.7220003,0.22630401,0.5142833
262720100000000,-7.098735,-21.57346,7.546231,4.2197046,2.6682594,-4.2907176,0.449545,-0.7276157,0.22635148,0.46610045
262720120000000,-11.65052,-25.534203,2.0514524,0.0,0.0,0.0,0.51019984,-0.71574205,0.24071859,0.41166002
262720140000000,-19.431684,-35.15278,-3.058305,8.191703,2.13925,-4.5735483,0.581493,-0.6890343,0.25231254,0.35133466
262720160000000,-33.611332,-38.348633,-7.405731,0.0,0.0,0.0,0.65653265,-0.6501556,0.2580391,0.28227386
262720180000000,-44.141983,-36.991592,-14.140225,9.859365,-1.2464706,-6.0849814,1.0,0.0,0.0,0.0
262720200000000,-43.00695,-34.337658,-20.211178,10.06095,-3.0656273,-7.137197,0.81530774,-0.52213824,0.19250304,0.15996179
262720220000000,-39.78548,-29.24799,-22.142601,9.672746,-3.5224018,-7.568926,0.8774314,-0.44929034,0.1374158,0.09679513
262720240000000,-33.14289,-21.0406,-24.43178,10.35493,-3.9805508,-6.858795,0.9285059,-0.36025643,0.08307211,0.0345146
262720260000000,-24.447819,-11.793579,-26.327103,10.646465,-4.7196975,-5.9574633,0.9648806,-0.26157263,0.02100416,-0.012007138
262720280000000,-16.247478,-3.872627,-24.958181,9.81355,-5.0148983,-4.9446487,0.98362416,-0.1673556,-0.040826242,-0.052999187
262720300000000,0.0,0.0,0.0,8.250957,-4.3750167,-3.5799758,0.98881364,-0.087334275,-0.09371941,-0.076400265
262720320000000,-5.9006195,2.0415807,-19.032122,0.0,0.0,0.0,0.986651,-0.027487628,-0.129311,-0.0950948
262720340000000,0.0,0.0,0.0,4.197866,-2.061823,-1.7551686,0.9825095,0.01253016,-0.15272786,-0.10579373
262720360000000,-5.26071,0.06519067,-17.606272,2.9799533,-1.5120442,-1.5618297,0.9774572,0.04086042,-0.1696016,-0.11892465
262720380000000,-5.612524,0.33787084,-17.549469,2.457511,-1.5335772,-1.619251,0.9711465,0.0650827,-0.18661003,-0.13347422
262720400000000,0.0,0.0,0.0,2.160325,-1.774869,-1.6722436,1.0,0.0,0.0,0.0
262720420000000,-4.4507313,1.26036,-16.039688,0.0,0.0,0.0,0.9533422,0.110996865,-0.2269088,-0.16531992
