timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z
244676880000000,0.040504456,-0.75268734,0.3319646,0.0,0.0,0.0,1.0,0.0,0.0,0.0
244676900000000,0.0,0.0,0.0,0.15210545,0.031306844,0.26939157,0.51158226,0.38809913,0.57042843,-0.5121271
244676920000000,0.0,0.0,0.0,0.0,0.0,0.0,0.51207787,0.38974893,0.5692682,-0.51166964
244676940000000,0.0,0.0,0.0,0.0,0.0,0.0,0.5124373,0.39086133,0.5684378,-0.51138425
244676960000000,0.13048553,-0.8956219,0.34180444,0.054061573,0.008857546,0.12064589,0.51266813,0.39139783,0.567838,-0.51140904
244676980000000,0.0,0.0,0.0,0.035888333,-0.0032070426,0.07971791,1.0,0.0,0.0,0.0
244677000000000,0.13072395,-0.94611955,0.27552408,0.028405234,-0.0047342055,0.04550946,0.51280147,0.3914062,0.56724,-0.5119323
244677020000000,0.06294823,-0.9419265,0.26370847,0.039553523,-0.015118915,0.027641652,0.51277524,0.3914163,0.56694216,-0.5122807
244677040000000,0.0481472,-1.0617365,0.2537982,0.05299256,-0.023060163,0.00870483,0.5125889,0.39122394,0.5666282,-0.51296085
244677060000000,0.0,0.0,0.0,0.021533,-0.01572978,-0.037415497,0.5123146,0.39084297,0.56666166,-0.5134882
244677080000000,0.0,0.0,0.0,0.0,0.0,0.0,0.5118842,0.38990468,0.5671463,-0.51409537
244677100000000,-0.29476833,-1.3179559,0.48992783,-0.077579886,-0.0571159,-0.19929479,0.5114338,0.3878783,0.56811184,-0.5150097
244677120000000,-0.43142605,-1.6889168,1.0143937,-0.04428773,-0.13423763,-0.32788193,0.5106907,0.3849807,0.5689318,-0.5170122
244677140000000,-0.8380718,-2.3202906,0.6902101,-0.105832405,-0.22021692,-0.67164636,0.5087612,0.3793701,0.5708907,-0.52088773
244677160000000,-1.147337,-1.8850784,0.30908394,0.0,0.0,0.0,1.0,0.0,0.0,0.0
244677180000000,-0.9881296,-1.8601363,0.20498872,-0.767094,-0.6614143,-1.314582,1.0,0.0,0.0,0.0
244677200000000,-0.8244076,-1.9575658,0.42819375,0.0,0.0,0.0,0.5063203,0.33522415,0.587843,-0.534514
244677220000000,0.0,0.0,0.0,-0.97692627,-0.70112056,-1.7116444,0.5044015,0.31627423,0.5952153,-0.5396929
244677240000000,-1.0676394,-0.7592139,0.049524784,-0.8709411,-0.7247916,-1.7475327,0.5017993,0.2975898,0.6016403,-0.5455885
244677260000000,-0.7032633,-0.2390635,-0.28513777,-0.8127562,-0.8765916,-1.7090483,0.5001067,0.2783656,0.60659146,-0.5517723
244677280000000,-0.16692448,0.16145945,-0.4524595,-0.62796944,-0.9494373,-1.6145169,0.49872148,0.2601673,0.60956085,-0.5585923
244677300000000,-0.14397049,0.72328234,-0.5998651,-0.42180246,-0.84528476,-1.5059355,0.49649164,0.24440569,0.6114342,-0.56560594
244677320000000,-0.44626236,1.3408332,-0.75778043,-0.29642236,-0.7863363,-1.3548992,1.0,0.0,0.0,0.0
244677340000000,0.0,0.0,0.0,0.0,0.0,0.0,0.49902046,0.23552698,0.61350083,-0.56490916
244677360000000,-0.6191273,2.0539641,-1.0392851,-0.3306308,-0.88606006,-1.00075,0.501729,0.22943026,0.61353135,-0.5649859
244677380000000,-0.7317867,2.4108882,-1.2501073,-0.40882155,-0.90377516,-0.8614727,0.5056724,0.22510752,0.61381423,-0.5628979
244677400000000,-0.81571674,2.8113136,-1.4926463,-0.57009,-0.9459248,-0.75747293,0.5110517,0.22185735,0.6147722,-0.55826575
244677440000000,0.0,0.0,0.0,0.0,0.0,0.0,0.5273644,0.22244124,0.6217825,-0.5345963
244677460000000,-1.6199913,2.825242,-1.6805725,-1.3709344,-0.9859365,-0.5821546,0.53347814,0.20703429,0.62532234,-0.53057504
244677480000000,-1.6773834,2.5454443,-2.0630875,-1.58321,-1.106277,-0.5170974,0.54208905,0.18865247,0.6291042,-0.52419245
244677500000000,-1.6195555,2.39533,-2.278986,0.0,0.0,0.0,0.550359,0.17099813,0.633203,-0.5166417
244677520000000,-1.4220724,2.3467677,-2.3211327,-2.0766363,-1.2003502,-0.28802297,1.0,0.0,0.0,0.0
244677540000000,-0.6009064,1.651592,-1.7506545,0.0,0.0,0.0,0.56367475,0.15759741,0.656083,-0.4764337
244677560000000,0.0,0.0,0.0,-2.6648996,-1.3393221,-0.044898596,0.56842494,0.14210057,0.6703743,-0.45530105
244677580000000,0.14614582,-0.27971745,-1.51445,-2.790585,-1.31672,0.09010262,0.57041466,0.12654397,0.68211484,-0.43969646
244677600000000,0.0,0.0,0.0,-2.912758,-1.4240797,0.18387043,0.58261085,0.10216269,0.69013625,-0.4169406
244677620000000,1.0872774,-0.5530176,-1.8800267,-3.042109,-1.6310102,0.29443705,0.59666187,0.07996426,0.6933412,-0.39607865
244677640000000,1.8433809,-1.3517466,-2.066209,-3.0456214,-1.8154916,0.39446622,0.6160771,0.051737092,0.6939799,-0.3690043
244677660000000,0.0,0.0,0.0,-2.903748,-1.9226984,0.48640144,0.63032854,0.03015663,0.693246,-0.34811857
244677680000000,0.0,0.0,0.0,-2.7420213,-1.9882137,0.5688683,0.64420366,0.004774027,0.6922177,-0.32529002
244677700000000,0.0,0.0,0.0,-2.673299,-2.061212,0.61834836,1.0,0.0,0.0,0.0
244677720000000,2.3104763,-2.8008971,-3.1668344,0.0,0.0,0.0,1.0,0.0,0.0,0.0
244677740000000,1.9796338,-3.2655873,-3.364644,-2.7134633,-2.2912028,0.572228,0.6739525,-0.06215793,0.6862839,-0.26634356
244677780000000,0.0,0.0,0.0,-2.521041,-2.4982862,0.5377141,1.0,0.0,0.0,0.0
