accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
,,,,,,0.73647046,-0.31015524,0.5283669,0.286781,rotation_vector,0.08140063285827637
0.03502083,0.2785566,-0.6478739,,,,,,,,linear_acceleration,0.08144474029541016
0.12570477,0.27273417,-0.6388221,,,,,,,,linear_acceleration,0.08146476745605469
0.08059883,0.3083465,-0.70521593,,,,,,,,linear_acceleration,0.08147287368774414
,,,,,,0.7360516,-0.31128278,0.5276444,0.2879626,rotation_vector,0.08147788047790527
,,,-0.13561209,-0.049021937,0.008552114,,,,,gyroscope,0.08148670196533203
,,,-0.21029036,-0.029932396,0.018325957,,,,,gyroscope,0.08149385452270508
,,,-0.23945917,-0.0047342055,0.031001411,,,,,gyroscope,0.08149886131286621
,,,,,,0.73437303,-0.31440136,0.52649456,0.2909493,rotation_vector,0.08151793479919434
0.053037643,0.3106091,-0.5817059,,,,,,,,linear_acceleration,0.0815286636352539
,,,,,,0.7353259,-0.3128639,0.5269123,0.28944007,rotation_vector,0.08153581619262695
,,,-0.21868975,0.029626964,0.05971208,,,,,gyroscope,0.08154177665710449
,,,-0.20158553,0.052534413,0.10048734,,,,,gyroscope,0.08154702186584473
,,,,,,0.7332489,-0.31559253,0.5265146,0.29245484,rotation_vector,0.08155274391174316
0.025527954,0.3933133,-0.5348191,,,,,,,,linear_acceleration,0.0815579891204834
0.039567947,0.39200103,-0.5352216,,,,,,,,linear_acceleration,0.08156275749206543
,,,,,,0.7319084,-0.31657907,0.5267895,0.29424584,rotation_vector,0.08156800270080566
,,,,,,0.7303027,-0.31754613,0.5271643,0.29651347,rotation_vector,0.0815727710723877
,,,-0.25152376,0.071318515,0.19456059,,,,,gyroscope,0.08157777786254883
,,,,,,0.7283589,-0.31864947,0.5276037,0.29931617,rotation_vector,0.08158206939697266
0.010892868,0.16158295,-0.4622419,,,,,,,,linear_acceleration,0.08158683776855469
0.032302856,0.28382766,-0.4987172,,,,,,,,linear_acceleration,0.08159089088439941
,,,-0.21639901,0.0627664,0.14752395,,,,,gyroscope,0.08159470558166504
-0.18633556,-0.37768626,-0.27809477,,,,,,,,linear_acceleration,0.08159995079040527
,,,,,,0.7212816,-0.32323736,0.52899784,0.30892053,rotation_vector,0.0816037654876709
-0.20442486,-0.39001465,-0.08463001,,,,,,,,linear_acceleration,0.08161377906799316
,,,,,,0.71013063,-0.33474302,0.52808875,0.32370353,rotation_vector,0.0816187858581543
,,,-0.37003163,0.0580322,0.1255328,,,,,gyroscope,0.08162569999694824
,,,-0.419359,0.07467828,0.13362677,,,,,gyroscope,0.08163094520568848
-0.14144611,-0.32879663,-0.33196998,,,,,,,,linear_acceleration,0.0816349983215332
,,,,,,0.7187583,-0.32537323,0.5292363,0.31213436,rotation_vector,0.08163976669311523
,,,-0.35048392,0.10995574,0.24129178,,,,,gyroscope,0.08164501190185547
,,,-0.37690386,0.11453723,0.22067507,,,,,gyroscope,0.0816488265991211
,,,-0.4176791,0.106595986,0.19226983,,,,,gyroscope,0.08165597915649414
,,,,,,0.71398306,-0.33046037,0.5288025,0.31842133,rotation_vector,0.08165979385375977
-0.25488377,-0.42218876,-0.18904829,,,,,,,,linear_acceleration,0.08167195320129395
,,,-0.44180828,0.087659165,0.16157386,,,,,gyroscope,0.0816798210144043
,,,,,,0.706609,-0.3379107,0.5271233,0.32963803,rotation_vector,0.08168482780456543
,,,-0.34330627,0.03604105,0.13637567,,,,,gyroscope,0.08168983459472656
,,,,,,0.716288,-0.32785314,0.52916586,0.31532112,rotation_vector,0.08169388771057129
-0.18330479,-0.27708507,-0.02405715,,,,,,,,linear_acceleration,0.08169889450073242
,,,,,,0.7119345,-0.33282846,0.52844685,0.32112053,rotation_vector,0.0817117691040039
-0.0993433,0.0013965368,0.03464842,,,,,,,,linear_acceleration,0.08171701431274414
,,,,,,0.70839673,-0.33642817,0.52765286,0.32645482,rotation_vector,0.08172178268432617
,,,-0.3474296,0.013286319,0.16294831,,,,,gyroscope,0.0817258358001709
-0.0006713867,0.32960802,0.19922495,,,,,,,,linear_acceleration,0.08173108100891113
0.013138771,0.50515753,0.3169775,,,,,,,,linear_acceleration,0.08173489570617676
,,,-0.3559817,-0.008857546,0.19837849,,,,,gyroscope,0.08173990249633789
,,,,,,0.70477355,-0.33917752,0.5265254,0.33320248,rotation_vector,0.08174896240234375
,,,,,,0.7028085,-0.34046343,0.5257806,0.33719367,rotation_vector,0.08176469802856445
0.12095165,0.42325592,0.2951944,,,,,,,,linear_acceleration,0.08176994323730469
0.062268257,0.5543139,0.36734104,,,,,,,,linear_acceleration,0.08181285858154297
,,,-0.37491855,-0.02687807,0.23609942,,,,,gyroscope,0.08181881904602051
,,,,,,0.7007931,-0.34159872,0.5249798,0.34146106,rotation_vector,0.08182883262634277
,,,,,,0.6988528,-0.34242517,0.5243759,0.34551364,rotation_vector,0.0818338394165039
0.23770523,-0.021107078,-0.0010557175,,,,,,,,linear_acceleration,0.08271193504333496
0.21351147,0.2063821,0.1741662,,,,,,,,linear_acceleration,0.08272385597229004
,,,-0.40546182,-0.052687127,0.26282477,,,,,gyroscope,0.08272981643676758
,,,-0.23243423,-0.03313944,0.26297748,,,,,gyroscope,0.08273482322692871
0.23303413,-0.310799,-0.13266516,,,,,,,,linear_acceleration,0.08273983001708984
,,,,,,0.6958225,-0.34261227,0.52417946,0.35168713,rotation_vector,0.08274579048156738
0.16514778,-0.49753737,-0.33211994,,,,,,,,linear_acceleration,0.08275079727172852
,,,,,,0.69715047,-0.34274882,0.5240621,0.34908935,rotation_vector,0.08275580406188965
,,,-0.32650748,-0.050701816,0.28695396,,,,,gyroscope,0.08275985717773438
0.09307194,-0.592219,-0.5409086,,,,,,,,linear_acceleration,0.08276486396789551
,,,-0.06994407,0.0070249503,0.15454891,,,,,gyroscope,0.08276987075805664
0.13193512,-0.6464783,-0.59242535,,,,,,,,linear_acceleration,0.08277392387390137
,,,,,,0.69416434,-0.34225696,0.5248839,0.35424986,rotation_vector,0.08277773857116699
,,,,,,0.6948446,-0.3422598,0.52464974,0.35325888,rotation_vector,0.08278298377990723
,,,-0.121256754,-0.0038179078,0.22113322,,,,,gyroscope,0.08278775215148926
0.11898041,-0.664691,-0.6106186,,,,,,,,linear_acceleration,0.08279705047607422
,,,,,,0.6933695,-0.34438378,0.52409476,0.35491323,rotation_vector,0.08280181884765625
,,,,,,0.69364965,-0.3429662,0.5247249,0.35480738,rotation_vector,0.08280587196350098
0.07472706,-0.70843256,-0.5570624,,,,,,,,linear_acceleration,0.08281087875366211
,,,-0.11759156,0.0032070426,-0.008093964,,,,,gyroscope,0.08281588554382324
,,,-0.07895433,0.007330383,0.0795652,,,,,gyroscope,0.08281970024108887
,,,,,,0.69439375,-0.3464183,0.5227836,0.3528584,rotation_vector,0.0828237533569336
0.019939423,-0.50776935,-0.46367145,,,,,,,,linear_acceleration,0.08282971382141113
,,,0.31978795,-0.037110064,-0.20555615,,,,,gyroscope,0.08283376693725586
,,,-0.032223143,-0.009773844,-0.15042557,,,,,gyroscope,0.08283782005310059
