accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sensor,timestamp
,,,0.08827003,0.054061573,-0.038026363,,,,,gyroscope,0.05668473243713379
,,,0.08811731,0.060322944,-0.025045475,,,,,gyroscope,0.056717634201049805
,,,0.10919216,0.05955936,-0.026572637,,,,,gyroscope,0.05673480033874512
,,,,,,0.59187776,0.16542143,-0.061542112,-0.7864662,rotation_vector,0.05674386024475098
-0.025199533,-0.014808178,-0.070301056,,,,,,,,linear_acceleration,0.056752920150756836
,,,,,,0.5911712,0.16770084,-0.06256479,-0.7864342,rotation_vector,0.05677485466003418
-0.013977885,-0.02568531,0.09399128,,,,,,,,linear_acceleration,0.05682182312011719
,,,0.11942416,0.054367006,-0.025045475,,,,,gyroscope,0.05683302879333496
,,,,,,0.59265554,0.16315411,-0.060414076,-0.78644156,rotation_vector,0.05684089660644531
,,,0.11362094,0.053450707,-0.030390546,,,,,gyroscope,0.056848764419555664
,,,0.056199603,0.058948494,-0.018325957,,,,,gyroscope,0.056854963302612305
,,,,,,0.5932777,0.1619078,-0.06071061,-0.78620714,rotation_vector,0.056962013244628906
,,,0.019700404,0.057421334,-0.014966198,,,,,gyroscope,0.05701398849487305
,,,,,,0.5907485,0.16934818,-0.062728636,-0.78638583,rotation_vector,0.05703592300415039
,,,-0.005192355,0.061086524,-0.01786781,,,,,gyroscope,0.05706071853637695
,,,-0.00290161,0.057726767,-0.017104227,,,,,gyroscope,0.05707287788391113
-0.021349907,-0.14335346,0.06289101,,,,,,,,linear_acceleration,0.05707979202270508
-0.08032262,-0.17495012,0.17339325,,,,,,,,linear_acceleration,0.057086944580078125
,,,,,,0.59056103,0.17032129,-0.062000014,-0.7863743,rotation_vector,0.05709576606750488
0.050099492,-0.17435336,0.0878067,,,,,,,,linear_acceleration,0.0571136474609375
,,,,,,0.5899201,0.17187314,-0.061408374,-0.7865641,rotation_vector,0.05712103843688965
,,,,,,0.59020686,0.17139189,-0.061412003,-0.78645366,rotation_vector,0.057127952575683594
,,,0.038026363,0.02321288,-0.02687807,,,,,gyroscope,0.05713367462158203
,,,0.019700404,0.04016439,-0.027641652,,,,,gyroscope,0.05713987350463867
0.039156318,-0.1791215,0.13922882,,,,,,,,linear_acceleration,0.05714583396911621
0.013337374,-0.21580553,0.17749882,,,,,,,,linear_acceleration,0.05716562271118164
0.059292674,-0.11137104,0.03582096,,,,,,,,linear_acceleration,0.05717182159423828
,,,0.009773844,0.045662176,-0.01985312,,,,,gyroscope,0.05717873573303223
,,,0.021991149,0.0125227375,-0.018478673,,,,,gyroscope,0.05718564987182617
,,,,,,0.5895736,0.17233662,-0.061529238,-0.7867128,rotation_vector,0.05719184875488281
0.03134966,-0.15591502,-0.061717033,,,,,,,,linear_acceleration,0.05719780921936035
0.06415367,-0.23573875,0.05666542,,,,,,,,linear_acceleration,0.05720376968383789
,,,-0.008857546,0.015882496,-0.013286319,,,,,gyroscope,0.057210683822631836
,,,,,,0.5896981,0.17219652,-0.061592005,-0.7866455,rotation_vector,0.05721879005432129
,,,-0.019242255,0.03023783,-0.0027488936,,,,,gyroscope,0.05722475051879883
,,,,,,0.58950907,0.17242269,-0.060813718,-0.78679806,rotation_vector,0.05723071098327637
-0.020453691,-0.17805648,-0.11918926,,,,,,,,linear_acceleration,0.0572359561920166
,,,,,,0.58953774,0.17235586,-0.061200466,-0.78676116,rotation_vector,0.05724287033081055
0.06463945,-0.1603837,-0.10031414,,,,,,,,linear_acceleration,0.05724787712097168
,,,-0.027183503,0.02275473,-0.013286319,,,,,gyroscope,0.05725288391113281
-0.037404537,-0.2084403,-0.08202934,,,,,,,,linear_acceleration,0.05725884437561035
-0.04880786,-0.27201772,-0.07636356,,,,,,,,linear_acceleration,0.05727267265319824
