accel_x,accel_y,accel_z,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sample,sensor,stance,timestamp
,,,jump,,,,0.6026628,-0.13414626,0.6377349,-0.46053916,3,rotation_vector,neutral,8.797645568847656e-05
,,,jump,-0.68676525,-0.47143525,1.6187929,,,,,3,gyroscope,neutral,0.009301900863647461
1.0823946,-4.1203666,-1.2116022,jump,,,,,,,,3,linear_acceleration,neutral,0.00933074951171875
,,,jump,,,,0.61586875,-0.13032201,0.62588835,-0.46041897,3,rotation_vector,neutral,0.009344816207885742
-1.0234122,0.1709938,0.3613956,jump,,,,,,,,3,linear_acceleration,neutral,0.011739730834960938
,,,jump,0.55481833,-0.7144069,0.31627548,,,,,3,gyroscope,neutral,0.014566898345947266
,,,jump,,,,0.6091358,-0.13247374,0.632476,-0.4597592,3,rotation_vector,neutral,0.01632094383239746
,,,jump,0.34391713,-0.6630942,0.30283645,,,,,3,gyroscope,neutral,0.018817901611328125
-0.9087262,0.6906109,0.17880034,jump,,,,,,,,3,linear_acceleration,neutral,0.02014899253845215
,,,jump,,,,0.6310179,-0.122154646,0.6073909,-0.46687365,3,rotation_vector,neutral,0.02183079719543457
-1.4380379,-1.2033744,0.17181039,jump,,,,,,,,3,linear_acceleration,neutral,0.022983789443969727
,,,jump,1.1340714,-0.8385653,0.2585487,,,,,3,gyroscope,neutral,0.024292945861816406
,,,jump,0.79320854,-0.7881689,0.30665436,,,,,3,gyroscope,neutral,0.02692389488220215
,,,jump,,,,0.6468387,-0.10827648,0.58180994,-0.4810126,3,rotation_vector,neutral,0.029201745986938477
-0.6367903,-0.5304971,-0.90108323,jump,,,,,,,,3,linear_acceleration,neutral,0.03235983848571777
,,,jump,1.4451544,-0.88315845,0.18799378,,,,,3,gyroscope,neutral,0.035208940505981445
,,,jump,,,,0.6528476,-0.09971588,0.5711598,-0.4874662,3,rotation_vector,neutral,0.03790783882141113
-0.3223896,0.32012606,-1.5462333,jump,,,,,,,,3,linear_acceleration,neutral,0.04058575630187988
,,,jump,1.0045679,-0.7125743,0.11407909,,,,,3,gyroscope,neutral,0.04298996925354004
,,,jump,,,,0.65793777,-0.09572587,0.56247437,-0.49150503,3,rotation_vector,neutral,0.044641971588134766
-0.27465343,0.42759752,-1.8246343,jump,,,,,,,,3,linear_acceleration,neutral,0.04628705978393555
,,,jump,1.582141,-0.77549344,0.21181752,,,,,3,gyroscope,neutral,0.047824859619140625
,,,jump,,,,0.66129047,-0.100127555,0.5585683,-0.49058232,3,rotation_vector,neutral,0.04902386665344238
-0.28185797,0.63534164,-1.8802884,jump,,,,,,,,3,linear_acceleration,neutral,0.05059981346130371
,,,jump,-0.048716504,-0.7060075,-0.05085453,,,,,3,gyroscope,neutral,0.05262589454650879
,,,jump,,,,0.66327804,-0.11214799,0.55945355,-0.48424873,3,rotation_vector,neutral,0.05544686317443848
0.07951927,0.7973366,-1.9185,jump,,,,,,,,3,linear_acceleration,neutral,0.05730295181274414
,,,jump,-1.9228511,-0.65240407,-0.1685988,,,,,3,gyroscope,neutral,0.05845379829406738
,,,jump,,,,0.6636567,-0.12944782,0.5645049,-0.47343138,3,rotation_vector,neutral,0.061052799224853516
,,,jump,,,,0.6628433,-0.14964336,0.57234776,-0.45898116,3,rotation_vector,neutral,0.06393289566040039
,,,jump,-2.484847,-0.590554,-0.11560625,,,,,3,gyroscope,neutral,0.06681275367736816
0.7047467,0.67261314,-1.5437808,jump,,,,,,,,3,linear_acceleration,neutral,0.06853389739990234
,,,jump,-2.7646234,-0.54473907,0.2098322,,,,,3,gyroscope,neutral,0.070404052734375
0.4719305,0.2155776,-1.0100181,jump,,,,,,,,3,linear_acceleration,neutral,0.07281494140625
,,,jump,-2.7786732,-0.5401576,0.00076358154,,,,,3,gyroscope,neutral,0.07510805130004883
,,,jump,,,,0.66121495,-0.20642433,0.59734076,-0.40418804,3,rotation_vector,neutral,0.07716488838195801
-0.15160894,-0.13771439,-0.033022523,jump,,,,,,,,3,linear_acceleration,neutral,0.07871389389038086
,,,jump,,,,0.6640585,-0.21808536,0.60152483,-0.38682416,3,rotation_vector,neutral,0.07985687255859375
,,,jump,-2.4969118,-0.63255095,0.43371433,,,,,3,gyroscope,neutral,0.08098602294921875
