accel_x,accel_y,accel_z,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sample,sensor,stance,timestamp
,,,noise,,,,0.63087344,0.2945345,0.6171901,-0.366503,34,rotation_vector,neutral,0.30213093757629395
,,,noise,,,,0.63993305,0.30429265,0.61875635,-0.33916405,34,rotation_vector,neutral,0.3053019046783447
0.5208807,-4.7885633,-0.1481773,noise,,,,,,,,34,linear_acceleration,neutral,0.30802416801452637
,,,noise,0.24236079,0.44303003,1.2716687,,,,,34,gyroscope,neutral,0.30803918838500977
,,,noise,,,,0.5794789,0.27874777,0.6387916,-0.4224324,34,rotation_vector,neutral,0.3080439567565918
,,,noise,,,,0.5717638,0.28600857,0.6373686,-0.4301705,34,rotation_vector,neutral,0.3080480098724365
,,,noise,,,,0.54105264,0.29434055,0.63646585,-0.46425948,34,rotation_vector,neutral,0.30805087089538574
,,,noise,,,,0.5282604,0.29217094,0.63682103,-0.47962078,34,rotation_vector,neutral,0.30805492401123047
,,,noise,,,,0.62127316,0.28848153,0.6124249,-0.3946312,34,rotation_vector,neutral,0.3080592155456543
,,,noise,-0.91324353,0.3743077,1.1895074,,,,,34,gyroscope,neutral,0.3101491928100586
-1.6535568,-3.434668,-1.1641576,noise,,,,,,,,34,linear_acceleration,neutral,0.311553955078125
,,,noise,,,,0.6262497,0.29117572,0.6151483,-0.3802903,34,rotation_vector,neutral,0.31293416023254395
-2.0280008,-3.2130282,-1.2859871,noise,,,,,,,,34,linear_acceleration,neutral,0.31412196159362793
,,,noise,-0.8179486,0.35842517,1.2359331,,,,,34,gyroscope,neutral,0.31586194038391113
,,,noise,-0.56046885,0.34300083,1.4080443,,,,,34,gyroscope,neutral,0.3179819583892822
,,,noise,,,,0.6354957,0.29877704,0.6184247,-0.3527441,34,rotation_vector,neutral,0.31986403465270996
-1.099225,-3.7870145,-0.9908873,noise,,,,,,,,34,linear_acceleration,neutral,0.32198095321655273
-0.48770714,-4.215359,-0.72804147,noise,,,,,,,,34,linear_acceleration,neutral,0.3234691619873047
,,,noise,-0.7134906,0.3484986,1.3214543,,,,,34,gyroscope,neutral,0.3252861499786377
,,,noise,-0.38240165,0.36987892,1.459968,,,,,34,gyroscope,neutral,0.3269309997558594
,,,noise,-0.18585575,0.3979787,1.4624114,,,,,34,gyroscope,neutral,0.32905101776123047
