accel_x,accel_y,accel_z,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sample,sensor,stance,timestamp
-0.45885277,2.2423005,-0.68786263,punch,,,,,,,,8,linear_acceleration,combat,0.014317035675048828
,,,punch,0.052381694,-0.2322815,0.23151793,,,,,8,gyroscope,combat,0.016083955764770508
0.43237543,1.0975304,0.45723653,punch,,,,,,,,8,linear_acceleration,combat,0.016097068786621094
,,,punch,0.46578476,-0.32543847,0.04734206,,,,,8,gyroscope,combat,0.01610708236694336
,,,punch,,,,0.31856382,-0.5797648,0.13501272,-0.73767304,8,rotation_vector,combat,0.01819586753845215
,,,punch,0.8434522,-0.42562035,-0.17104226,,,,,8,gyroscope,combat,0.021250009536743164
,,,punch,,,,0.32128453,-0.580841,0.13347435,-0.73592436,8,rotation_vector,combat,0.023399829864501953
-0.040852547,2.0295548,-0.4536667,punch,,,,,,,,8,linear_acceleration,combat,0.025461912155151367
,,,punch,,,,0.3128888,-0.5818761,0.118754566,-0.7412275,8,rotation_vector,combat,0.027292966842651367
0.27781582,1.5325136,-0.077394485,punch,,,,,,,,8,linear_acceleration,combat,0.029628992080688477
,,,punch,-0.01740966,-0.14614952,0.34681875,,,,,8,gyroscope,combat,0.03051900863647461
,,,punch,,,,0.32255468,-0.5821567,0.13434815,-0.73416805,8,rotation_vector,combat,0.03163790702819824
0.9282651,1.4107647,0.135324,punch,,,,,,,,8,linear_acceleration,combat,0.07595396041870117
,,,punch,0.21609358,-0.095294975,0.44715336,,,,,8,gyroscope,combat,0.07596492767333984
,,,punch,0.40759984,-0.0804815,0.54458636,,,,,8,gyroscope,combat,0.07597112655639648
0.7789569,1.2588325,0.45372415,punch,,,,,,,,8,linear_acceleration,combat,0.07853579521179199
,,,punch,,,,0.31635794,-0.5802748,0.105134346,-0.74306506,8,rotation_vector,combat,0.0795888900756836
,,,punch,,,,0.31422186,-0.5804961,0.11263301,-0.7426997,8,rotation_vector,combat,0.08146882057189941
0.5684633,1.2376814,0.086945295,punch,,,,,,,,8,linear_acceleration,combat,0.09901213645935059
,,,punch,,,,0.31379917,-0.5929052,0.0771645,-0.7375901,8,rotation_vector,combat,0.10030889511108398
,,,punch,,,,0.3131039,-0.5884502,0.08611961,-0.74045634,8,rotation_vector,combat,0.10033988952636719
