accel_x,accel_y,accel_z,gesture,gyro_x,gyro_y,gyro_z,rot_w,rot_x,rot_y,rot_z,sample,sensor,stance,timestamp
-0.78707886,-8.339893,-0.0863561,turn,,,,,,,,18,linear_acceleration,travel,0.002736806869506836
,,,turn,0.21471913,-0.32146785,-2.3961189,,,,,18,gyroscope,travel,0.003162860870361328
0.55486155,-7.905122,0.33192855,turn,,,,,,,,18,linear_acceleration,travel,0.005955696105957031
,,,turn,,,,0.6409071,-0.6689183,0.0905259,0.36550158,18,rotation_vector,travel,0.008607864379882812
,,,turn,,,,0.62924963,-0.66822034,0.11072751,0.38113785,18,rotation_vector,travel,0.009601831436157227
,,,turn,-0.05787948,-0.37934732,-3.0460796,,,,,18,gyroscope,travel,0.01134490966796875
-2.0227842,-8.070516,0.59446514,turn,,,,,,,,18,linear_acceleration,travel,0.018977642059326172
-1.8047476,-8.114013,0.3162982,turn,,,,,,,,18,linear_acceleration,travel,0.02205181121826172
-2.4515924,-7.153866,0.7599524,turn,,,,,,,,18,linear_acceleration,travel,0.02206897735595703
,,,turn,0.08628472,-0.58108556,-3.8563924,,,,,18,gyroscope,travel,0.022078990936279297
,,,turn,-0.17455475,-0.5523749,-3.4914002,,,,,18,gyroscope,travel,0.02554488182067871
,,,turn,,,,0.65183944,-0.67113906,0.064457685,0.3471643,18,rotation_vector,travel,0.02808070182800293
,,,turn,,,,0.66389936,-0.67164105,0.035191875,0.3269519,18,rotation_vector,travel,0.030382871627807617
,,,turn,0.56337047,-0.53985214,-4.1167736,,,,,18,gyroscope,travel,0.03289175033569336
,,,turn,,,,0.6789524,-0.6684419,0.005576821,0.3036082,18,rotation_vector,travel,0.03524470329284668
-3.1967797,-5.4562807,0.92852306,turn,,,,,,,,18,linear_acceleration,travel,0.03689765930175781
,,,turn,,,,0.69647986,-0.6609349,-0.023883613,0.2784069,18,rotation_vector,travel,0.0386967658996582
,,,turn,0.9250027,-0.6073528,-4.2510114,,,,,18,gyroscope,travel,0.04076886177062988
,,,turn,1.8164078,-0.9370673,-3.8652499,,,,,18,gyroscope,travel,0.041954755783081055
